,,Route Data,,,,,
Name,Team,Route %,Blocking %,Routes,Plays,Snaps,Targets
Austin Hooper,ATL,90.8,9.2,197,217,294,42
Travis Kelce,KC,88.5,11.5,185,209,304,43
Evan Engram,NYG,91.9,8.1,182,198,280,48
Zach Ertz,PHI,92.4,7.6,171,185,324,45
Greg Olsen,CAR,87.7,12.3,164,187,308,31
Gerald Everett,LAR,86.0,14.0,141,164,252,26
Vernon Davis,WAS,95.1,4.9,137,144,195,19
Darren Waller,OAK,84.9,15.1,135,159,291,42
Nick Vannett,PIT/SEA,89.3,10.7,134,150,157,8
Jimmy Graham,GB,92.4,7.6,134,145,222,19
Noah Fant,DEN,90.8,9.2,129,142,232,16
Jason Witten,DAL,87.7,12.3,128,146,242,20
Jared Cook,NO,94.7,5.3,126,133,212,24
Mark Andrews,BAL,96.2,3.8,125,130,190,39
O.J. Howard,TB,82.1,17.9,119,145,285,14
Dawson Knox,BUF,93.7,6.3,118,126,224,18
James O'Shaughnessy,JAX,90.8,9.2,108,119,212,20
Delanie Walker,TEN,95.5,4.5,106,111,156,25
Jordan Akins,HOU,93.0,7.0,106,114,194,15
Kyle Rudolph,MIN,76.1,23.9,102,134,289,8
Tyler Eifert,CIN,88.7,11.3,102,115,133,20
Jack Doyle,IND,87.9,12.1,102,116,259,20
Vance McDonald,PIT,89.1,10.9,98,110,153,16
Will Dissly,SEA,86.6,13.4,97,112,236,26
Mike Gesicki,MIA,94.1,5.9,96,102,125,11
Ryan Griffin,NYJ,67.1,32.9,94,140,233,7
George Kittle,SF,78.8,21.2,93,118,262,29
Darren Fells,HOU,80.5,19.5,91,113,218,13
Eric Ebron,IND,95.7,4.3,89,93,149,20
T.J. Hockenson,DET,88.9,11.1,88,99,196,19
Trey Burton,CHI,91.4,8.6,85,93,152,14
Virgil Green,LAC,78.5,21.5,84,107,167,4
Geoff Swaim,JAX,90.0,10.0,81,90,169,15
Demetrius Harris,CLE,66.4,33.6,79,119,205,6
Cameron Brate,TB,98.7,1.3,74,75,113,10
C.J. Uzomah,CIN,62.8,37.2,71,113,195,9
Irv Smith,MIN,90.4,9.6,66,73,149,6
Matt LaCosse,NE,87.5,12.5,63,72,127,6
Josh Hill,NO,70.8,29.2,63,89,187,11
Hayden Hurst,BAL,95.4,4.6,62,65,146,15
Jeff Heuerman,DEN,79.2,20.8,61,77,161,10
Nick Boyle,BAL,75.0,25.0,60,80,228,14
Ryan Izzo,NE,65.2,34.8,58,89,191,5
Tyler Higbee,LAR,69.5,30.5,57,82,148,18
Blake Jarwin,DAL,87.3,12.7,55,63,125,10
Jonnu Smith,TEN,70.1,29.9,54,77,188,7
Charles Clay,ARI,84.1,15.9,53,63,115,7
Blake Bell,KC,67.1,32.9,49,73,141,3
Dallas Goedert,PHI,75.4,24.6,49,65,143,10
Adam Shaheen,CHI,82.5,17.5,47,57,122,8
Rhett Ellison,NYG,72.3,27.7,47,65,148,9
Jesse James,DET,66.2,33.8,47,71,153,7
Foster Moreau,OAK,66.7,33.3,46,69,146,11
Marcedes Lewis,GB,73.8,26.2,45,61,148,10
Lance Kendricks,LAC,100.0,0.0,44,44,68,6
Jeremy Sprinkle,WAS,69.8,30.2,44,63,122,12
Sean Culkin,LAC,81.5,18.5,44,54,100,2
Maxx Williams,ARI,74.1,25.9,40,54,114,4
Tommy Sweeney,BUF,84.4,15.6,38,45,92,8
Hunter Henry,LAC,91.9,8.1,34,37,58,5
David Njoku,CLE,75.6,24.4,34,45,76,7
Robert Tonyan,GB,78.0,22.0,32,41,85,6
Logan Thomas,DET,88.6,11.4,31,35,56,5
MyCole Pruitt,TEN,56.6,43.4,30,53,152,1
Luke Stocker,ATL,51.9,48.1,28,54,116,7
Durham Smythe,MIA,46.7,53.3,28,60,114,2
Nick O'Leary,MIA,55.1,44.9,27,49,86,3
Ricky Seals-Jones,CLE,96.3,3.7,26,27,42,6
Lee Smith,BUF,36.5,63.5,23,63,164,3
Xavier Grimble,PIT,74.2,25.8,23,31,60,3
Drew Sample,CIN,53.8,46.2,21,39,68,3
Mo Alie-Cox,IND,55.6,44.4,20,36,111,5
Derek Carrier,OAK,86.4,13.6,19,22,31,7
Pharaoh Brown,CLE,55.2,44.8,16,29,68,1
Troy Fumagalli,DEN,94.1,5.9,16,17,32,1
Seth DeValve,JAX,65.0,35.0,13,20,74,0
Ben Braunecker,CHI,81.3,18.8,13,16,28,3
Ross Dwelley,SF,75.0,25.0,12,16,55,2
Luke Willson,SEA,64.7,35.3,11,17,59,3
Chris Manhertz,CAR,24.3,75.7,9,37,92,0
Antony Auclair,TB,29.6,70.4,8,27,92,1
Anthony Firkser,TEN,100.0,0.0,8,8,16,0
Tyler Conklin,MIN,61.5,38.5,8,13,34,0
Ian Thomas,CAR,72.7,27.3,8,11,35,1
Zach Gentry,PIT,85.7,14.3,6,7,35,0
Daniel Brown,NYJ,60.0,40.0,6,10,24,0
J.P. Holtz,CHI/WAS,55.6,44.4,5,9,26,3
Levine Toilolo,SF,35.7,64.3,5,14,73,0
Trevon Wesco,NYJ,41.7,58.3,5,12,38,0
Deon Yelder,KC,66.7,33.3,4,6,9,2
Dalton Schultz,DAL,100.0,0.0,4,4,31,0
Jerome Cunningham,WAS,75.0,25.0,3,4,13,0
Jaeden Graham,ATL,100.0,0.0,3,3,13,0
Johnny Mundt,LAR,100.0,0.0,2,2,4,0
Cethan Carter,CIN,100.0,0.0,1,1,0,0
Bradley Sowell,CHI,0.0,100.0,0,3,11,0
