,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Jack Allen,FA,2016,Combine,6-2,296,32.25,10.13,5.29,31.0,4.73,25.0,7.90,21.9,,-,101.0,30.3,23.0,43.2
Brian Allen,LAR,2018,Combine,6-2,303,32.38,9.25,5.34,21.4,,-,,-,26.5,28.1,,-,27.0,77.3
Tyler Biadasz,DAL,2020,Combine,6-4,314,32.25,10.00,,-,,-,,-,,-,,-,,-
Austin Blythe,LAR,2016,Combine,6-3,298,30.25,9.38,5.36,16.7,4.53,65.6,7.52,71.9,,-,99.0,21.2,29.0,86.4
Garrett Bradbury,MIN,2019,Combine,6-3,305,31.75,10.50,4.92,85.7,4.53,65.6,7.41,81.3,31.0,75.0,104.0,51.5,0.0,0.0
Jake Brendel,SF,2016,Combine,6-4,299,,,5.01,76.2,4.27,87.5,7.31,90.6,,-,108.0,72.7,25.0,54.5
Justin Britt,FA,,Combine,6-6,315,33.50,10.25,5.19,47.6,4.69,37.5,8.14,3.1,27.5,40.6,100.0,24.2,23.0,43.2
Cohl Cabral,FA,2020,Combine,6-5,300,32.25,10.00,,-,,-,,-,,-,,-,20.0,15.9
Joe Cardona,NE,2015,Combine,6-3,245,,,4.91,88.1,,-,,-,33.0,90.6,,-,30.0,90.9
Tanner Carew,FA,2018,Combine,6-1,245,31.50,9.68,5.00,81.0,,-,,-,30.0,68.8,,-,18.0,11.4
Will Clapp,FA,2018,Combine,6-5,311,31.25,9.68,5.39,11.9,,-,,-,29.0,56.3,,-,25.0,54.5
Mason Cole,ARI,2018,Combine,6-5,292,32.13,9.68,5.23,35.7,,-,,-,25.0,12.5,,-,23.0,43.2
Trystan Colon-Castillo,BAL,2020,Combine,6-3,313,34.00,9.25,,-,,-,,-,,-,,-,11.0,6.8
Lloyd Cushenberry,DEN,2020,Combine,6-4,315,34.13,10.38,,-,,-,,-,,-,,-,25.0,54.5
James Daniels,CHI,2018,Combine,6-3,305,33.75,9.50,,-,,-,,-,30.5,71.9,,-,21.0,25.0
C.J. Davis,FA,,Combine,6-2,308,,,5.55,2.4,4.93,0.0,8.09,9.4,25.5,15.6,88.0,3.0,21.0,25.0
Dan Feeney,LAC,2017,Combine,6-4,310,33.38,10.25,5.24,33.3,4.68,43.8,7.52,71.9,28.0,46.9,101.0,30.3,26.0,65.9
Blake Ferguson,MIA,2020,Combine,6-2,229,31.38,9.75,,-,,-,,-,,-,,-,,-
Travis Frederick,FA,,Combine,6-4,320,33.00,10.00,5.58,0.0,4.76,18.8,7.81,43.8,28.5,50.0,97.0,12.1,21.0,25.0
Kyle Fuller,SEA,2014,Combine,6-5,320,,,4.49,97.6,4.19,93.8,6.90,96.9,38.5,100.0,128.0,100.0,12.0,9.1
Lamont Gaillard,ARI,2019,Combine,6-3,305,33.50,10.38,,-,,-,,-,,-,,-,,-
Nick Gates,NYG,2018,Combine,6-5,307,32.00,10.25,5.46,9.5,,-,,-,24.0,3.1,94.0,9.1,20.0,15.9
Dan Godsil,FA,2019,Combine,6-3,241,33.00,10.13,,-,,-,,-,,-,,-,,-
Hroniss Grasu,SF,2015,Pro Day,6-3,301,,,5.01,76.2,4.20,90.6,7.84,37.5,,-,,-,,-
Clint Gresham,FA,2010,Pro Day,6-3,260,,,5.08,69.0,,-,,-,,-,,-,,-
Jake Hanson,FA,2020,Combine,6-4,303,32.75,9.25,,-,,-,,-,,-,,-,33.0,95.5
Nick Harris,CLE,2020,Combine,6-1,302,32.13,9.75,5.10,61.9,,-,,-,29.5,62.5,103.0,39.4,20.0,15.9
Marcus Henry,DAL,2008,Combine,6-2,303,,,4.55,95.2,4.30,84.4,,-,31.5,84.4,126.0,97.0,,-
Keith Ismael,WAS,2020,Combine,6-3,309,32.25,10.00,5.34,21.4,4.65,46.9,8.14,3.1,32.0,87.5,108.0,72.7,,-
Andre James,LV,2019,Combine,6-4,300,32.00,10.00,5.32,26.2,4.84,3.1,8.00,15.6,29.0,56.3,105.0,54.5,21.0,25.0
Lemuel Jeanpierre,FA,2010,Pro Day,6-3,301,,,5.14,52.4,4.78,12.5,7.40,84.4,28.5,50.0,105.0,54.5,30.0,90.9
Bruce Johnson,FA,,Combine,6-2,302,,,4.42,100.0,4.05,96.9,6.71,100.0,34.5,96.9,125.0,93.9,6.0,2.3
