,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Phillip Adams,FA,2010,Pro Day,5-11,195,,,4.50,41.0,4.34,10.4,7.16,11.4,34.5,31.4,124.0,60.5,,-
Johnny Adams,FA,,Combine,5-10,185,,,4.48,50.7,,-,,-,,-,,-,16.0,60.8
Mackensie Alexander,CIN,2016,Combine,5-10,192,31.38,9.13,4.43,71.5,,-,,-,,-,,-,11.0,16.2
Jaire Alexander,GB,2018,Combine,5-10,196,31.13,9.50,4.38,87.2,3.98,91.6,6.71,87.1,35.0,37.6,127.0,77.1,14.0,36.0
Robert Alford,ARI,,Combine,5-10,186,,,4.39,84.9,4.23,34.1,6.89,56.5,40.0,89.6,132.0,91.6,17.0,67.8
Cortez Allen,FA,,Combine,6-1,197,,,4.50,41.0,4.01,87.1,6.76,80.8,35.5,42.9,129.0,85.2,18.0,76.4
Brian Allen,SF,2017,Combine,6-3,215,34.00,10.00,4.48,50.7,4.34,10.4,6.64,92.9,34.5,31.4,117.0,13.6,15.0,47.8
Will Allen,FA,2004,Pro Day,5-10,192,,,4.58,17.0,4.25,29.3,7.06,22.7,36.0,50.6,115.0,8.4,,-
David Amerson,FA,,Combine,6-1,205,32.63,10.50,4.44,66.8,,-,,-,35.5,42.9,127.0,77.1,15.0,47.8
Prince Amukamara,FA,,Combine,6-0,206,30.50,8.50,4.38,87.2,4.08,72.7,6.97,34.9,38.0,74.6,128.0,81.6,15.0,47.8
Marc Anthony,FA,,Combine,5-11,196,,,4.63,5.2,4.07,76.3,6.74,83.1,35.0,37.6,118.0,17.8,12.0,23.9
Eli Apple,CAR,2016,Combine,6-1,203,31.38,9.38,4.40,83.0,,-,,-,,-,,-,13.0,29.3
Javier Arenas,FA,,Combine,5-9,197,,,4.60,13.1,,-,,-,,-,112.0,5.1,,-
Damon Arnette,LV,2020,Combine,6-0,195,30.00,9.13,4.56,22.7,,-,,-,,-,,-,,-
Blessuan Austin,NYJ,2019,Combine,6-1,198,32.50,10.00,,-,,-,,-,,-,,-,15.0,47.8
Anthony Averett,BAL,2018,Combine,5-11,178,,,4.36,94.5,4.40,4.8,6.93,48.2,31.5,5.6,119.0,23.8,13.0,29.3
Chidobe Awuzie,DAL,2017,Combine,6-0,202,30.63,8.50,4.43,71.5,4.14,59.8,6.81,71.4,34.5,31.4,132.0,91.6,16.0,60.8
Derrick Baity,FA,2019,Combine,6-3,188,31.50,8.63,,-,4.31,17.7,7.06,22.7,38.5,79.9,127.0,77.1,10.0,8.3
Deandre Baker,FA,2019,Combine,5-11,180,32.00,9.00,4.52,32.9,,-,,-,,-,118.0,17.8,14.0,36.0
Corey Ballentine,NYG,2019,Combine,5-11,196,31.63,9.50,4.47,55.4,4.14,59.8,6.82,67.8,39.5,86.1,135.0,97.6,15.0,47.8
