,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Antonio Allen,FA,2012,Combine,6-1,210,,,4.58,48.5,4.25,58.3,7.02,38.9,34.0,55.2,118.0,59.3,17.0,59.3
Jarrod Barnes,FA,2017,Pro Day,5-11,193,,,4.81,9.1,,-,,-,,-,,-,,-
Tyron Brackenridge,FA,2007,Combine,5-11,189,,,4.67,21.2,,-,,-,,-,,-,,-
Devin Chappell,FA,2017,Combine,6-2,199,30.50,9.25,4.62,33.3,,-,7.00,44.4,35.0,65.5,116.0,51.9,17.0,59.3
Chris Clemons,FA,2009,Combine,6-1,215,,,4.41,87.9,4.38,25.0,7.27,11.1,37.5,93.1,127.0,96.3,19.0,77.8
Chris Davis,FA,2014,Combine,5-10,201,,,4.54,60.6,,-,,-,,-,,-,15.0,44.4
Jordan Diggs,FA,2017,Pro Day,5-11,202,,,4.92,6.1,,-,,-,33.5,37.9,120.0,70.4,13.0,22.2
Jonathan Dowling,FA,2014,Combine,6-3,190,,,4.52,69.7,4.24,66.7,7.04,33.3,33.5,37.9,118.0,59.3,8.0,11.1
Andrew Eide,FA,,Pro Day,6-4,303,,,5.12,0.0,,-,,-,31.0,13.8,96.0,0.0,33.0,96.3
Maurice Fleming,FA,2017,Pro Day,6-0,205,,,4.51,72.7,,-,6.84,77.8,32.0,20.7,108.0,7.4,19.0,77.8
Malik Foreman,FA,2017,Pro Day,5-11,187,,,4.37,97.0,,-,7.40,0.0,35.5,82.8,,-,11.0,14.8
Terrence Frederick,FA,,Combine,5-10,187,,,4.44,84.8,4.03,100.0,6.59,100.0,35.0,65.5,121.0,77.8,16.0,51.9
Dylan Haines,FA,2017,Pro Day,6-1,200,,,4.60,42.4,,-,,-,,-,,-,,-
Aaron Hester,FA,,Combine,6-1,205,,,4.62,33.3,4.33,41.7,7.26,22.2,29.0,3.4,112.0,40.7,,-
Darrien Howard,FA,2017,Pro Day,6-0,302,,,4.97,3.0,,-,,-,17.700001,0.0,108.0,7.4,26.0,88.9
Mike James,MEP,,Combine,,,31.63,9.75,4.53,63.6,4.62,8.3,,-,35.0,65.5,115.0,48.1,28.0,92.6
Shannon James,FA,2017,Pro Day,5-6,165,,,4.65,24.2,,-,,-,30.0,6.9,108.0,7.4,5.0,0.0
Kyshoen Jarrett,FA,2015,Combine,5-10,200,31.00,9.75,4.57,51.5,4.40,16.7,6.95,66.7,33.0,34.5,109.0,33.3,21.0,85.2
JaMarcus King,FA,2018,Combine,6-0,182,,,4.70,15.2,,-,,-,,-,,-,,-
Nana Kyeremeh,FA,2017,Pro Day,5-10,186,,,4.57,51.5,,-,6.99,55.6,32.0,20.7,100.0,3.7,7.0,7.4
William Likely,FA,2017,Combine,5-7,175,29.00,9.50,,-,,-,,-,,-,,-,15.0,44.4
Quincy Mauger,FA,2017,Pro Day,6-0,206,,,4.60,42.4,,-,,-,37.5,93.1,,-,,-
Corbin McCarthy,FA,2017,Pro Day,5-9,208,,,4.41,87.9,,-,7.28,5.6,36.0,89.7,120.0,70.4,,-
Brandon McGee,FA,,Combine,5-11,193,,,4.40,93.9,4.18,75.0,6.71,88.9,33.5,37.9,119.0,66.7,14.0,33.3
Chris Moody,FA,2017,Pro Day,6-0,219,,,4.74,12.1,,-,,-,30.0,6.9,108.0,7.4,18.0,74.1
Nick Perry,FA,,Combine,6-1,211,,,4.55,57.6,4.66,0.0,7.25,27.8,38.5,100.0,124.0,92.6,35.0,100.0
Garry Peters,FA,,Combine,6-0,191,,,,-,,-,,-,,-,,-,,-
Ezra Robinson,FA,2017,Combine,5-11,189,31.50,8.75,4.47,81.8,,-,,-,34.0,55.2,130.0,100.0,13.0,22.2
Khairi Sharif,FA,2017,Pro Day,5-8,181,,,4.64,30.3,,-,,-,34.5,62.1,108.0,7.4,16.0,51.9
DeAngelo Smith,FA,,Combine,6-11,200,,,4.50,75.8,4.35,33.3,7.27,11.1,31.5,17.2,109.0,33.3,17.0,59.3
Jordan Smith,FA,2017,Pro Day,5-10,186,,,,-,,-,,-,35.5,82.8,108.0,7.4,14.0,33.3
Phillip Thomas,FA,2013,Combine,6-0,223,,,4.65,24.2,,-,,-,35.0,65.5,122.0,85.2,14.0,33.3
Brandyn Thompson,FA,,Combine,5-9,189,,,4.50,75.8,4.12,83.3,6.66,94.4,33.5,37.9,114.0,44.4,13.0,22.2
Jeremy Tyler,FA,2017,Pro Day,5-11,208,,,4.70,15.2,,-,6.94,72.2,32.5,27.6,108.0,7.4,11.0,14.8
Demarcus Van Dyke,FA,,Combine,6-1,185,,,4.28,100.0,4.09,91.7,6.97,61.1,33.5,37.9,121.0,77.8,5.0,0.0
Tray Walker,FA,,Pro Day,6-2,191,,,4.53,63.6,4.30,50.0,6.80,83.3,32.5,27.6,122.0,85.2,,-
