,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Mehdi Abdesmad,FA,2016,Combine,6-6,284,33.38,9.75,5.10,8.0,4.62,19.1,7.55,17.1,29.5,15.9,108.0,14.5,25.0,52.2
Montravius Adams,GB,2017,Pro Day,6-4,304,32.75,9.25,4.83,51.2,,-,,-,,-,,-,,-
McTelvin Agim,DEN,2020,Combine,6-3,309,33.50,10.25,,-,,-,,-,,-,,-,27.0,70.9
Frank Alexander,FA,2012,Combine,6-4,270,,,4.80,59.9,,-,,-,,-,,-,,-
Pierre Allen,FA,2011,Combine,6-5,265,,,4.78,64.2,,-,,-,,-,,-,,-
Josh Allen,JAX,2019,Combine,6-5,262,33.50,8.75,4.63,87.6,4.23,88.4,7.15,74.3,,-,118.0,67.5,28.0,75.7
Zach Allen,ARI,2019,Combine,6-4,281,34.75,10.13,5.00,16.1,4.36,71.2,7.34,40.5,32.0,43.8,112.0,33.3,24.0,43.3
Tyson Alualu,PIT,2010,Combine,6-3,304,,,4.87,41.8,4.43,51.2,7.15,74.3,35.5,80.2,116.0,54.5,21.0,23.1
Bradlee Anae,DAL,2020,Combine,6-3,257,32.13,10.13,4.93,28.1,4.43,51.2,7.44,28.8,31.0,29.1,115.0,51.0,25.0,52.2
Ryan Anderson,WAS,2017,Pro Day,6-2,255,31.50,9.38,4.53,97.0,,-,,-,,-,,-,,-
Henry Anderson,NYJ,2015,Combine,6-6,301,33.50,9.75,4.97,21.7,4.19,92.6,7.20,66.7,30.0,20.5,111.0,29.0,,-
Ezekiel Ansah,SF,,Combine,6-5,275,35.13,10.25,4.63,87.6,4.26,84.7,7.11,77.9,34.5,72.1,118.0,67.5,21.0,23.1
Arik Armstead,SF,2015,Combine,6-7,292,,,5.06,9.4,4.53,28.8,7.57,15.3,34.0,66.7,117.0,61.2,24.0,43.3
