,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Chas Alecxih,FA,,Combine,6-4,295,,,5.31,10.1,4.62,55.3,7.74,42.6,25.5,10.4,99.0,14.6,19.0,2.8
Jonathan Allen,WAS,2017,Combine,6-3,300,33.63,9.38,5.00,68.2,4.50,78.9,7.49,73.9,30.0,59.0,108.0,64.4,21.0,8.8
John Atkins,DET,2018,Combine,6-3,320,34.00,9.25,5.38,2.7,4.75,29.5,7.95,17.0,24.0,4.1,89.0,1.5,,-
Geno Atkins,CIN,2010,Combine,6-1,300,32.00,9.63,4.75,95.3,4.43,90.0,7.33,89.4,33.0,86.0,117.0,94.1,34.0,84.3
Marvin Austin,FA,,Combine,6-2,312,,,4.84,91.1,4.40,93.2,7.33,89.4,30.5,65.3,112.0,80.5,38.0,95.4
Jonathan Babineaux,FA,,Combine,6-2,300,,,4.87,89.1,4.62,55.3,7.71,45.2,109.0,100.0,29.5,0.0,21.0,8.8
Christian Ballard,FA,2011,Combine,6-4,284,33.00,10.13,4.75,95.3,4.51,77.4,7.54,68.1,31.5,74.3,111.0,73.7,,-
T.J. Barnes,FA,,Combine,6-6,355,,,5.30,11.6,4.96,8.4,8.26,1.6,22.0,0.9,97.0,9.8,25.0,31.0
Terry Beckner,FA,2019,Combine,6-4,296,32.25,8.63,5.19,25.2,4.82,17.9,7.97,14.9,24.5,6.3,98.0,12.7,28.0,49.5
Andrew Billings,CLE,2016,Combine,6-1,328,33.00,10.00,5.05,57.0,4.82,17.9,8.05,10.6,27.5,31.1,113.0,85.4,31.0,72.7
Ross Blacklock,HOU,2020,Combine,6-3,290,32.38,9.75,4.90,86.0,4.67,46.8,7.77,38.3,29.0,46.8,107.0,60.0,,-
Da'Quan Bowers,FA,2011,Combine,6-4,280,33.13,10.25,4.64,98.1,,-,,-,,-,,-,22.0,13.9
Josh Boyd,FA,,Combine,6-3,293,,,5.14,36.8,4.64,51.6,7.16,94.1,26.5,19.4,32.0,0.5,104.0,100.0
Paul Boyette,FA,2017,Pro Day,6-1,310,,,5.25,17.1,,-,,-,,-,,-,,-
Alan Branch,FA,,Combine,6-6,350,,,5.07,50.0,,-,,-,27.5,31.1,107.0,60.0,33.0,80.6
Caleb Brantley,WAS,2017,Combine,6-2,305,32.00,9.75,5.14,36.8,4.62,55.3,7.66,52.1,27.0,24.8,105.0,46.3,21.0,8.8
Jay Bromley,FA,,Combine,6-3,306,,,5.06,52.7,4.78,23.7,7.92,21.8,33.5,90.1,106.0,53.7,26.0,37.0
Michael Brooks,FA,2013,Pro Day,6-3,276,,,4.99,72.1,4.70,42.6,7.64,54.8,26.0,14.0,106.0,53.7,27.0,43.1
Derrick Brown,CAR,2020,Combine,6-5,318,34.25,9.00,5.16,29.8,4.79,21.6,8.22,2.7,27.0,24.8,108.0,64.4,28.0,49.5
Andrew Brown,CIN,2018,Combine,6-3,290,34.50,9.38,5.03,60.1,4.48,83.2,7.51,71.3,31.0,69.8,101.0,22.9,31.0,72.7
Christian Brown,FA,2017,Pro Day,6-3,295,,,5.32,8.5,7.89,0.0,,-,26.0,14.0,96.0,4.9,34.0,84.3
Malcom Brown,NO,2015,Combine,6-2,320,32.75,10.25,4.62,98.4,4.15,99.5,6.86,100.0,34.5,92.3,117.0,94.1,19.0,2.8
Taven Bryan,JAX,2018,Combine,6-4,291,32.75,9.75,4.98,73.3,4.48,83.2,7.12,95.2,35.0,95.0,119.0,96.6,30.0,63.0
Red Bryant,FA,,Combine,6-4,323,,,5.00,68.2,4.64,51.6,7.75,41.0,28.0,35.1,111.0,73.7,20.0,5.6
DeForest Buckner,IND,2016,Combine,6-7,300,34.38,11.75,5.05,57.0,4.47,84.7,7.51,71.3,32.0,77.0,116.0,91.7,,-
Brodrick Bunkley,FA,,Combine,6-2,306,,,5.01,65.9,,-,,-,32.5,84.2,113.0,85.4,44.0,98.1
Vernon Butler,BUF,2016,Combine,6-4,330,35.13,10.75,5.33,7.8,4.76,27.9,7.82,31.4,29.5,53.2,104.0,42.9,26.0,37.0
Jordan Carrell,FA,2017,Pro Day,6-3,300,,,4.86,90.3,,-,,-,31.5,74.3,,-,21.0,8.8
Ryan Carrethers,FA,,Combine,6-1,333,,,5.47,1.2,4.60,61.6,7.89,26.1,26.0,14.0,88.0,1.0,32.0,76.9
Adam Carriker,FA,2007,Combine,6-6,296,,,4.90,86.0,4.18,98.9,7.06,97.9,33.5,90.1,110.0,71.2,33.0,80.6
Josh Chapman,FA,,Combine,6-0,341,,,5.02,63.6,,-,,-,,-,,-,,-
DeMarcus Christmas,FA,2019,Combine,6-3,302,32.75,9.13,5.08,46.9,5.07,2.6,8.13,6.9,25.5,10.4,101.0,22.9,22.0,13.9
Kenny Clark,GB,2016,Combine,6-3,314,32.13,10.50,5.06,52.7,4.62,55.3,,-,28.5,40.5,102.0,30.2,29.0,59.7
Chunky Clements,FA,2017,Combine,6-2,295,32.63,10.38,,-,,-,,-,,-,,-,23.0,19.4
Josiah Coatney,FA,2020,Combine,6-3,308,32.75,10.00,5.21,21.7,4.82,17.9,8.07,9.0,27.0,24.8,99.0,14.6,22.0,13.9
Terrence Cody,FA,,Combine,6-4,349,,,5.71,0.0,5.03,4.7,8.19,4.8,20.5,0.0,90.0,2.0,,-
Barry Cofield,FA,,Combine,6-4,303,,,4.95,78.3,4.35,95.8,7.43,82.4,34.0,91.4,105.0,46.3,35.0,89.4
Joe Cohen,FA,,Combine,6-2,310,,,5.10,43.0,,-,,-,26.0,14.0,,-,34.0,84.3
Deandre Coleman,FA,,Combine,6-5,341,,,5.12,40.7,,-,,-,,-,,-,24.0,25.0
Maliek Collins,LV,2016,Combine,6-2,310,33.13,9.50,5.03,60.1,4.52,76.3,7.53,69.1,29.5,53.2,109.0,68.3,25.0,31.0
John Cominsky,ATL,2019,Combine,6-5,285,33.50,9.75,4.69,97.3,4.38,94.7,7.03,98.4,33.5,90.1,116.0,91.7,22.0,13.9
Christian Covington,CIN,,Pro Day,6-2,305,,,4.89,87.2,4.43,90.0,7.43,82.4,30.5,65.3,111.0,73.7,24.0,25.0
Byron Cowart,NE,2019,Combine,6-3,300,33.75,10.00,5.16,29.8,,-,,-,30.0,59.0,111.0,73.7,26.0,37.0
Fletcher Cox,PHI,,Combine,6-4,310,34.50,10.38,4.79,94.2,4.53,72.6,7.07,96.8,26.0,14.0,103.0,36.1,30.0,63.0
Tyrone Crawford,DAL,2012,Combine,6-4,290,33.75,9.50,4.89,87.2,4.44,88.4,7.09,96.3,33.0,86.0,113.0,85.4,28.0,49.5
Darrion Daniels,FA,2020,Combine,6-3,311,33.75,9.13,5.18,27.9,4.93,10.5,7.75,41.0,27.0,24.8,109.0,68.3,21.0,8.8
Mike Daniels,CIN,,Combine,6-0,310,32.50,9.63,4.84,91.1,,-,,-,,-,,-,,-
Marcell Dareus,FA,2011,Combine,6-3,331,33.38,10.13,4.39,100.0,4.62,55.3,7.83,29.3,27.0,24.8,106.0,53.7,24.0,25.0
Marlon Davidson,ATL,2020,Combine,6-3,303,33.00,10.00,5.04,58.1,,-,,-,,-,,-,21.0,8.8
Carl Davis,JAX,2015,Combine,6-5,320,,,5.07,50.0,4.47,84.7,7.91,22.3,33.0,86.0,103.0,36.1,,-
Carlos Davis,PIT,2020,Combine,6-2,313,32.00,9.63,4.82,93.0,4.52,76.3,,-,,-,,-,27.0,43.1
Khalil Davis,TB,2020,Combine,6-1,308,31.50,9.75,4.75,95.3,,-,,-,,-,,-,32.0,76.9
Tyeler Davison,ATL,2015,Combine,6-2,309,,,5.18,27.9,4.46,86.3,7.53,69.1,33.0,86.0,105.0,46.3,32.0,76.9
Everett Dawkins,FA,,Combine,6-2,300,,,5.06,52.7,4.88,12.6,7.61,58.0,26.5,19.4,103.0,36.1,23.0,19.4
Sheldon Day,IND,2016,Combine,6-1,285,32.67,9.68,5.07,50.0,4.50,78.9,7.44,79.8,30.0,59.0,102.0,30.2,21.0,8.8
Brandon Deaderick,FA,,Combine,6-4,306,,,5.08,46.9,,-,,-,,-,,-,,-
