,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Nick Bawden,DET,2018,Combine,6-2,245,30.50,9.25,,-,,-,,-,,-,,-,,-
Nick Bellore,SEA,,Combine,6-1,250,,,4.84,33.3,4.00,100.0,6.98,90.9,32.5,26.5,109.0,11.8,23.0,35.5
Chris Brown,FA,2016,Combine,,,32.25,9.00,,-,,-,,-,,-,,-,,-
Michael Burton,NO,2015,Combine,6-0,240,29.25,9.50,4.74,55.6,4.34,51.9,7.20,59.1,33.0,35.3,115.0,64.7,25.0,61.3
Jason Cabinda,DET,2018,Combine,6-1,243,32.00,9.68,,-,,-,,-,,-,,-,19.0,12.9
Derrick Coleman,FA,2012,Pro Day,6-0,233,,,4.50,97.2,4.49,18.5,7.34,36.4,36.5,91.2,125.0,100.0,20.0,25.8
John Conner,FA,2010,Combine,5-11,245,32.00,8.50,4.64,77.8,4.29,77.8,,-,35.0,79.4,111.0,20.6,24.0,48.4
J.C. Copeland,FA,2014,Combine,5-11,275,32.00,10.00,4.95,8.3,4.58,7.4,7.68,4.5,28.5,8.8,111.0,20.6,23.0,35.5
Jerome Felton,FA,2008,Combine,6-0,248,,,4.68,69.4,4.46,25.9,,-,32.5,26.5,110.0,17.6,30.0,83.9
Tony Fiammetta,FA,2009,Combine,6-0,250,,,4.58,86.1,4.49,18.5,,-,34.0,64.7,112.0,35.3,30.0,83.9
Dimitri Flowers,FA,2018,Combine,6-1,248,30.75,9.25,4.83,38.9,4.53,14.8,7.45,22.7,30.5,11.8,109.0,11.8,17.0,3.2
Jalston Fowler,FA,2015,Combine,5-11,254,32.75,10.50,4.94,11.1,4.40,40.7,7.56,18.2,33.5,50.0,114.0,52.9,23.0,35.5
Glenn Gronkowski,FA,2016,Combine,6-3,234,30.75,9.50,4.71,63.9,4.45,29.6,7.10,72.7,33.0,35.3,120.0,85.3,17.0,3.2
Quayvon Hicks,FA,2016,Combine,6-1,256,31.25,9.63,,-,,-,,-,,-,,-,,-
Henry Hynoski,FA,2011,Combine,6-1,266,31.38,9.68,5.06,2.8,,-,,-,30.5,11.8,111.0,20.6,24.0,48.4
Emil Igwenagu,FA,,Combine,6-2,245,33.13,9.25,4.83,38.9,4.40,40.7,7.32,40.9,34.5,73.5,121.0,91.2,19.0,12.9
Alec Ingold,LV,2019,Combine,6-1,240,31.50,9.63,4.89,19.4,4.32,70.4,7.35,31.8,34.0,64.7,116.0,67.6,16.0,0.0
Rashawn Jackson,FA,2010,Combine,6-1,245,33.00,9.88,4.75,47.2,,-,,-,34.5,73.5,117.0,76.5,,-
Andy Janovich,CLE,2016,Combine,6-1,238,31.63,9.75,4.81,44.4,4.32,70.4,7.28,45.5,34.0,64.7,119.0,82.4,30.0,83.9
Devon Johnson,FA,2016,Pro Day,6-0,245,,,4.61,80.6,4.60,3.7,7.09,77.3,33.0,35.3,113.0,38.2,,-
Austin Johnson,FA,2016,Combine,6-2,240,32.75,9.88,5.32,0.0,4.75,0.0,7.84,0.0,26.0,2.9,96.0,0.0,25.0,61.3
Erik Lorig,FA,2010,Combine,6-4,250,,,4.86,27.8,,-,,-,,-,,-,,-
Tre Madden,FA,2016,Combine,6-0,235,29.75,9.38,4.53,94.4,,-,,-,,-,,-,24.0,48.4
Marcus Mailei,FA,2009,Combine,6-0,256,,,4.87,25.0,4.33,63.0,,-,35.0,79.4,113.0,38.2,22.0,29.0
Tyler McCloskey,FA,2017,Pro Day,6-2,245,,,,-,,-,,-,,-,,-,25.0,61.3
Mike McLaughlin,FA,2010,Combine,6-1,252,,,4.84,33.3,4.11,96.3,6.85,100.0,38.5,97.1,114.0,52.9,29.0,80.6
Trey Millard,FA,2014,Combine,6-2,247,31.00,9.13,,-,,-,,-,,-,,-,,-
Bruce Miller,JAX,,Combine,6-2,248,30.25,9.00,4.85,30.6,4.34,51.9,7.05,86.4,31.0,17.6,113.0,38.2,35.0,100.0
Sewo Olonilua,FA,2020,Combine,6-3,240,32.13,10.00,4.66,75.0,,-,,-,36.0,88.2,123.0,94.1,25.0,61.3
Ricky Ortiz,FA,2017,Pro Day,6-0,233,30.50,10.25,4.90,16.7,,-,7.26,50.0,33.5,50.0,108.0,5.9,26.0,74.2
Kamryn Pettway,FA,2018,Combine,6-0,235,31.25,9.50,4.74,55.6,,-,,-,33.5,50.0,116.0,67.6,22.0,29.0
Marcel Reece,FA,2008,Pro Day,6-1,235,,,4.42,100.0,4.26,85.2,7.20,59.1,36.5,91.2,114.0,52.9,,-
Aaron Ripkowski,FA,,Pro Day,6-1,246,,,4.69,66.7,4.33,63.0,7.59,13.6,33.0,35.3,113.0,38.2,,-
Sam Rogers,FA,2017,Combine,5-10,235,30.25,9.75,4.93,13.9,4.34,51.9,7.37,27.3,32.0,20.6,114.0,52.9,19.0,12.9
Anthony Sherman,KC,2011,Combine,5-10,242,30.00,9.38,4.74,55.6,4.41,37.0,,-,32.5,26.5,111.0,20.6,32.0,96.8
Kiero Small,FA,2014,Pro Day,5-8,247,,,4.89,19.4,4.55,11.1,7.25,54.5,25.0,0.0,102.0,2.9,23.0,35.5
Freddie Stevenson,FA,2017,Combine,6-0,341,32.75,9.88,4.75,47.2,4.45,29.6,7.65,9.1,28.0,5.9,111.0,20.6,24.0,48.4
Lorenzo Taliaferro,FA,2014,Combine,6-0,225,32.00,8.38,4.58,86.1,4.22,88.9,6.88,95.5,33.0,35.3,118.0,79.4,18.0,9.7
Lawrence Thomas,FA,2016,Combine,6-3,286,33.25,10.13,4.98,5.6,,-,,-,35.0,79.4,113.0,38.2,,-
Soma Vainuku,FA,2016,Combine,6-0,255,32.75,9.50,4.68,69.4,,-,,-,32.0,20.6,108.0,5.9,26.0,74.2
Danny Vitale,NE,2016,Combine,6-0,239,31.75,9.75,4.60,83.3,4.12,92.6,7.12,68.2,38.5,97.1,123.0,94.1,30.0,83.9
Derek Watt,PIT,2016,Pro Day,6-2,234,,,4.75,47.2,4.29,77.8,,-,33.5,50.0,116.0,67.6,19.0,12.9
