,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Roberto Aguayo,FA,2016,Combine,6-0,207,31.75,9.88,4.96,28.6,,-,,-,,-,,-,,-
Michael Badgley,LAC,2018,Combine,5-10,183,29.00,8.75,4.94,40.0,,-,,-,,-,,-,,-
Dan Bailey,MIN,,Combine,6-0,190,,,4.92,48.6,,-,,-,,-,,-,,-
Tyler Bass,BUF,2020,Combine,5-10,183,29.50,8.75,,-,,-,,-,,-,,-,,-
Rodrigo Blankenship,IND,2020,Combine,6-1,184,30.63,9.00,,-,,-,,-,,-,,-,,-
Chris Boswell,PIT,,Combine,6-2,185,,,4.93,42.9,,-,,-,,-,,-,,-
Kyle Brindza,FA,,Combine,6-0,239,,,5.17,5.7,,-,,-,,-,,-,14.0,33.3
Jonathan Brown,FA,2014,Combine,5-10,194,,,5.03,22.9,4.56,100.0,7.77,0.0,31.0,66.7,108.0,33.3,16.0,66.7
Josh Brown,FA,2014,Pro Day,6-0,202,,,4.89,54.3,4.92,0.0,7.75,100.0,24.0,0.0,91.0,0.0,11.0,0.0
Drew Brown,FA,2018,Combine,5-10,204,29.00,8.38,,-,,-,,-,,-,,-,,-
David Buehler,FA,,Combine,6-1,227,,,4.57,100.0,,-,,-,,-,,-,25.0,100.0
Harrison Butker,KC,2017,Combine,6-4,205,,,,-,,-,,-,,-,,-,,-
Daniel Carlson,LV,2018,Combine,6-5,215,32.00,9.75,,-,,-,,-,,-,,-,,-
Brad Craddock,FA,2016,Combine,6-0,186,31.00,8.25,4.88,62.9,,-,,-,,-,,-,,-
Mason Crosby,GB,,Combine,6-1,207,,,5.18,2.9,,-,,-,,-,,-,,-
Derek Dimke,FA,,Combine,6-0,180,,,5.02,25.7,,-,,-,,-,,-,,-
dfaskl dsfklasd,FA,2017,Combine,5-9,167,29.00,9.00,4.79,74.3,,-,,-,,-,,-,,-
Ka'imi Fairbairn,HOU,2016,Combine,6-0,183,31.25,9.25,4.96,28.6,,-,,-,,-,,-,,-
Anthony Fera,FA,,Combine,6-1,220,,,4.85,71.4,,-,,-,,-,,-,,-
Sam Ficken,NYJ,,Combine,6-1,192,,,5.06,14.3,,-,,-,,-,,-,,-
Nick Folk,NE,,Combine,6-1,222,34.25,10.60,4.95,37.1,,-,,-,30.5,33.3,112.0,66.7,,-
Kai Forbath,FA,,Combine,5-11,197,,30.75,4.78,77.1,,-,,-,,-,,-,,-
Matt Gay,FA,2019,Combine,6-0,232,30.50,9.00,,-,,-,,-,,-,,-,,-
Zane Gonzalez,ARI,2017,Combine,6-0,202,29.50,9.00,,-,,-,,-,,-,,-,,-
Alex Henery,FA,,Combine,6-1,177,,,4.87,65.7,,-,,-,,-,,-,,-
Zach Hocker,FA,,Combine,6-0,191,,,4.90,51.4,,-,,-,,-,,-,,-
Dustin Hopkins,WAS,,Combine,6-2,205,,,4.74,85.7,,-,,-,33.5,100.0,116.0,100.0,,-
Josh Jasper,FA,,Combine,5-10,174,,,5.06,14.3,,-,,-,,-,,-,,-
Marshall Koehn,FA,2016,Combine,6-0,197,32.25,9.50,4.61,97.1,,-,,-,,-,,-,,-
Josh Lambo,JAX,,Combine,6-0,215,,,5.16,8.6,,-,,-,,-,,-,,-
John Lunsford,FA,2016,Combine,6-1,180,32.88,10.13,4.74,85.7,,-,,-,,-,,-,,-
Brett Maher,FA,,Combine,6-1,183,,,4.89,54.3,,-,,-,,-,,-,,-
Justin Manton,FA,,Combine,6-3,196,,,4.93,42.9,,-,,-,,-,,-,,-
Justin Medlock,FA,,Combine,6-0,201,,,4.89,54.3,,-,,-,,-,,-,,-
JJ Molson,FA,2020,Combine,5-11,182,30.75,9.50,,-,,-,,-,,-,,-,,-
Nick Novak,FA,,Combine,6-0,200,,,5.10,11.4,,-,,-,,-,,-,,-
Mike Nugent,FA,,Combine,5-10,190,,,4.72,91.4,,-,,-,,-,,-,,-
Eddy Pineiro,CHI,2018,Combine,5-11,177,29.88,8.25,,-,,-,,-,,-,,-,,-
Jake Rogers,FA,,Combine,6-2,220,,,5.06,14.3,,-,,-,,-,,-,,-
Cairo Santos,CHI,,Combine,5-8,160,,,4.76,82.9,,-,,-,,-,,-,,-
Josh Scobee,FA,,Combine,6-1,200,,,4.87,65.7,,-,,-,,-,,-,,-
Austin Seibert,CIN,2019,Combine,5-9,214,30.38,8.88,,-,,-,,-,,-,,-,,-
Caleb Sturgis,FA,,Combine,5-9,192,30.00,8.75,4.77,80.0,,-,,-,,-,,-,,-
David Teggart,FA,,Combine,6-0,207,,,5.25,0.0,,-,,-,,-,,-,,-
Cole Tracy,FA,2019,Combine,5-10,184,29.75,9.13,,-,,-,,-,,-,,-,,-
Justin Tucker,BAL,2005,Combine,6-1,183,,,4.71,94.3,,-,,-,,-,,-,,-
Conrad Ukropina,FA,2017,Combine,6-0,190,31.38,9.13,,-,,-,,-,,-,,-,,-
Blair Walsh,FA,,Combine,5-10,175,29.38,8.38,4.96,28.6,,-,,-,,-,,-,,-
