,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Sam Acho,FA,,Combine,6-2,258,33.50,9.75,4.68,54.0,4.32,45.3,6.69,97.5,33.5,45.3,112.0,14.4,23.0,55.0
Emmanuel Acho,FA,,Combine,6-2,240,33.00,10.00,4.73,39.5,,-,,-,35.5,67.0,118.0,47.7,24.0,63.9
Olasunkanmi Adeniyi,PIT,2018,Combine,6-1,248,31.75,9.68,4.83,16.1,4.28,58.0,7.21,28.3,31.5,21.4,,-,26.0,79.9
Azeez Al-Shaair,SF,2019,Combine,6-2,228,32.38,9.50,,-,,-,,-,,-,,-,16.0,9.1
Otaro Alaka,BAL,2019,Combine,6-3,239,33.00,9.75,4.82,18.5,,-,,-,36.0,71.2,131.0,97.6,20.0,29.5
Dominique Alexander,FA,2016,Combine,6-0,235,32.25,9.00,4.64,67.5,,-,,-,28.5,2.9,104.0,1.3,17.0,13.2
Maurice Alexander,FA,2014,Combine,6-2,220,,,4.50,92.7,4.51,13.6,7.05,59.4,38.0,86.2,123.0,78.7,,-
Kwon Alexander,SF,2015,Combine,6-1,227,,,4.55,86.9,4.20,81.7,7.14,41.8,36.0,71.2,121.0,67.8,24.0,63.9
Lorenzo Alexander,FA,,Combine,6-1,245,,,5.12,0.0,4.55,8.6,7.53,3.4,29.5,6.0,106.0,2.9,28.0,89.5
Dakota Allen,JAX,2019,Combine,6-1,232,31.25,9.25,4.77,28.6,4.04,95.9,6.88,86.5,31.5,21.4,116.0,35.0,23.0,55.0
Marcus Allen,PIT,2018,Combine,6-2,215,,,,-,4.32,45.3,,-,37.0,79.0,127.0,91.6,15.0,4.1
Bryson Allen-Williams,FA,2019,Combine,6-1,236,31.50,9.75,4.88,8.9,,-,7.40,9.8,,-,,-,14.0,3.0
Jeff Allison,FA,2019,Combine,5-11,228,32.25,10.00,4.82,18.5,4.45,21.3,7.20,30.8,31.0,16.3,115.0,30.4,12.0,1.1
Kiko Alonso,NO,,Combine,6-3,239,,,4.74,36.5,,-,,-,,-,,-,,-
Chucks Amaechi,FA,2017,Pro Day,6-2,230,,,4.83,16.1,,-,,-,32.0,25.9,,-,,-
Pat Angerer,FA,2010,Combine,6-1,235,,,4.71,44.8,4.29,55.9,7.04,60.3,35.0,60.3,110.0,8.4,26.0,79.9
Stephone Anthony,FA,2015,Combine,6-3,245,,,4.56,84.5,4.03,96.2,7.07,54.8,37.0,79.0,122.0,74.5,23.0,55.0
Alex Anzalone,NO,2017,Combine,6-3,241,32.13,9.13,4.63,69.6,4.25,70.4,6.88,86.5,30.5,12.7,116.0,35.0,16.0,9.1
Antwan Applewhite,FA,2007,Combine,6-3,258,,,4.73,39.5,4.36,39.3,7.50,4.6,35.0,60.3,115.0,30.4,25.0,73.7
Dorance Armstrong,DAL,2018,Combine,6-4,255,34.75,10.00,4.87,10.3,4.23,76.3,7.12,45.5,30.0,9.6,118.0,47.7,20.0,29.5
Baraka Atkins,FA,2007,Combine,6-4,268,,,4.69,51.0,,-,,-,33.0,37.3,111.0,11.1,22.0,47.0
Akeem Ayers,FA,,Combine,6-3,247,,,4.81,20.2,4.28,58.0,7.49,5.8,31.0,16.3,116.0,35.0,18.0,16.2
Joe Bachie,FA,2020,Combine,6-2,231,31.63,10.25,4.67,56.5,4.34,42.0,6.93,77.8,33.5,45.3,119.0,54.5,26.0,79.9
Markus Bailey,CIN,2020,Combine,6-0,235,31.50,9.38,,-,,-,,-,,-,,-,15.0,4.1
Jerome Baker,MIA,2018,Combine,6-2,225,31.50,10.38,4.53,88.3,,-,,-,36.5,75.9,126.0,89.6,22.0,47.0
Neiron Ball,FA,,Pro Day,6-2,236,,,4.60,75.2,,-,,-,34.5,56.0,,-,,-
Anthony Barr,MIN,,Combine,6-5,255,33.50,9.38,4.66,59.3,4.19,84.6,6.82,92.3,34.5,56.0,119.0,54.5,15.0,4.1
Sam Barrington,FA,,Combine,6-1,240,,,4.91,5.0,,-,,-,32.5,32.4,117.0,41.2,22.0,47.0
Mark Barron,DEN,2012,Combine,6-2,230,33.63,9.50,4.54,87.3,,-,,-,,-,,-,,-
Lamin Barrow,FA,2014,Combine,6-2,235,,,4.64,67.5,4.35,41.1,7.24,25.2,35.0,60.3,123.0,78.7,22.0,47.0
Cody Barton,SEA,2019,Combine,6-2,237,31.88,9.25,4.64,67.5,4.03,96.2,6.90,83.1,32.5,32.4,116.0,35.0,30.0,93.6
Connor Barwin,FA,2009,Combine,6-4,255,,,4.59,78.0,4.18,86.1,6.87,88.3,40.5,97.3,128.0,93.3,21.0,38.4
Tarell Basham,NYJ,2017,Combine,6-4,266,34.25,10.25,4.70,47.8,4.35,41.1,7.27,21.2,31.5,21.4,119.0,54.5,15.0,4.1
Zack Baun,NO,2020,Combine,6-3,225,32.75,9.63,4.65,61.5,4.31,49.4,7.00,65.5,32.5,32.4,115.0,30.4,24.0,63.9
Jon Beason,FA,,Combine,6-0,232,,,4.72,42.3,,-,,-,,-,111.0,11.1,19.0,22.8
Steve Beauharnais,FA,,Combine,6-2,230,,,4.84,14.1,4.20,81.7,6.99,67.7,33.0,37.3,118.0,47.7,19.0,22.8
Kendell Beckwith,FA,2017,Pro Day,6-2,243,33.00,9.50,,-,,-,,-,,-,,-,,-
Mike Bell,FA,2019,Combine,6-3,220,32.38,9.25,4.83,16.1,4.46,18.9,7.10,49.5,30.0,9.6,118.0,47.7,10.0,0.5
Brandon Bell,FA,2017,Pro Day,6-1,238,,,4.68,54.0,,-,,-,32.0,25.9,108.0,3.8,15.0,4.1
Davin Bellamy,FA,2018,Combine,6-5,259,33.25,9.50,,-,,-,,-,,-,,-,15.0,4.1
Francis Bernard,DAL,2020,Combine,6-1,230,31.88,9.88,4.81,20.2,,-,,-,32.5,32.4,120.0,61.0,19.0,22.8
Vince Biegel,MIA,2017,Combine,6-3,246,32.38,9.13,4.67,56.5,4.30,53.6,6.92,79.4,33.5,45.3,118.0,47.7,21.0,38.4
Keishawn Bierria,FA,2018,Combine,6-0,230,31.13,9.38,4.79,23.8,,-,7.26,22.2,30.4,12.5,117.0,41.2,21.0,38.4
Daniel Bituli,FA,2020,Combine,6-2,246,34.38,9.25,4.84,14.1,,-,,-,32.0,25.9,121.0,67.8,16.0,9.1
Michael Boley,FA,2005,Combine,6-2,236,,,4.56,84.5,4.12,91.7,7.08,52.9,34.0,51.6,113.0,18.4,,-
Devante Bond,FA,2016,Combine,6-1,236,32.38,9.25,4.70,47.8,4.36,39.3,7.07,54.8,37.5,83.0,121.0,67.8,21.0,38.4
Chris Borland,FA,,Combine,5-11,248,29.25,9.88,4.83,16.1,4.27,65.1,7.18,35.4,31.0,16.3,114.0,25.3,27.0,84.2
Jon Bostic,WAS,,Combine,6-1,245,33.00,9.63,4.59,78.0,4.24,74.9,6.99,67.7,32.5,32.4,118.0,47.7,22.0,47.0
Kyle Bosworth,FA,2010,Combine,6-1,236,,,4.69,51.0,4.11,92.6,6.67,98.2,32.5,32.4,117.0,41.2,25.0,73.7
Ben Boulware,FA,2017,Combine,6-1,235,30.50,10.00,,-,4.43,24.0,7.02,63.1,29.5,6.0,111.0,11.1,20.0,29.5
Alvin Bowen,FA,2008,Combine,6-1,222,,,4.79,23.8,4.30,53.6,7.21,28.3,34.0,51.6,119.0,54.5,15.0,4.1
Tashawn Bower,FA,2017,Combine,6-5,250,33.37,9.82,4.82,18.5,4.37,36.7,7.20,30.8,31.5,21.4,121.0,67.8,20.0,29.5
NaVorro Bowman,FA,2010,Combine,6-0,242,33.00,9.88,4.70,47.8,4.59,5.0,6.91,81.2,29.5,6.0,115.0,30.4,26.0,79.9
Tyus Bowser,BAL,,Combine,6-3,242,,,4.65,61.5,,-,6.75,94.8,37.5,83.0,127.0,91.6,21.0,38.4
Carl Bradford,FA,2014,Combine,6-1,248,,,4.76,31.0,4.30,53.6,7.25,23.7,37.5,83.0,122.0,74.5,23.0,55.0
Allen Bradford,FA,2011,Combine,5-11,235,32.50,9.38,4.53,88.3,4.39,31.7,,-,29.0,4.7,113.0,18.4,28.0,89.5
Nigel Bradham,FA,,Combine,6-2,241,,,4.56,84.5,4.37,36.7,7.18,35.4,37.0,79.0,121.0,67.8,24.0,63.9
Shaun Bradley,PHI,2020,Combine,6-1,235,31.75,9.50,4.51,91.1,4.24,74.9,7.07,54.8,32.5,32.4,121.0,67.8,14.0,3.0
Jordan Brailford,FA,2019,Combine,6-3,252,32.50,9.13,4.65,61.5,,-,,-,37.5,83.0,126.0,89.6,22.0,47.0
Jasper Brinkley,FA,2009,Combine,6-1,255,,,4.67,56.5,4.32,45.3,7.03,61.5,35.5,67.0,114.0,25.3,26.0,79.9
Jordyn Brooks,SEA,2020,Combine,6-0,240,32.88,9.13,4.54,87.3,,-,,-,,-,,-,,-
Kentrell Brothers,FA,2016,Combine,6-1,242,30.75,9.75,4.89,7.7,4.11,92.6,6.99,67.7,28.5,2.9,110.0,8.4,19.0,22.8
Cam Brown,NYG,2020,Combine,6-5,233,34.00,9.50,4.72,42.3,,-,,-,35.5,67.0,123.0,78.7,16.0,9.1
Jayon Brown,TEN,2017,Combine,6-0,226,31.38,9.63,4.70,47.8,,-,,-,31.5,21.4,120.0,61.0,17.0,13.2
Titus Brown,FA,2008,Combine,6-3,250,,,4.82,18.5,,-,,-,,-,,-,18.0,16.2
Beniquez Brown,FA,2016,Combine,6-1,229,31.38,9.13,4.77,28.6,4.28,58.0,7.07,54.8,31.0,16.3,110.0,8.4,18.0,16.2
Blair Brown,FA,2017,Pro Day,5-11,238,,,,-,,-,,-,38.0,86.2,97.0,0.4,22.0,47.0
Zach Brown,FA,,Combine,6-1,250,,,4.44,97.0,,-,,-,33.5,45.3,116.0,35.0,,-
Arthur Brown,FA,,Combine,6-0,240,,,4.62,70.6,,-,,-,,-,116.0,35.0,,-
Preston Brown,FA,2014,Combine,6-1,251,,,4.86,11.9,4.26,68.0,6.98,70.8,33.0,37.3,116.0,35.0,23.0,55.0
Deone Bucannon,FA,2014,Combine,6-1,211,32.38,9.75,4.49,94.2,4.26,68.0,6.96,73.5,36.5,75.9,125.0,87.6,19.0,22.8
Riley Bullough,FA,2017,Combine,6-2,228,31.25,9.88,,-,,-,,-,31.5,21.4,116.0,35.0,20.0,29.5
Max Bullough,FA,2014,Combine,6-3,258,,,4.78,26.4,4.30,53.6,7.22,27.4,31.0,16.3,112.0,14.4,30.0,93.6
Vontaze Burfict,FA,2012,Combine,6-1,255,,,5.00,1.8,4.56,7.1,7.51,4.3,30.0,9.6,104.0,1.3,16.0,9.1
Oren Burks,GB,2018,Combine,6-3,233,33.38,9.13,4.59,78.0,4.15,88.2,6.82,92.3,39.5,94.2,131.0,97.6,18.0,16.2
Kevin Burnett,FA,2005,Combine,6-3,230,,,4.58,80.0,,-,,-,36.0,71.2,130.0,95.8,20.0,29.5
Ben Burr-Kirven,SEA,2019,Combine,6-0,230,31.88,8.88,4.56,84.5,4.09,93.8,6.85,89.5,34.5,56.0,121.0,67.8,21.0,38.4
Miles Burris,FA,,Combine,6-2,240,,,4.67,56.5,,-,,-,37.5,83.0,121.0,67.8,31.0,97.3
Devin Bush,PIT,2019,Combine,5-11,234,32.00,9.63,4.43,98.0,4.23,76.3,6.93,77.8,40.5,97.3,124.0,82.0,21.0,38.4
Victor Butler,FA,2009,Combine,6-2,245,,,4.72,42.3,4.40,28.7,7.21,28.3,33.0,37.3,113.0,18.4,24.0,63.9
Donald Butler,FA,2010,Combine,6-1,242,,,4.61,73.4,,-,,-,,-,,-,35.0,99.5
Kenny Bynum,FA,2017,Pro Day,6-1,235,,,,-,,-,7.65,1.5,,-,,-,,-
Shilique Calhoun,NE,2016,Combine,6-4,260,34.25,9.88,4.82,18.5,4.25,70.4,6.97,72.3,35.0,60.3,115.0,30.4,23.0,55.0
Caleb Campbell,FA,2008,Combine,6-2,237,,,4.57,82.9,,-,,-,,-,,-,24.0,63.9
De'Vondre Campbell,ARI,2016,Combine,6-4,232,33.67,9.68,4.58,80.0,,-,,-,34.0,51.6,116.0,35.0,16.0,9.1
Tank Carder,FA,,Combine,6-2,235,,,4.58,80.0,4.18,86.1,6.89,84.9,34.5,56.0,121.0,67.8,19.0,22.8
Malik Carney,FA,2019,Combine,6-2,251,33.38,9.88,4.73,39.5,,-,7.40,9.8,33.0,37.3,113.0,18.4,25.0,73.7
Josh Carraway,FA,2017,Combine,6-3,242,34.25,9.25,4.74,36.5,4.44,22.5,7.20,30.8,29.5,6.0,120.0,61.0,25.0,73.7
Bruce Carter,FA,,Combine,6-2,240,32.63,9.25,4.57,82.9,,-,,-,,-,,-,25.0,73.7
Lorenzo Carter,NYG,2018,Combine,6-5,250,34.00,10.38,4.50,92.7,,-,,-,36.0,71.2,130.0,95.8,,-
Jeremy Cash,FA,2016,Combine,6-0,230,32.38,10.50,,-,,-,,-,,-,,-,,-
Blake Cashman,NYJ,2019,Combine,6-1,237,30.13,8.75,4.50,92.7,4.12,91.7,6.95,75.4,37.5,83.0,124.0,82.0,18.0,16.2
Jonathan Casillas,FA,2009,Combine,6-1,227,,,4.50,92.7,,-,,-,,-,,-,24.0,63.9
Jamar Chaney,FA,2010,Combine,6-0,242,,,4.54,87.3,4.29,55.9,6.90,83.1,39.0,92.2,124.0,82.0,26.0,79.9
Anthony Chickillo,DEN,2015,Combine,6-3,255,,,4.79,23.8,4.25,70.4,7.17,36.9,34.5,56.0,114.0,25.3,27.0,84.2
Bradley Chubb,DEN,2018,Combine,6-4,269,34.00,9.88,4.65,61.5,4.41,27.2,7.37,13.2,36.0,71.2,121.0,67.8,24.0,63.9
Jack Cichy,TB,2018,Combine,6-2,238,32.13,9.50,,-,,-,,-,,-,,-,18.0,16.2
Keenan Clayton,FA,,Combine,6-1,230,32.50,9.50,4.59,78.0,,-,,-,41.5,98.2,124.0,82.0,27.0,84.2
Reshard Cliett,FA,,Pro Day,6-2,225,,,4.40,99.2,4.53,10.4,7.20,30.8,38.5,89.5,124.0,82.0,21.0,38.4
Audie Cole,FA,,Combine,6-5,248,,,4.76,31.0,4.29,55.9,6.96,73.5,35.0,60.3,114.0,25.3,15.0,4.1
Trent Cole,FA,2005,Combine,6-3,270,,,4.70,47.8,,-,,-,,-,,-,,-
Jamie Collins,DET,,Combine,6-3,255,,,4.64,67.5,4.32,45.3,7.10,49.5,41.5,98.2,139.0,100.0,19.0,22.8
Te'Von Coney,FA,2019,Combine,6-1,229,32.88,9.50,,-,,-,,-,,-,,-,,-
Ryan Connelly,MIN,2019,Combine,6-2,242,30.88,9.38,4.66,59.3,4.31,49.4,7.09,50.8,34.5,56.0,118.0,47.7,,-
Kavell Conner,FA,2010,Combine,6-0,245,,,4.59,78.0,4.60,4.7,7.36,13.8,33.5,45.3,110.0,8.4,24.0,63.9
Dan Connor,FA,2008,Combine,6-3,233,,,4.67,56.5,,-,,-,,-,,-,,-
Kamalei Correa,TEN,2016,Combine,6-3,241,31.67,9.38,4.69,51.0,,-,,-,33.0,37.3,108.0,3.8,21.0,38.4
Carter Coughlin,NYG,2020,Combine,6-3,236,31.38,9.50,4.57,82.9,,-,,-,36.0,71.2,126.0,89.6,,-
Chris Covington,FA,2018,Combine,6-2,245,32.50,9.25,4.78,26.4,,-,,-,,-,,-,23.0,55.0
Brock Coyle,FA,2014,Pro Day,6-2,245,,,4.60,75.2,4.28,58.0,6.74,95.4,37.0,79.0,115.0,30.4,25.0,73.7
Yannik Cudjoe-Virgil,FA,,Combine,6-2,248,,,4.80,22.0,,-,,-,,-,,-,25.0,73.7
Zach Cunningham,HOU,2017,Combine,6-3,238,34.28,9.25,4.67,56.5,4.29,55.9,7.03,61.5,35.0,60.3,125.0,87.6,15.0,4.1
Brian Cushing,FA,2009,Combine,6-3,255,,,4.64,67.5,4.22,78.4,6.84,90.5,35.0,60.3,120.0,61.0,30.0,93.6
Steven Daniels,FA,2016,Combine,5-11,245,32.67,10.00,4.86,11.9,4.54,9.2,7.33,15.7,32.0,25.9,112.0,14.4,16.0,9.1
Karlos Dansby,FA,2004,Pro Day,6-4,250,,,4.58,80.0,4.46,18.9,7.48,6.8,35.0,60.3,,-,15.0,4.1
Lavonte David,TB,,Combine,6-1,233,31.75,8.75,4.65,61.5,4.22,78.4,7.28,20.0,36.5,75.9,119.0,54.5,19.0,22.8
Jamal Davis,FA,2019,Combine,6-4,240,34.25,10.25,4.60,75.2,4.44,22.5,7.00,65.5,39.0,92.2,122.0,74.5,19.0,22.8
Will Davis,FA,2014,Combine,6-3,268,,,4.43,98.0,4.02,97.0,6.52,99.4,35.5,67.0,127.0,91.6,16.0,9.1
Kevin Davis,FA,2017,Combine,6-2,235,33.38,10.25,4.91,5.0,4.38,34.0,7.18,35.4,30.5,12.7,110.0,8.4,11.0,0.7
Thomas Davis,WAS,2005,Combine,6-1,235,,,4.60,75.2,3.97,99.4,7.09,50.8,36.5,75.9,115.0,30.4,,-
Jarrad Davis,DET,2017,Pro Day,6-1,238,,,4.56,84.5,,-,,-,38.5,89.5,109.0,6.9,23.0,55.0
Keionta Davis,FA,2017,Pro Day,6-4,280,,,4.71,44.8,,-,,-,37.0,79.0,101.0,0.9,30.0,93.6
Deshaun Davis,FA,2019,Combine,5-11,234,31.25,10.00,,-,4.38,34.0,,-,31.0,16.3,111.0,11.1,25.0,73.7
Demario Davis,NO,,Combine,6-2,248,,,4.49,94.2,4.28,58.0,7.19,33.5,38.5,89.5,124.0,82.0,32.0,98.9
Akeem Davis-Gaither,CIN,2020,Combine,6-1,224,31.13,9.50,,-,,-,,-,,-,,-,21.0,38.4
Paul Dawson,FA,2015,Combine,6-0,240,,,4.93,3.4,4.49,16.3,,-,28.0,2.0,109.0,6.9,21.0,38.4
Nick DeLuca,FA,2018,Combine,6-2,251,32.75,10.25,4.85,13.5,4.23,76.3,7.09,50.8,29.5,6.0,112.0,14.4,18.0,16.2
Akeem Dent,FA,,Combine,6-1,250,,,4.73,39.5,,-,,-,37.5,83.0,123.0,78.7,24.0,63.9
Xzavier Dickson,FA,2015,Combine,6-3,260,,,4.74,36.5,4.53,10.4,7.56,2.8,29.5,6.0,100.0,0.7,19.0,22.8
Michael Divinity,FA,2020,Combine,6-2,242,33.63,9.50,4.85,13.5,,-,,-,31.0,16.3,115.0,30.4,14.0,3.0
Kevin Dodd,FA,2016,Pro Day,6-5,277,,,,-,4.44,22.5,7.32,16.0,30.5,12.7,110.0,8.4,22.0,47.0
Tyrel Dodson,BUF,2019,Combine,6-0,237,31.75,9.13,4.60,75.2,,-,,-,,-,118.0,47.7,24.0,63.9
Dylan Donahue,FA,2017,Combine,6-3,248,30.25,9.00,4.75,33.3,4.46,18.9,7.02,63.1,29.5,6.0,116.0,35.0,26.0,79.9
Garret Dooley,FA,2018,Combine,6-2,227,32.50,10.25,4.80,22.0,4.28,58.0,,-,33.0,37.3,121.0,67.8,21.0,38.4
Marcus Dowtin,FA,2012,Pro Day,6-2,226,,,4.56,84.5,4.14,89.9,6.89,84.9,38.0,86.2,122.0,74.5,18.0,16.2
