,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Hakeem Adeniji,CIN,2020,Combine,6-4,302,33.75,10.00,5.17,67.6,,-,,-,34.0,93.5,115.0,97.1,26.0,46.0
Vadal Alexander,FA,2016,Combine,6-5,326,35.25,10.50,5.57,1.8,4.90,20.5,8.04,25.0,,-,95.0,11.7,25.0,40.7
Gavin Andrews,FA,2017,Pro Day,6-5,334,33.50,9.75,,-,,-,8.20,6.8,25.0,8.6,96.0,13.6,35.0,90.3
Isaac Asiata,FA,2017,Combine,6-3,345,33.75,10.38,5.34,20.7,4.93,15.7,7.83,53.4,25.5,16.1,102.0,38.8,35.0,90.3
Zack Bailey,FA,2019,Combine,6-5,299,33.00,9.63,,-,,-,,-,28.0,40.9,103.0,42.7,24.0,34.5
Ben Bartch,JAX,2020,Combine,6-6,309,33.88,9.63,,-,,-,,-,,-,,-,,-
Willie Beavers,FA,2016,Combine,6-5,324,33.50,9.50,5.28,36.9,4.71,55.4,7.96,38.6,,-,103.0,42.7,20.0,12.4
Beau Benzschawel,FA,2019,Combine,6-6,315,33.38,,5.24,47.7,,-,,-,,-,,-,20.0,12.4
Evan Boehm,FA,2016,Combine,6-3,321,31.67,10.25,5.33,22.5,4.69,63.9,7.52,85.2,,-,96.0,13.6,24.0,34.5
Ben Braden,FA,2017,Combine,6-6,329,34.00,9.88,5.04,90.1,4.90,20.5,7.85,51.1,28.0,40.9,102.0,38.8,25.0,40.7
Ben Bredeson,BAL,2020,Combine,6-5,315,31.13,10.13,,-,,-,,-,,-,,-,,-
Jamon Brown,PHI,,Pro Day,6-4,340,,,5.09,82.0,4.70,60.2,7.36,94.3,28.0,40.9,103.0,42.7,,-
Daniel Brunskill,SF,2017,Combine,6-5,260,33.88,9.88,,-,4.84,33.7,7.90,46.6,28.0,40.9,106.0,59.2,17.0,4.4
Shaq Calhoun,FA,2019,Combine,6-3,310,33.13,10.00,5.07,87.4,4.62,73.5,7.46,88.6,28.5,53.8,105.0,51.5,26.0,46.0
A.J. Cann,JAX,2015,Combine,6-3,325,,,,-,,-,,-,,-,,-,26.0,46.0
Alex Cappa,TB,2018,Combine,6-6,305,32.67,9.25,5.39,12.6,,-,,-,26.5,25.8,97.0,19.4,24.0,34.5
James Carpenter,ATL,2011,Pro Day,6-5,321,,,,-,4.75,43.4,7.56,79.5,28.5,53.8,106.0,59.2,,-
Tyler Catalina,FA,2017,Pro Day,6-6,315,,,,-,,-,,-,31.0,80.6,,-,,-
Cameron Clark,NYJ,2020,Combine,6-5,308,34.13,11.00,5.29,34.2,,-,,-,25.0,8.6,101.0,36.9,26.0,46.0
Ezra Cleveland,MIN,2020,Combine,6-6,311,33.38,9.00,4.93,98.2,4.46,96.4,7.26,97.7,30.0,67.7,111.0,86.4,30.0,77.0
Ethan Cooper,FA,2017,Combine,6-2,322,32.63,10.38,5.36,16.2,4.88,27.7,8.02,28.4,24.5,7.5,99.0,28.2,26.0,46.0
Austin Corbett,LAR,2018,Combine,6-4,306,33.13,10.50,5.15,71.2,,-,,-,28.0,40.9,,-,19.0,8.8
Joe Dahl,DET,2016,Combine,6-4,305,33.13,9.13,5.18,64.9,4.77,41.0,7.64,72.7,,-,109.0,76.7,28.0,63.7
Dennis Daley,CAR,2019,Combine,6-6,325,33.38,9.50,5.23,51.4,4.92,16.9,7.95,39.8,26.5,25.8,103.0,42.7,20.0,12.4
Nate Davis,TEN,2019,Combine,6-3,316,33.13,9.50,5.23,51.4,4.83,34.9,7.94,40.9,26.0,21.5,107.0,66.0,23.0,26.5
Michael Deiter,MIA,2019,Combine,6-6,310,33.13,10.75,5.23,51.4,4.81,38.6,7.88,48.9,28.0,40.9,105.0,51.5,21.0,17.7
Jamil Demby,FA,2018,Combine,6-5,321,33.75,10.75,5.58,0.0,,-,,-,23.5,1.1,,-,17.0,4.4
J.J. Dielman,FA,2017,Combine,6-5,300,32.25,10.00,,-,,-,,-,,-,,-,27.0,58.4
Jamil Douglas,TEN,2015,Combine,6-4,309,,,5.25,45.0,4.75,43.4,7.99,34.1,29.0,60.2,99.0,28.2,28.0,63.7
David Edwards,LAR,2019,Combine,6-6,308,33.38,9.75,5.28,36.9,4.77,41.0,7.69,65.9,25.5,16.1,99.0,28.2,0.0,0.0
Parker Ehinger,FA,2016,Combine,6-6,310,33.00,9.88,5.26,41.4,,-,,-,,-,97.0,19.4,,-
Pat Elflein,MIN,2017,Combine,6-3,303,33.25,9.75,5.32,26.1,4.71,55.4,7.94,40.9,23.5,1.1,99.0,28.2,22.0,22.1
Jermaine Eluemunor,FA,2017,Pro Day,6-4,335,,,,-,,-,7.63,73.9,28.5,53.8,96.0,13.6,,-
Jon Feliciano,BUF,2015,Combine,6-4,325,,,5.33,22.5,4.74,49.4,,-,26.5,25.8,97.0,19.4,,-
Ereck Flowers,MIA,2015,Combine,6-6,330,,,5.31,29.7,,-,,-,,-,,-,37.0,95.6
Ramon Foster,FA,2017,Combine,6-5,328,32.38,10.25,,-,,-,,-,,-,,-,,-
Hjalte Froholdt,NE,2019,Combine,6-5,310,31.25,9.75,5.20,57.7,4.54,89.2,7.51,86.4,27.5,37.6,105.0,51.5,31.0,83.2
Andy Gallik,FA,2015,Combine,6-2,306,,,5.50,4.5,4.58,83.1,7.66,69.3,27.0,31.2,96.0,13.6,29.0,72.6
Max Garcia,ARI,,Pro Day,6-4,309,,,5.13,77.5,,-,8.18,10.2,28.0,40.9,103.0,42.7,,-
Joshua Garnett,WAS,2016,Combine,6-5,305,33.88,10.13,5.32,26.1,4.64,68.7,7.62,76.1,,-,99.0,28.2,30.0,77.0
Avery Gennesy,FA,2017,Pro Day,6-3,318,33.63,9.50,5.40,10.8,,-,,-,25.0,8.6,84.0,1.0,,-
Graham Glasgow,DEN,2016,Combine,6-6,310,33.67,10.75,5.13,77.5,4.63,71.1,7.63,73.9,,-,106.0,59.2,23.0,26.5
Mark Glowinski,IND,2015,Combine,6-4,310,,,5.20,57.7,4.58,83.1,7.56,79.5,29.5,64.5,113.0,93.2,31.0,83.2
Colby Gossett,CLE,2018,Combine,6-5,331,33.88,10.88,5.20,57.7,,-,,-,25.0,8.6,,-,32.0,85.8
Derwin Gray,PIT,2019,Combine,6-5,320,34.38,9.63,5.26,41.4,,-,,-,,-,90.0,2.9,26.0,46.0
Chaz Green,IND,2015,Combine,6-5,318,,,5.16,69.4,4.70,60.2,8.00,31.8,29.5,64.5,106.0,59.2,21.0,17.7
Brandon Greene,FA,2017,Pro Day,6-5,295,,,,-,,-,,-,,-,,-,22.0,22.1
Darrell Greene,FA,2016,Combine,6-3,321,31.67,9.68,5.20,57.7,4.98,10.8,8.07,22.7,,-,98.0,24.3,28.0,63.7
Sean Harlow,FA,2017,Combine,6-4,284,32.00,9.50,5.15,71.2,4.81,38.6,8.16,13.6,30.5,74.2,105.0,51.5,26.0,46.0
Mike Harris,FA,,Combine,6-5,338,,,4.52,100.0,4.07,100.0,6.81,100.0,36.0,97.8,117.0,99.0,,-
Phil Haynes,SEA,2019,Combine,6-4,322,33.50,9.50,5.20,57.7,4.95,13.3,7.76,60.2,31.0,80.6,108.0,70.9,33.0,86.7
Taylor Hearn,FA,2018,Combine,6-4,315,32.50,8.75,5.45,5.4,,-,,-,24.0,3.2,,-,18.0,6.2
Matt Hennessy,ATL,2020,Combine,6-4,295,32.25,10.00,5.18,64.9,4.60,79.5,7.45,89.8,30.0,67.7,110.0,80.6,23.0,26.5
Nate Herbig,PHI,2019,Combine,6-4,334,32.38,10.13,5.41,9.0,5.04,3.6,8.15,15.9,24.0,3.2,90.0,2.9,29.0,72.6
Eric Herman,FA,,Combine,6-4,320,32.25,10.88,5.25,45.0,5.09,1.2,7.99,34.1,28.0,40.9,95.0,11.7,36.0,94.7
Will Hernandez,NYG,2018,Combine,6-2,327,32.00,9.88,5.15,71.2,,-,,-,24.0,3.2,,-,37.0,95.6
Justin Herron,NE,2020,Combine,6-4,308,33.50,8.88,5.26,41.4,4.88,27.7,8.41,1.1,33.0,89.2,105.0,51.5,27.0,58.4
Germain Ifedi,CHI,2016,Combine,6-5,325,36.00,10.75,5.27,39.6,4.75,43.4,,-,,-,109.0,76.7,24.0,34.5
Danny Isidora,FA,2017,Combine,6-3,306,33.00,9.88,5.03,91.0,4.90,20.5,8.13,17.0,29.0,60.2,94.0,7.8,26.0,46.0
Cordel Iwuagwu,FA,2020,Combine,6-3,309,33.75,10.13,5.22,55.0,4.87,30.1,8.03,26.1,27.0,31.2,94.0,7.8,25.0,40.7
Jonah Jackson,DET,2020,Combine,6-4,312,33.50,10.50,5.23,51.4,5.02,4.8,7.83,53.4,26.0,21.5,98.0,24.3,28.0,63.7
Dominick Jackson,FA,2016,Combine,6-5,313,33.00,9.75,,-,,-,,-,,-,97.0,19.4,20.0,12.4
Elgton Jenkins,GB,2019,Combine,6-5,311,34.00,10.25,,-,4.62,73.5,7.77,58.0,28.0,40.9,109.0,76.7,29.0,72.6
John Jerry,FA,,Combine,6-5,340,34.00,9.75,5.15,71.2,4.69,63.9,,-,,-,,-,,-
Fred Johnson,CIN,2019,Combine,6-7,326,34.00,10.63,,-,,-,,-,,-,,-,,-
Sam Jones,FA,2018,Combine,6-5,305,31.00,9.50,5.32,26.1,,-,,-,27.0,31.2,,-,28.0,63.7
Michael Jordan,CIN,2019,Combine,6-6,315,34.25,10.00,5.27,39.6,4.71,55.4,7.71,63.6,32.5,87.1,116.0,98.1,19.0,8.8
Nila Kasitati,FA,2016,Combine,6-4,315,32.00,10.50,5.32,26.1,4.83,34.9,8.30,3.4,,-,107.0,66.0,12.0,1.8
Solomon Kindley,MIA,2020,Combine,6-4,339,32.25,10.00,,-,,-,,-,,-,,-,,-
Denver Kirkland,FA,2016,Combine,6-5,335,34.63,9.63,5.55,2.7,5.06,2.4,8.72,0.0,,-,94.0,7.8,19.0,8.8
Forrest Lamp,LAC,2017,Combine,6-4,310,32.25,10.63,5.00,93.7,4.62,73.5,7.55,81.8,37.5,100.0,111.0,86.4,34.0,87.6
Cameron Lee,FA,2017,Combine,6-5,312,33.88,10.88,5.44,7.2,4.75,43.4,8.02,28.4,25.5,16.1,100.0,35.0,18.0,6.2
Shane Lemieux,NYG,2020,Combine,6-4,310,32.25,9.50,5.11,81.1,4.90,20.5,8.13,17.0,25.5,16.1,107.0,66.0,0.0,0.0
Corey Levin,FA,2017,Combine,6-4,307,33.50,10.88,5.16,69.4,4.73,50.6,7.55,81.8,26.5,25.8,106.0,59.2,26.0,46.0
Damien Lewis,SEA,2020,Combine,6-2,327,33.00,10.25,5.24,47.7,,-,,-,30.0,67.7,108.0,70.9,27.0,58.4
Alex Lewis,NYJ,2016,Combine,6-6,305,34.00,10.00,5.22,55.0,4.72,54.2,7.94,40.9,,-,100.0,35.0,27.0,58.4
Chris Lindstrom,ATL,2019,Combine,6-3,307,34.13,9.50,4.91,99.1,4.54,89.2,7.61,77.3,30.5,74.2,117.0,99.0,25.0,40.7
Cole Madison,FA,2018,Combine,6-5,308,32.25,10.38,5.34,20.7,,-,,-,28.5,53.8,97.0,19.4,26.0,46.0
K.J. Malone,FA,2018,Combine,6-4,321,33.50,9.25,5.30,30.6,,-,,-,29.5,64.5,,-,15.0,2.7
Ali Marpet,TB,2015,Combine,6-4,307,,,4.98,94.6,4.47,95.2,7.33,95.5,30.5,74.2,108.0,70.9,30.0,77.0
Zack Martin,DAL,,Combine,6-4,315,32.88,9.50,,-,4.59,81.9,7.65,71.6,28.0,40.9,106.0,59.2,29.0,72.6
