,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Trey Adams,FA,2020,Combine,6-8,311,34.38,9.88,5.60,3.2,,-,,-,24.5,11.1,92.0,2.6,,-
Paul Adams,FA,2019,Combine,6-5,317,33.50,10.00,5.18,57.9,4.74,62.4,7.68,72.6,27.0,30.6,103.0,33.6,16.0,5.0
Tremayne Anchrum,LAR,2020,Combine,6-2,314,33.63,9.63,5.21,50.0,,-,,-,24.5,11.1,104.0,39.7,26.0,72.5
Mark Asper,FA,,Combine,6-7,325,32.25,9.75,,-,,-,,-,,-,,-,23.0,40.0
Erik Austell,FA,2017,Combine,6-3,300,32.00,9.00,5.23,42.9,4.90,27.1,8.13,19.0,27.5,39.8,107.0,56.0,24.0,55.8
Alvin Bailey,FA,,Combine,6-3,320,34.75,9.38,4.90,94.4,,-,,-,,-,,-,27.0,81.7
Zach Banner,PIT,2017,Combine,6-8,360,34.88,10.75,5.58,4.0,5.21,2.4,8.31,9.5,23.5,5.6,92.0,2.6,22.0,31.7
Alex Bars,CHI,2019,Combine,6-6,312,32.75,9.38,,-,,-,,-,,-,,-,,-
Jackson Barton,NYG,2019,Combine,6-7,310,34.00,9.25,5.18,57.9,4.66,70.6,7.85,48.8,27.0,30.6,109.0,69.0,25.0,66.7
Ryan Bates,BUF,2019,Combine,6-4,302,32.50,9.50,5.09,75.4,4.53,91.8,7.45,91.7,27.0,30.6,102.0,28.4,0.0,0.0
William Beatty,FA,,Combine,6-6,319,,,5.12,70.6,,-,7.62,78.6,33.5,92.6,107.0,56.0,27.0,81.7
Mekhi Becton,NYJ,2020,Combine,6-7,363,33.63,10.75,5.10,74.6,,-,,-,,-,,-,23.0,40.0
Caleb Benenoch,FA,2016,Combine,6-5,305,,,4.98,88.1,5.11,8.2,8.15,17.9,,-,104.0,39.7,,-
Adam Bisnowaty,FA,2017,Combine,6-6,305,33.88,11.38,5.23,42.9,4.94,22.4,8.02,29.8,30.0,69.4,96.0,6.9,23.0,40.0
Garett Bolles,DEN,2017,Combine,6-5,297,34.00,9.38,4.95,90.5,4.55,88.2,7.29,98.8,28.0,43.5,115.0,92.2,,-
Josh Boutte,FA,2017,Pro Day,6-4,351,10.38,32.67,5.25,39.7,,-,,-,27.0,30.6,96.0,6.9,28.0,87.5
Cory Brandon,FA,2011,Pro Day,6-7,324,,,5.34,21.4,4.97,21.2,8.04,26.2,26.0,20.4,102.0,28.4,26.0,72.5
James Brewer,FA,,Combine,6-6,330,35.50,10.35,5.27,33.3,4.81,43.5,7.84,51.2,26.0,20.4,100.0,22.4,25.0,66.7
David Bright,FA,2018,Combine,6-5,293,33.25,10.25,,-,,-,,-,,-,,-,,-
Charles Brown,FA,,Combine,6-5,297,35.25,11.38,,-,,-,,-,31.5,84.3,,-,,-
Orlando Brown,BAL,2018,Combine,6-8,345,35.00,9.75,5.85,0.0,,-,,-,19.5,0.0,82.0,0.0,14.0,2.5
