,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Vernon Adams,FA,2016,Combine,5-11,200,30.25,9.13,4.83,48.0,4.20,78.4,6.82,93.0,29.5,26.9,114.0,62.5,,-
Austin Allen,FA,2018,Combine,6-1,209,30.67,9.68,4.81,50.9,4.48,19.6,7.18,35.9,29.5,26.9,112.0,48.1,,-
Brandon Allen,FA,2016,Combine,6-2,209,31.25,8.88,4.84,44.4,4.33,51.4,7.06,64.1,28.0,11.9,110.0,36.3,,-
Josh Allen,BUF,2018,Combine,6-5,237,33.25,10.13,4.75,68.4,4.40,35.8,6.90,87.5,33.5,73.8,119.0,83.8,,-
Derek Anderson,FA,2005,Combine,6-6,235,,,5.03,8.2,4.67,1.4,,-,29.0,20.6,103.0,8.8,,-
Matt Barkley,BUF,2013,Pro Day,6-2,234,,,4.90,32.2,4.58,4.1,,-,,-,,-,,-
J.T. Barrett,FA,2018,Combine,6-2,220,32.00,9.88,4.70,77.2,4.44,27.0,7.38,14.1,30.0,34.4,108.0,28.8,,-
C.J. Beathard,SF,2017,Combine,6-2,215,30.63,9.38,,-,,-,,-,31.0,46.3,113.0,56.3,,-
Kurt Benkert,FA,2018,Combine,6-4,215,31.00,9.50,4.95,19.3,4.33,51.4,7.15,43.8,31.0,46.3,112.0,48.1,16.0,68.4
Bryan Bennett,FA,2015,Combine,6-2,211,31.00,9.50,4.81,50.9,4.20,78.4,7.13,49.2,37.0,97.5,125.0,96.9,,-
Anthony Boone,FA,2015,Combine,6-0,231,31.63,9.63,5.03,8.2,4.62,3.4,7.47,7.8,26.5,3.1,100.0,3.8,,-
Blake Bortles,DEN,2014,Combine,6-5,236,32.88,9.38,4.93,24.0,4.21,75.7,7.08,61.7,32.5,62.5,115.0,66.3,,-
Tajh Boyd,FA,2014,Combine,6-1,222,30.75,9.63,4.84,44.4,4.23,74.3,7.33,17.2,30.5,38.1,106.0,23.1,,-
Trevone Boykin,FA,2016,Combine,6-0,213,31.67,9.38,4.77,64.9,4.40,35.8,,-,32.0,56.3,110.0,36.3,,-
Sam Bradford,FA,2010,Combine,6-4,224,34.38,9.50,,-,,-,,-,,-,,-,,-
Tom Brady,TB,,Combine,6-4,225,,,5.28,0.6,4.38,43.2,7.20,31.3,24.5,0.6,99.0,1.9,,-
Tyler Bray,FA,2013,Combine,6-6,215,33.00,9.25,5.05,6.4,4.51,13.5,7.20,31.3,,-,100.0,3.8,,-
Drew Brees,NO,,Combine,6-0,209,,,4.83,48.0,4.21,75.7,7.09,57.0,32.0,56.3,105.0,16.9,,-
Brandon Bridge,FA,2015,Combine,6-4,229,34.25,9.25,4.72,73.7,4.37,43.9,7.18,35.9,33.0,68.8,110.0,36.3,,-
Teddy Bridgewater,CAR,2014,Pro Day,6-2,215,,,4.79,58.5,,-,,-,,-,,-,,-
Jacoby Brissett,IND,2016,Combine,6-4,235,32.25,9.75,4.94,21.1,4.53,6.8,7.17,38.3,31.0,46.3,113.0,56.3,,-
Jake Browning,FA,2019,Combine,6-2,211,32.50,9.00,4.74,71.3,4.44,27.0,7.19,34.4,29.0,20.6,112.0,48.1,0.0,0.0
Kelly Bryant,FA,2020,Combine,6-3,229,32.25,9.50,4.69,77.8,4.51,13.5,7.33,17.2,35.0,88.1,125.0,96.9,,-
Joe Burrow,CIN,2020,Combine,6-4,221,30.88,9.00,,-,,-,,-,,-,,-,,-
Colby Cameron,FA,2013,Combine,6-2,210,32.00,9.00,4.78,62.6,4.28,62.8,6.98,75.8,30.5,38.1,112.0,48.1,,-
Jason Campbell,FA,2005,Combine,6-5,235,,,4.71,74.9,,-,,-,,-,,-,,-
Shane Carden,FA,2015,Combine,6-2,218,33.25,9.75,4.94,21.1,4.45,24.3,7.17,38.3,29.5,26.9,104.0,14.4,,-
Derek Carr,LV,2014,Combine,6-3,210,31.50,9.13,4.69,77.8,4.20,78.4,,-,34.5,85.0,110.0,36.3,,-
Matt Cassel,FA,,Pro Day,6-4,225,,,4.88,38.0,4.06,96.6,7.20,31.3,34.0,80.0,115.0,66.3,,-
Jimmy Clausen,FA,2010,Combine,6-2,210,30.75,9.00,,-,,-,,-,,-,,-,,-
Kellen Clemens,FA,2006,Combine,6-2,220,,,,-,,-,,-,,-,,-,,-
Connor Cook,FA,2016,Combine,6-4,215,33.00,9.75,4.79,58.5,4.28,62.8,7.21,29.7,33.0,68.8,113.0,56.3,,-
Kirk Cousins,MIN,2012,Combine,6-3,202,31.75,9.88,4.93,24.0,4.50,16.9,7.05,68.0,28.5,15.6,109.0,33.8,,-
Jay Cutler,FA,2006,Combine,6-3,231,,,4.77,64.9,4.31,56.8,7.12,51.6,,-,,-,23.0,84.2
Andy Dalton,DAL,2011,Combine,6-2,220,31.75,9.50,4.87,39.2,4.27,67.6,6.93,84.4,29.5,26.9,106.0,23.1,,-
Chase Daniel,DET,2009,Combine,6-0,229,,,4.79,58.5,4.31,56.8,,-,33.0,68.8,,-,,-
Sam Darnold,NYJ,2018,Combine,6-3,225,31.00,9.38,4.85,43.3,4.40,35.8,6.96,78.1,26.5,3.1,105.0,16.9,,-
Kevin Davidson,FA,2020,Combine,6-4,225,30.88,8.25,5.00,11.7,4.37,43.9,7.13,49.2,,-,,-,,-
Austin Davis,FA,,Pro Day,6-2,221,,,,-,,-,,-,,-,,-,,-
Pat Devlin,FA,2011,Combine,6-3,225,32.00,9.88,4.81,50.9,4.32,54.7,,-,33.0,68.8,116.0,71.3,,-
Joshua Dobbs,PIT,2017,Combine,6-3,216,32.63,9.25,4.64,83.6,4.31,56.8,6.75,97.7,33.0,68.8,122.0,93.1,,-
Brandon Doughty,FA,2016,Combine,6-3,212,32.00,9.13,5.22,1.8,4.52,10.1,7.49,5.5,27.0,6.3,103.0,8.8,,-
Jeff Driskel,DEN,2016,Combine,6-4,235,33.50,9.75,4.56,94.7,4.25,70.9,7.19,34.4,32.0,56.3,122.0,93.1,,-
Zac Dysert,FA,2013,Combine,6-3,223,32.63,9.13,,-,,-,,-,,-,,-,,-
Jacob Eason,IND,2020,Combine,6-6,231,32.88,9.50,4.89,35.1,4.75,0.0,7.50,4.7,27.5,10.0,110.0,36.3,,-
Danny Etling,FA,2018,Combine,6-3,225,31.00,9.38,4.76,67.3,4.37,43.9,7.09,57.0,30.5,38.1,114.0,62.5,,-
Jerod Evans,FA,2017,Combine,6-3,238,33.13,9.38,4.80,56.1,4.41,32.4,,-,26.5,3.1,112.0,48.1,,-
Cody Fajardo,FA,2015,Combine,6-1,223,31.38,9.50,4.63,85.4,4.10,91.9,6.95,80.5,32.5,62.5,118.0,79.4,,-
David Fales,FA,2014,Combine,6-1,213,31.75,9.25,4.99,12.9,4.50,16.9,7.55,1.6,28.0,11.9,103.0,8.8,,-
Luke Falk,FA,2018,Combine,6-4,215,32.00,9.25,,-,,-,,-,26.5,3.1,103.0,8.8,,-
Riley Ferguson,FA,2018,Combine,6-2,196,30.88,9.68,4.98,14.6,4.40,35.8,6.96,78.1,29.0,20.6,110.0,36.3,,-
Ryan Finley,CIN,2019,Combine,6-4,207,32.88,9.50,4.73,72.5,4.20,78.4,7.20,31.3,30.5,38.1,116.0,71.3,0.0,0.0
Nick Fitzgerald,FA,2019,Combine,6-5,226,31.88,9.75,4.64,83.6,,-,,-,29.5,26.9,115.0,66.3,0.0,0.0
Ryan Fitzpatrick,MIA,2005,Combine,6-2,228,,,4.86,42.1,4.07,95.3,,-,30.5,38.1,105.0,16.9,,-
Joe Flacco,NYJ,2008,Combine,6-6,245,,,4.84,44.4,4.27,67.6,6.82,93.0,28.5,15.6,110.0,36.3,,-
Matt Flynn,FA,2008,Combine,6-2,225,,,4.79,58.5,4.34,50.0,,-,28.0,11.9,109.0,33.8,,-
Nick Foles,CHI,,Combine,6-6,243,34.25,10.63,5.14,2.3,,-,,-,30.5,38.1,112.0,48.1,,-
Josh Freeman,FA,2009,Combine,6-6,240,,,4.90,32.2,4.43,29.1,7.11,53.1,33.5,73.8,119.0,83.8,,-
Jake Fromm,BUF,2020,Combine,6-2,219,31.13,8.88,5.01,10.5,4.51,13.5,7.27,25.0,30.0,34.4,111.0,45.0,,-
Blaine Gabbert,TB,2011,Combine,6-4,235,33.00,10.00,4.61,88.3,4.26,68.9,,-,33.5,73.8,120.0,86.3,,-
Jimmy Garoppolo,SF,2014,Combine,6-2,225,31.00,9.25,4.97,16.4,4.26,68.9,7.04,68.8,30.5,38.1,110.0,36.3,,-
Mike Glennon,JAX,2013,Combine,6-7,225,33.13,9.63,4.94,21.1,4.52,10.1,7.49,5.5,26.5,3.1,102.0,6.3,,-
Jared Goff,LAR,2016,Combine,6-4,222,32.75,9.00,4.82,49.7,4.47,21.6,7.17,38.3,27.0,6.3,110.0,36.3,,-
Anthony Gordon,FA,2020,Combine,6-2,205,31.00,9.75,,-,,-,,-,,-,,-,,-
Bruce Gradkowski,FA,2006,Combine,6-1,217,,,4.59,89.5,4.16,83.8,,-,34.0,80.0,107.0,25.6,,-
Garrett Grayson,FA,2015,Pro Day,6-2,220,,,4.72,73.7,4.35,49.3,6.97,76.6,34.0,80.0,121.0,90.6,,-
