,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Ameer Abdullah,MIN,2015,Combine,5-9,203,30.00,8.63,4.60,31.0,3.95,99.6,6.79,88.7,42.5,99.7,130.0,94.2,24.0,81.2
Josh Adams,FA,2018,Combine,6-2,225,33.75,9.25,,-,,-,,-,,-,,-,18.0,36.9
Salvon Ahmed,MIA,2020,Combine,5-11,197,29.25,8.75,4.62,25.4,,-,,-,34.5,46.6,120.0,51.8,0.0,0.0
Jay Ajayi,FA,2015,Combine,6-0,223,32.00,10.00,4.57,40.1,4.10,87.9,7.10,34.0,39.0,90.7,121.0,60.7,19.0,45.1
Cam Akers,LAR,2020,Combine,5-10,217,30.63,9.00,4.47,76.6,,-,,-,35.5,59.0,122.0,70.3,20.0,52.6
Javorius Allen,FA,2015,Combine,6-0,218,31.75,9.38,4.53,55.0,4.28,41.3,6.96,61.3,35.5,59.0,121.0,60.7,11.0,3.8
C.J. Anderson,FA,2013,Combine,5-8,225,30.00,9.00,4.60,31.0,4.12,83.9,7.15,25.9,32.0,17.7,119.0,46.0,17.0,28.7
Darius Anderson,FA,2020,Combine,5-11,212,30.50,9.63,4.61,29.2,4.19,69.1,,-,36.0,67.1,0.0,0.0,19.0,45.1
Rodney Anderson,FA,2019,Combine,6-0,224,30.75,9.75,,-,,-,,-,,-,,-,25.0,85.7
Antonio Andrews,FA,2014,Combine,5-10,225,31.25,9.25,4.82,1.8,4.49,9.9,7.24,14.6,29.5,4.7,106.0,2.6,20.0,52.6
Dri Archer,FA,2014,Combine,5-8,173,31.00,8.88,4.26,99.7,4.06,94.6,6.86,79.2,38.0,84.5,122.0,70.3,20.0,52.6
Ryquell Armstead,JAX,2019,Combine,5-11,220,30.63,9.13,4.45,81.9,4.29,36.3,7.02,52.4,30.0,7.8,114.0,16.9,22.0,69.3
Cameron Artis-Payne,FA,2015,Combine,5-10,215,29.67,8.88,4.53,55.0,,-,7.13,29.2,36.5,73.6,118.0,35.1,,-
Matt Asiata,FA,2011,Combine,6-0,219,30.13,9.50,4.77,3.5,4.37,22.4,,-,30.0,7.8,104.0,1.6,22.0,69.3
George Atkinson,FA,2014,Combine,6-1,218,33.25,9.38,4.48,71.1,4.46,11.2,7.07,40.6,38.0,84.5,121.0,60.7,19.0,45.1
Edwin Baker,FA,2012,Combine,5-8,210,29.63,8.13,4.53,55.0,4.31,30.9,7.27,9.9,35.0,52.2,111.0,9.3,20.0,52.6
Montee Ball,FA,2013,Combine,5-10,215,32.63,9.00,4.66,14.0,4.40,14.8,6.88,75.9,32.0,17.7,118.0,35.1,15.0,11.9
Kalen Ballage,FA,2018,Combine,6-2,231,32.75,9.50,,-,,-,6.91,69.8,33.5,33.5,122.0,70.3,15.0,11.9
Vick Ballard,FA,2012,Combine,5-10,224,31.75,9.50,4.65,16.1,4.19,69.1,7.03,49.5,33.0,25.8,115.0,19.8,23.0,75.8
Peyton Barber,WAS,2016,Combine,5-11,225,30.25,9.38,4.64,19.6,4.21,59.2,7.00,55.2,32.5,22.0,111.0,9.3,20.0,52.6
Saquon Barkley,NYG,2018,Combine,5-11,233,31.38,9.50,4.41,89.8,,-,,-,41.0,97.2,,-,29.0,96.2
Kenjon Barner,FA,2013,Combine,5-9,195,29.63,9.13,4.52,58.8,4.20,63.2,6.87,77.4,35.5,59.0,122.0,70.3,20.0,52.6
Alex Barnes,FA,2019,Combine,6-0,226,31.00,10.00,4.59,34.2,4.10,87.9,6.95,64.2,38.5,88.2,126.0,87.2,34.0,100.0
Le'Veon Bell,NYJ,2013,Combine,6-1,225,31.50,9.63,4.60,31.0,4.24,53.4,6.75,91.0,31.5,14.6,118.0,35.1,24.0,81.2
Joique Bell,FA,2010,Combine,5-11,229,31.50,9.00,4.68,11.1,4.17,76.7,6.84,83.0,36.5,73.6,120.0,51.8,16.0,21.5
LeVante Bellamy,DEN,2020,Combine,5-9,192,30.25,8.75,4.50,62.9,,-,,-,39.5,92.2,125.0,82.7,16.0,21.5
Eno Benjamin,ARI,2020,Combine,5-9,207,31.25,8.63,4.57,40.1,4.25,50.7,6.97,59.0,39.0,90.7,122.0,70.3,12.0,6.1
Giovani Bernard,CIN,2013,Combine,5-9,205,28.00,9.38,4.53,55.0,4.12,83.9,6.91,69.8,33.5,33.5,122.0,70.3,19.0,45.1
Kapri Bibbs,FA,2014,Combine,5-11,203,31.38,8.50,4.67,13.2,,-,,-,29.0,2.8,106.0,2.6,24.0,81.2
LeGarrette Blount,FA,2010,Combine,6-0,247,33.50,10.00,4.70,9.1,4.49,9.9,6.85,81.1,35.0,52.2,117.0,28.4,18.0,36.9
Alfred Blue,FA,2014,Combine,6-2,225,32.38,9.88,4.63,21.1,4.50,8.1,7.15,25.9,32.0,17.7,121.0,60.7,13.0,7.5
Brandon Bolden,NE,2012,Combine,5-11,220,32.25,10.00,4.55,48.0,4.44,12.6,6.96,61.3,38.0,84.5,119.0,46.0,21.0,61.8
Devontae Booker,LV,2016,Combine,5-11,219,31.67,8.68,4.56,44.4,,-,,-,,-,,-,22.0,69.3
Ahmad Bradshaw,FA,2007,Combine,5-10,217,,,4.55,48.0,4.09,90.1,6.70,94.3,34.0,38.8,112.0,11.5,,-
