,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Johnathan Abram,LV,2019,Combine,6-0,205,31.38,9.63,4.45,79.3,,-,,-,,-,116.0,13.4,,-
Jamal Adams,SEA,2017,Combine,6-1,213,33.38,9.25,4.56,39.5,4.13,71.0,6.96,51.1,31.5,6.0,120.0,36.6,18.0,59.2
Nasir Adderley,LAC,2019,Combine,6-0,206,31.00,9.00,,-,,-,,-,,-,,-,,-
Walt Aikens,FA,2014,Pro Day,6-1,200,,,4.49,66.8,4.42,8.8,7.12,17.9,35.0,43.7,118.0,24.6,13.0,17.2
Ricardo Allen,ATL,,Combine,5-9,186,,,4.61,25.3,4.15,61.7,,-,35.5,51.1,117.0,20.1,13.0,17.2
Jason Allen,FA,2006,Combine,6-0,209,,,4.39,95.1,3.81,100.0,6.75,80.5,39.5,88.8,131.0,91.0,17.0,47.7
Nate Allen,FA,2010,Combine,6-0,214,31.00,9.38,4.50,63.5,,-,,-,,-,,-,16.0,38.9
Ugo Amadi,SEA,2019,Combine,5-9,201,31.75,9.50,4.51,58.6,4.19,49.7,7.21,11.6,32.5,11.9,115.0,9.7,18.0,59.2
Jonathon Amaya,FA,2010,Combine,6-2,190,,,4.43,85.5,,-,,-,28.0,1.1,118.0,24.6,8.0,0.8
Adrian Amos,GB,2015,Combine,6-0,214,,,4.56,39.5,4.03,90.7,7.09,21.1,35.5,51.1,122.0,54.9,,-
Troy Apke,WAS,2018,Combine,6-1,205,,,4.34,98.0,4.03,90.7,6.56,97.4,41.0,94.4,131.0,91.0,16.0,38.9
Grayland Arnold,PHI,2020,Combine,5-9,186,29.00,9.13,4.59,31.6,4.30,23.3,7.01,40.0,33.0,16.8,120.0,36.6,12.0,10.3
Larry Asante,FA,2010,Combine,6-0,210,,,4.62,21.1,4.17,56.5,7.00,43.2,37.5,77.2,118.0,24.6,14.0,21.8
Dion Bailey,FA,2014,Combine,6-0,211,,,4.66,10.9,4.15,61.7,6.97,48.4,34.0,30.6,113.0,4.1,,-
Budda Baker,ARI,2017,Combine,5-10,195,30.75,9.00,4.45,79.3,4.08,82.4,6.76,78.9,32.5,11.9,115.0,9.7,15.0,29.8
Jessie Bates,CIN,2018,Combine,6-1,200,,,4.50,63.5,4.26,33.7,6.78,75.8,35.5,51.1,117.0,20.1,,-
John Battle,FA,2019,Combine,6-0,201,31.75,9.63,4.67,9.5,4.33,17.1,7.09,21.1,29.5,1.5,120.0,36.6,,-
Vonn Bell,CIN,2016,Combine,5-11,205,32.38,9.50,,-,,-,,-,,-,,-,16.0,38.9
Nat Berhe,FA,2014,Combine,5-11,195,30.68,8.50,4.71,4.9,4.22,42.0,7.08,25.3,35.5,51.1,117.0,20.1,15.0,29.8
Eric Berry,FA,2010,Combine,6-0,212,,,4.40,92.8,4.23,38.9,6.80,73.7,43.0,98.9,130.0,89.2,19.0,67.9
Antoine Bethea,FA,2006,Combine,5-11,206,,,4.39,95.1,4.11,77.7,6.99,45.8,36.5,66.4,127.0,81.7,19.0,67.9
