,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Jared Abbrederis,FA,2014,Combine,6-1,195,31.38,9.63,4.50,50.3,4.08,87.0,6.80,76.9,30.5,3.9,117.0,22.4,4.0,0.2
Rodney Adams,FA,2017,Combine,6-1,189,32.00,9.00,4.44,73.0,4.28,38.2,6.98,45.1,29.5,2.1,125.0,75.2,8.0,4.4
Joe Adams,FA,2012,Combine,5-11,179,31.88,9.38,4.57,23.4,,-,7.09,23.8,36.0,52.8,123.0,60.5,,-
Davante Adams,GB,2014,Combine,6-1,215,32.63,9.00,4.56,27.0,4.30,35.7,6.82,72.7,39.5,88.0,123.0,60.5,14.0,44.2
Bralon Addison,FA,2016,Combine,5-10,190,29.50,9.13,4.66,6.5,4.14,75.9,6.95,51.2,34.5,36.3,116.0,18.2,13.0,34.7
Quincy Adeboyejo,NE,2017,Pro Day,6-3,200,31.75,9.38,,-,,-,,-,37.0,68.3,,-,,-
Nelson Agholor,LV,2015,Combine,6-0,198,32.25,9.25,4.42,78.8,,-,,-,,-,,-,12.0,27.4
Brandon Aiyuk,SF,2020,Combine,6-0,200,33.50,9.75,4.50,50.3,,-,,-,40.0,90.5,128.0,86.8,11.0,18.3
Seyi Ajirotutu,FA,2010,Combine,6-3,215,32.63,9.38,4.60,15.2,4.39,16.1,7.22,7.4,36.0,52.8,115.0,13.8,14.0,44.2
Danario Alexander,FA,2010,Combine,6-5,217,,,4.62,11.4,,-,,-,,-,,-,,-
Mario Alford,FA,2015,Combine,5-8,177,31.25,9.38,4.43,75.1,4.07,88.2,6.64,94.0,34.0,31.3,121.0,48.5,13.0,34.7
Davonte Allen,FA,2016,Pro Day,6-1,208,,,4.57,23.4,4.44,11.4,6.81,74.5,39.0,86.0,128.0,86.8,15.0,53.6
Keenan Allen,LAC,2013,Combine,6-2,211,32.75,10.00,,-,,-,,-,,-,,-,,-
Geronimo Allison,DET,2016,Combine,6-3,202,32.88,9.50,4.67,5.8,4.28,38.2,7.40,1.2,33.0,18.4,127.0,84.4,,-
Danny Amendola,DET,2008,Combine,5-11,185,,,4.58,20.0,4.25,46.6,6.81,74.5,27.5,0.7,103.0,2.0,13.0,34.7
Dres Anderson,FA,2015,Pro Day,6-2,190,,,4.54,33.8,4.22,52.5,6.83,71.1,,-,121.0,48.5,,-
Robby Anderson,CAR,2016,Pro Day,6-3,190,,,4.34,94.2,4.28,38.2,7.07,28.0,36.5,62.1,128.0,86.8,8.0,4.4
Daniel Anthrop,FA,2016,Pro Day,6-0,193,,,4.49,55.5,4.15,70.9,6.82,72.7,30.5,3.9,119.0,32.9,,-
