,,,Fantasy,,Extra Points,,Field Goals,,Field Goal Distance,,,,This Week,
,Name,Games,Points,Pts/G,XPM,XPA,FGM,FGA,0-29,30-39,40-49,50+,Opp,Opp K This Week
T2,Cardinals,1,.00,0.0,2,2,2,2,1-1,0-0,0-0,1-1,@NYJ,Sam Ficken
T2,Falcons,1,.00,0.0,5,5,1,1,0-0,0-0,1-1,0-0,CAR,Joey Slye
T2,Bills,1,.00,0.0,2,2,1,1,0-0,1-1,0-0,0-0,@TEN,Stephen Gostkowski
T2,Panthers,1,.00,0.0,4,4,2,2,1-1,0-0,0-0,1-1,@ATL,Younghoe Koo
T2,Bears,1,.00,0.0,2,2,3,4,1-1,1-1,1-1,0-1,TB,Ryan Succop
T2,Bengals,1,.00,0.0,1,1,3,4,2-2,0-0,1-1,0-1,@BAL,Justin Tucker
T2,Browns,1,.00,0.0,5,5,1,1,0-0,0-0,1-1,0-0,IND,Rodrigo Blankenship
T2,Cowboys,1,.00,0.0,2,2,2,3,0-1,2-2,0-0,0-0,NYG,Graham Gano
T2,Broncos,1,.00,0.0,1,2,1,4,1-1,0-0,0-3,0-0,@NE,Nick Folk
T2,Lions,1,.00,0.0,3,3,2,2,1-1,1-1,0-0,0-0,-,Bye Week
T2,Packers,1,.00,0.0,1,1,1,1,0-0,1-1,0-0,0-0,-,Bye Week
T2,Texans,1,.00,0.0,4,4,2,2,2-2,0-0,0-0,0-0,JAX,Stephen Hauschka
T2,Colts,1,.00,0.0,3,3,2,2,0-0,0-0,1-1,1-1,@CLE,Cody Parkey
T2,Jaguars,1,.00,0.0,2,2,2,3,1-1,1-2,0-0,0-0,@HOU,Ka'imi Fairbairn
T2,Chiefs,1,.00,0.0,2,2,0,1,0-0,0-0,0-0,0-1,LV,Daniel Carlson
T2,Rams,1,.00,0.0,2,2,1,2,0-0,1-1,0-0,0-1,@WAS,Dustin Hopkins
T2,Chargers,1,.00,0.0,1,1,2,3,0-0,0-1,1-1,1-1,@NO,Wil Lutz
T2,Raiders,1,.00,0.0,1,2,3,3,0-0,1-1,2-2,0-0,@KC,Harrison Butker
T2,Dolphins,1,.00,0.0,3,3,0,1,0-0,0-0,0-1,0-0,@SF,Robbie Gould
T2,Vikings,1,.00,0.0,5,5,2,2,0-0,1-1,1-1,0-0,@SEA,Jason Myers
T2,Patriots,1,.00,0.0,0,0,1,1,0-0,0-0,1-1,0-0,DEN,Brandon McManus
T2,Saints,1,.00,0.0,2,2,1,2,0-0,1-1,0-0,0-1,LAC,Michael Badgley
T2,Giants,1,.00,0.0,2,3,2,2,0-0,1-1,1-1,0-0,@DAL,Greg Zuerlein
T2,Jets,1,.00,0.0,3,3,2,4,2-2,0-2,0-0,0-0,ARI,Zane Gonzalez
T2,Eagles,1,.00,0.0,3,3,2,3,0-0,1-1,1-2,0-0,@PIT,Chris Boswell
T2,Steelers,1,.00,0.0,1,1,1,1,1-1,0-0,0-0,0-0,PHI,Jake Elliott
T2,Seahawks,1,.00,0.0,1,2,2,2,0-0,0-0,2-2,0-0,MIN,Dan Bailey
T2,49ers,1,.00,0.0,3,3,1,3,0-0,0-0,0-1,1-2,MIA,Jason Sanders
T2,Buccaneers,1,.00,0.0,4,4,2,2,2-2,0-0,0-0,0-0,@CHI,Cairo Santos
T2,Titans,1,.00,0.0,2,2,0,0,0-0,0-0,0-0,0-0,BUF,Tyler Bass
T2,Football Team,1,.00,0.0,2,2,1,2,0-0,1-1,0-0,0-1,LAR,Samuel Sloman
1,Ravens,1,-1.20,-1.2,0,1,0,1,0-0,0-0,0-1,0-0,CIN,Randy Bullock
