,,,Fantasy,,Passing,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD,YPC,Opp,Opp QB This Week
32,Falcons,1,34.78,34.8,31,35,322,4,0,9.20,3,29,0,9.67,CAR,Teddy Bridgewater
31,Vikings,1,33.56,33.6,32,44,364,4,0,8.27,3,0,0,0.00,@SEA,Russell Wilson
30,Jets,1,33.18,33.2,33,46,312,2,0,6.78,14,57,1,4.07,ARI,Kyler Murray
29,Seahawks,1,27.90,27.9,37,54,450,2,1,8.33,1,-1,0,-1.00,MIN,Kirk Cousins
28,Browns,1,27.76,27.8,21,26,284,3,0,10.92,8,44,0,5.50,IND,Philip Rivers
27,49ers,1,27.60,27.6,26,40,230,1,1,5.75,14,94,1,6.71,MIA,Ryan Fitzpatrick
26,Dolphins,1,25.70,25.7,15,19,155,0,0,8.16,15,75,2,5.00,@SF,Jimmy Garoppolo
25,Lions,1,24.28,24.3,20,36,242,3,0,6.72,3,26,0,8.67,-,Bye Week
24,Packers,1,22.76,22.8,19,25,259,2,1,10.36,4,34,0,8.50,-,Bye Week
23,Saints,1,22.46,22.5,23,36,239,2,2,6.64,3,9,1,3.00,LAC,Justin Herbert
22,Giants,1,22.06,22.1,21,32,229,3,0,7.16,3,9,0,3.00,@DAL,Dak Prescott
21,Chiefs,1,21.82,21.8,20,32,253,1,1,7.91,6,27,1,4.50,LV,Derek Carr
20,Colts,1,20.82,20.8,19,20,173,3,0,8.65,5,19,0,3.80,@CLE,Baker Mayfield
19,Texans,1,20.44,20.4,24,32,211,3,0,6.59,0,0,0,0.00,JAX,Gardner Minshew
18,Jaguars,1,19.82,19.8,36,46,363,1,2,7.89,1,3,0,3.00,@HOU,Deshaun Watson
17,Buccaneers,1,19.62,19.6,19,31,198,2,0,6.39,5,13,0,2.60,@CHI,Nick Foles
T14,Broncos,1,19.36,19.4,29,43,249,2,0,5.79,3,14,0,4.67,@NE,Jarrett Stidham
T14,Raiders,1,19.36,19.4,22,34,269,1,0,7.91,4,26,0,6.50,@KC,Patrick Mahomes
T14,Steelers,1,19.36,19.4,26,41,279,2,2,6.80,4,22,0,5.50,PHI,Carson Wentz
13,Cardinals,1,19.26,19.3,19,33,259,2,0,7.85,1,9,0,9.00,@NYJ,Joe Flacco
12,Rams,1,17.64,17.6,25,39,266,1,0,6.82,3,30,0,10.00,@WAS,Kyle Allen
11,Chargers,1,17.32,17.3,23,36,193,0,1,5.36,8,46,1,5.75,@NO,Drew Brees
10,Bears,1,17.18,17.2,24,42,297,1,1,7.07,5,23,0,4.60,TB,Tom Brady
9,Football Team,1,16.00,16.0,24,42,270,2,2,6.43,1,2,0,2.00,LAR,Jared Goff
8,Panthers,1,13.56,13.6,22,30,239,1,0,7.97,0,0,0,0.00,@ATL,Matt Ryan
7,Titans,1,13.14,13.1,22,33,216,1,0,6.55,3,5,0,1.67,BUF,Josh Allen
6,Eagles,1,12.82,12.8,17,31,178,1,0,5.74,7,17,0,2.43,@PIT,Ben Roethlisberger
5,Bills,1,12.20,12.2,21,35,215,1,1,6.14,1,6,0,6.00,@TEN,Ryan Tannehill
4,Cowboys,1,11.50,11.5,20,31,275,0,1,8.87,4,15,0,3.75,NYG,Daniel Jones
3,Ravens,1,10.86,10.9,21,39,189,1,1,4.85,2,3,0,1.50,CIN,Joe Burrow
2,Bengals,1,9.02,9.0,16,30,208,0,0,6.93,6,7,0,1.17,@BAL,Lamar Jackson
1,Patriots,1,6.44,6.4,20,30,191,0,3,6.37,5,18,0,3.60,DEN,Drew Lock
