,,,Fantasy,,Receiving,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,REC,YDS,TD,TAR,YPT,Catch %,ATT,YDS,TD,YPC,Opp,Opp WRs This Week
32,Football Team,1,37.90,37.9,11,119,2,16,7.44,68.8,0,0,0,0.00,LAR,"Tyler Higbee, Gerald Everett"
31,Browns,1,25.10,25.1,7,61,2,9,6.78,77.8,0,0,0,0.00,IND,"Jack Doyle, Trey Burton"
30,Broncos,1,23.20,23.2,7,42,2,10,4.20,70.0,0,0,0,0.00,@NE,"Ryan Izzo, Devin Asiasi"
29,Titans,1,20.50,20.5,7,75,1,10,7.50,70.0,0,0,0,0.00,BUF,"Dawson Knox, Tyler Kroft"
28,Ravens,1,19.00,19.0,6,70,1,8,8.75,75.0,0,0,0,0.00,CIN,"Drew Sample, Cethan Carter"
27,Falcons,1,17.10,17.1,7,41,1,7,5.86,100.0,0,0,0,0.00,CAR,"Ian Thomas, Chris Manhertz"
26,Texans,1,17.00,17.0,6,50,1,6,8.33,100.0,0,0,0,0.00,JAX,"Tyler Eifert, James O'Shaughnessy"
25,Saints,1,16.70,16.7,6,47,1,10,4.70,60.0,0,0,0,0.00,LAC,"Hunter Henry, Virgil Green"
24,Bears,1,16.60,16.6,5,56,1,5,11.20,100.0,0,0,0,0.00,TB,"Rob Gronkowski, Cameron Brate"
23,Chiefs,1,15.80,15.8,4,58,1,4,14.50,100.0,0,0,0,0.00,LV,"Darren Waller, Jason Witten"
22,Bengals,1,14.30,14.3,6,83,0,10,8.30,60.0,0,0,0,0.00,@BAL,"Mark Andrews, Nick Boyle"
21,Eagles,1,13.70,13.7,4,37,1,8,4.63,50.0,0,0,0,0.00,@PIT,"Eric Ebron, Vance McDonald"
20,Buccaneers,1,13.00,13.0,5,80,0,8,10.00,62.5,0,0,0,0.00,@CHI,"Jimmy Graham, Cole Kmet"
19,Cardinals,1,12.50,12.5,6,56,0,7,8.00,85.7,1,9,0,9.00,@NYJ,"Chris Herndon, Ryan Griffin"
18,Jaguars,1,11.90,11.9,5,69,0,6,11.50,83.3,0,0,0,0.00,@HOU,"Jordan Akins, Darren Fells"
17,Panthers,1,11.70,11.7,7,47,0,9,5.22,77.8,0,0,0,0.00,@ATL,"Hayden Hurst, Luke Stocker"
16,Lions,1,11.50,11.5,3,25,1,9,2.78,33.3,0,0,0,0.00,-,Bye Week
15,Chargers,1,10.20,10.2,5,52,0,6,8.67,83.3,0,0,0,0.00,@NO,"Jared Cook, Adam Trautman"
14,Steelers,1,8.90,8.9,5,39,0,10,3.90,50.0,0,0,0,0.00,PHI,"Zach Ertz, Richard Rodgers"
T12,Bills,1,8.70,8.7,6,37,0,7,5.29,85.7,0,0,0,0.00,@TEN,"Jonnu Smith, Anthony Firkser"
T12,Cowboys,1,8.70,8.7,4,47,0,6,7.83,66.7,0,0,0,0.00,NYG,"Evan Engram, Kaden Smith"
11,Packers,1,6.90,6.9,3,39,0,3,13.00,100.0,0,0,0,0.00,-,Bye Week
10,Seahawks,1,6.80,6.8,3,38,0,6,6.33,50.0,0,0,0,0.00,MIN,"Kyle Rudolph, Irv Smith"
9,Patriots,1,6.00,6.0,3,30,0,5,6.00,60.0,0,0,0,0.00,DEN,"Jake Butt, Nick Vannett"
8,Raiders,1,5.00,5.0,3,20,0,3,6.67,100.0,0,0,0,0.00,@KC,"Travis Kelce, Nick Keizer"
7,Jets,1,4.60,4.6,2,26,0,3,8.67,66.7,0,0,0,0.00,ARI,"Dan Arnold, Darrell Daniels"
6,Rams,1,4.30,4.3,2,23,0,5,4.60,40.0,0,0,0,0.00,@WAS,"Logan Thomas, Jeremy Sprinkle"
T4,Giants,1,4.10,4.1,2,21,0,4,5.25,50.0,0,0,0,0.00,@DAL,"Dalton Schultz, Blake Bell"
T4,49ers,1,4.10,4.1,2,21,0,4,5.25,50.0,0,0,0,0.00,MIA,"Mike Gesicki, Adam Shaheen"
3,Dolphins,1,3.50,3.5,1,25,0,2,12.50,50.0,0,0,0,0.00,@SF,"George Kittle, Ross Dwelley"
2,Colts,1,2.80,2.8,2,8,0,2,4.00,100.0,0,0,0,0.00,@CLE,"Austin Hooper, David Njoku"
1,Vikings,1,2.20,2.2,1,12,0,3,4.00,33.3,0,0,0,0.00,@SEA,"Greg Olsen, Will Dissly"
