,,,Fantasy,,Receiving,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,REC,YDS,TD,TAR,YPT,Catch %,ATT,YDS,TD,YPC,Opp,Opp WRs This Week
32,Seahawks,1,90.60,90.6,26,405,3,37,10.95,70.3,1,1,0,1.00,MIN,"Adam Thielen, Justin Jefferson, Chad Beebe"
31,Cowboys,1,66.50,66.5,15,225,4,23,9.78,65.2,0,0,0,0.00,NYG,"Darius Slayton, Golden Tate, C.J. Board"
30,Eagles,1,62.90,62.9,24,239,2,34,7.03,70.6,0,0,0,0.00,@PIT,"JuJu Smith-Schuster, Diontae Johnson, James Washington"
29,Bills,1,59.10,59.1,18,241,2,22,10.95,81.8,3,30,0,10.00,@TEN,"A.J. Brown, Kalif Raymond, Nick Westbrook-Ikhine"
28,Falcons,1,53.40,53.4,15,212,2,27,7.85,55.6,5,22,0,4.40,CAR,"D.J. Moore, Robby Anderson, Curtis Samuel"
27,Ravens,1,52.50,52.5,16,220,2,21,10.48,76.2,2,25,0,12.50,CIN,"A.J. Green, Tyler Boyd, Tee Higgins"
26,Lions,1,52.20,52.2,17,208,2,26,8.00,65.4,1,-6,0,-6.00,-,Bye Week
25,Rams,1,48.00,48.0,15,236,1,21,11.24,71.4,1,4,0,4.00,@WAS,"Terry McLaurin, Dontrelle Inman, Isaiah Wright"
24,Titans,1,47.50,47.5,11,211,2,15,14.07,73.3,1,4,0,4.00,BUF,"Stefon Diggs, John Brown, Cole Beasley"
23,Steelers,1,46.70,46.7,14,207,2,18,11.50,77.8,0,0,0,0.00,PHI,"Greg Ward, John Hightower, J.J. Arcega-Whiteside"
22,Panthers,1,43.70,43.7,17,187,1,27,6.93,63.0,0,0,0,0.00,@ATL,"Julio Jones, Calvin Ridley, Russell Gage"
21,Broncos,1,42.90,42.9,10,149,3,15,9.93,66.7,0,0,0,0.00,@NE,"Julian Edelman, N'Keal Harry, Damiere Byrd"
20,Browns,1,40.60,40.6,11,145,2,22,6.59,50.0,3,31,0,10.33,IND,"T.Y. Hilton, Zach Pascal, Daurice Fountain"
19,Patriots,1,38.60,38.6,13,196,1,18,10.89,72.2,0,0,0,0.00,DEN,"Jerry Jeudy, Tim Patrick, DaeSean Hamilton"
18,Bears,1,38.10,38.1,14,204,0,26,7.85,53.8,1,7,0,7.00,TB,"Mike Evans, Scotty Miller, Tyler Johnson"
17,Vikings,1,37.50,37.5,12,228,0,18,12.67,66.7,2,-3,0,-1.50,@SEA,"Tyler Lockett, DK Metcalf, David Moore"
16,Giants,1,36.30,36.3,11,162,0,16,10.13,68.8,3,31,1,10.33,@DAL,"Amari Cooper, Michael Gallup, CeeDee Lamb"
15,Cardinals,1,32.80,32.8,12,146,1,16,9.13,75.0,1,2,0,2.00,@NYJ,"Jamison Crowder, Breshad Perriman, Chris Hogan"
14,Bengals,1,32.50,32.5,15,121,1,22,5.50,68.2,1,-6,0,-6.00,@BAL,"Marquise Brown, Willie Snead, Miles Boykin"
13,Buccaneers,1,32.30,32.3,13,135,1,19,7.11,68.4,1,-2,0,-2.00,@CHI,"Allen Robinson, Darnell Mooney, Anthony Miller"
12,Chargers,1,31.80,31.8,13,181,0,16,11.31,81.3,4,7,0,1.75,@NO,"Michael Thomas, Emmanuel Sanders, Tre'Quan Smith"
11,Saints,1,30.90,30.9,7,151,1,13,11.62,53.8,1,-2,0,-2.00,LAC,"Keenan Allen, Mike Williams, Jalen Guyton"
10,Jaguars,1,29.80,29.8,10,109,1,10,10.90,100.0,1,29,0,29.00,@HOU,"Will Fuller, Brandin Cooks, Randall Cobb"
9,Texans,1,27.20,27.2,10,103,1,18,5.72,55.6,1,9,0,9.00,JAX,"DJ Chark, Laviska Shenault, Keelan Cole"
8,Packers,1,26.30,26.3,10,103,1,14,7.36,71.4,0,0,0,0.00,-,Bye Week
7,Dolphins,1,25.80,25.8,14,117,0,23,5.09,60.9,1,1,0,1.00,@SF,"Deebo Samuel, Kendrick Bourne, Brandon Aiyuk"
6,Jets,1,23.50,23.5,10,135,0,14,9.64,71.4,0,0,0,0.00,ARI,"DeAndre Hopkins, Christian Kirk, Larry Fitzgerald"
5,Colts,1,21.90,21.9,6,99,1,11,9.00,54.5,0,0,0,0.00,@CLE,"Odell Beckham, Jarvis Landry, Donovan Peoples-Jones"
4,49ers,1,21.70,21.7,10,127,0,18,7.06,55.6,0,0,0,0.00,MIA,"DeVante Parker, Preston Williams, Isaiah Ford"
3,Football Team,1,17.80,17.8,8,95,0,11,8.64,72.7,1,3,0,3.00,LAR,"Cooper Kupp, Robert Woods, Josh Reynolds"
2,Raiders,1,16.80,16.8,7,84,0,13,6.46,53.8,3,14,0,4.67,@KC,"Tyreek Hill, Sammy Watkins, Mecole Hardman"
1,Chiefs,1,16.20,16.2,7,32,0,13,2.46,53.8,0,0,0,0.00,LV,"Henry Ruggs, Hunter Renfrow, Nelson Agholor"
