,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Bobby Wagner,SEA,LB,16,1072,85.0,82,167,4.5,0,1,1,0,3
Zach Brown,BUF,LB,16,980,97.0,52,149,4.0,2,0,1,0,4
Christian Kirksey,CLE,LB,16,1112,96.0,52,148,2.5,0,0,0,0,3
Sean Lee,DAL,LB,15,977,93.0,52,145,0.0,0,1,0,0,1
Kwon Alexander,TB,LB,16,1023,108.0,37,145,3.0,1,1,1,1,7
Preston Brown,BUF,LB,16,1068,79.0,60,139,1.0,1,2,0,0,1
Alec Ogletree,LAR,LB,16,1089,98.0,38,136,0.0,1,1,2,0,11
Paul Posluszny,JAX,LB,16,1057,97.0,36,133,1.5,0,0,1,0,3
Zach Orr,BAL,LB,15,961,92.0,41,133,0.0,1,2,3,0,5
Tahir Whitehead,DET,LB,15,934,99.0,33,132,0.0,0,0,0,0,5
Benardrick McKinney,HOU,LB,16,920,79.0,50,129,5.0,1,0,0,0,2
Johnathan Cyprien,JAX,S,16,1070,96.0,31,127,1.0,1,1,0,0,4
K.J. Wright,SEA,LB,16,1051,72.0,54,126,4.0,1,1,0,0,5
Landon Collins,NYG,S,16,1105,100.0,25,125,4.0,0,1,5,1,13
Mason Foster,WAS,LB,16,770,89.0,35,124,1.0,1,0,0,0,3
Telvin Smith,JAX,LB,16,1048,99.0,20,119,1.0,0,1,2,0,8
Mark Barron,LAR,LB,16,1086,91.0,27,118,1.0,0,1,2,0,8
Kiko Alonso,MIA,LB,15,1050,69.0,46,115,0.0,1,4,2,1,4
Craig Robertson,NO,LB,15,972,71.0,44,115,1.0,0,2,1,0,4
Lawrence Timmons,PIT,LB,16,950,78.0,36,114,2.5,1,0,2,0,5
Karlos Dansby,CIN,LB,16,781,69.0,45,114,1.0,0,1,0,0,6
Jamie Collins,CLE/NE,LB,15,980,79.0,33,112,3.0,2,0,2,0,3
Antoine Bethea,SF,S,16,1126,95.0,15,110,0.0,1,1,1,0,3
Jerrell Freeman,CHI,LB,12,806,86.0,24,110,0.0,0,0,0,0,5
Eric Kendricks,MIN,LB,15,869,70.0,39,109,2.5,1,1,1,1,9
Deion Jones,ATL,LB,15,896,75.0,33,108,0.0,1,0,3,2,11
Keanu Neal,ATL,S,14,920,72.0,34,106,0.0,5,1,0,0,8
Will Compton,WAS,LB,15,938,61.0,45,106,0.0,1,2,1,0,5
Thomas Davis,CAR,LB,16,1008,73.0,33,106,2.5,1,2,3,1,4
Avery Williamson,TEN,LB,16,907,73.0,31,104,2.0,1,0,1,0,1
