,,,,Fantasy,Extra Points,,Field Goals,,Field Goals Made,,,
Name,Team,Pos,G,Pts,XPM,XPA,FGM,FGA,0-29,30-39,40-49,50+
Justin Tucker,BAL,K,16,141.0,27,27,38,39,4,10,14,10
Caleb Sturgis,PHI,K,16,135.0,30,31,35,41,12,12,7,4
Nick Novak,HOU,K,16,127.0,22,25,35,41,13,11,8,3
Matt Bryant,ATL,K,16,158.0,56,57,34,37,12,7,9,6
Dustin Hopkins,WAS,K,16,138.0,36,39,34,42,12,12,7,3
Stephen Hauschka,SEA,K,16,128.0,29,35,33,37,11,13,8,1
Matt Prater,DET,K,16,124.0,31,33,31,36,10,4,10,7
Cairo Santos,KC,K,16,129.0,36,39,31,35,8,15,6,2
Graham Gano,CAR,K,16,121.0,31,34,30,38,4,9,14,3
Sebastian Janikowski,OAK,K,16,124.0,37,39,29,35,10,6,10,3
Brandon McManus,DEN,K,16,119.6,32,33,29,34,9,10,7,3
Wil Lutz,NO,K,16,133.0,49,50,28,34,8,9,8,3
Jason Myers,JAX,K,16,110.0,29,32,27,34,7,3,10,7
Stephen Gostkowski,NE,K,16,127.0,46,49,27,32,9,7,9,2
Dan Bailey,DAL,K,16,127.0,46,46,27,32,9,8,7,3
Adam Vinatieri,IND,K,16,125.0,44,44,27,31,3,7,10,7
Nick Folk,NYJ,K,16,105.0,24,26,27,31,12,10,3,2
Mason Crosby,GB,K,16,122.0,44,47,26,30,7,13,5,1
Josh Lambo,SD,K,16,120.0,42,46,26,32,7,13,6,0
Mike Nugent,CIN,K,13,92.0,23,29,23,29,9,9,5,0
Ryan Succop,TEN,K,16,105.0,39,41,22,24,5,6,8,3
Roberto Aguayo,TB,K,16,98.0,32,34,22,31,5,13,4,0
Chris Boswell,PIT,K,15,99.0,36,36,21,25,2,8,11,0
Chandler Catanzaro,ARI,K,16,106.0,43,47,21,28,6,6,6,3
Cody Parkey,CLE,K,14,80.0,20,21,20,25,6,6,7,1
Dan Carpenter,BUF,K,16,97.0,40,45,19,25,9,5,4,1
Greg Zuerlein,LAR,K,16,80.0,23,23,19,22,5,9,3,2
Connor Barth,CHI,K,16,85.0,31,32,18,23,7,7,3,1
Phil Dawson,SF,K,16,87.0,33,34,18,21,4,6,7,1
Andrew Franks,MIA,K,16,89.0,41,42,16,21,8,6,1,1
Kai Forbath,MIN,K,7,56.0,11,14,15,15,5,5,4,1
Blair Walsh,MIN,K,9,51.0,15,19,12,16,2,5,4,1
Josh Brown,NYG,K,5,42.0,9,9,11,12,4,3,4,0
Robbie Gould,NYG,K,10,50.0,20,23,10,10,3,3,4,0
Randy Bullock,CIN/PIT,K,5,33.0,9,10,8,9,4,2,2,0
Patrick Murray,CLE,K,2,6.0,3,4,1,2,0,1,0,0
