,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
T.Y. Hilton,IND,WR,16,155,91,1448,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Julio Jones,ATL,WR,14,129,83,1409,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Odell Beckham,NYG,WR,16,169,101,1367,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Mike Evans,TB,WR,16,173,96,1321,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Antonio Brown,PIT,WR,15,154,106,1284,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jordy Nelson,GB,WR,16,152,97,1257,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Brandin Cooks,NO,WR,16,117,78,1173,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Amari Cooper,OAK,WR,16,132,83,1153,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Michael Thomas,NO,WR,15,121,92,1137,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jarvis Landry,MIA,WR,16,131,94,1136,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Doug Baldwin,SEA,WR,16,125,94,1128,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Travis Kelce,KC,TE,16,117,85,1125,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Julian Edelman,NE,WR,16,159,98,1106,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Demaryius Thomas,DEN,WR,16,144,90,1083,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Golden Tate,DET,WR,16,135,91,1077,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Greg Olsen,CAR,TE,16,129,80,1073,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tyrell Williams,SD,WR,16,119,69,1059,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Pierre Garcon,WAS,WR,16,114,79,1041,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Emmanuel Sanders,DEN,WR,16,137,79,1032,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Larry Fitzgerald,ARI,WR,16,150,107,1023,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Mike Wallace,BAL,WR,16,117,72,1017,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Terrelle Pryor,CLE,WR,16,140,77,1007,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
DeSean Jackson,WAS,WR,15,100,56,1005,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Michael Crabtree,OAK,WR,16,145,89,1003,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Kenny Britt,LAR,WR,15,111,68,1002,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Davante Adams,GB,WR,16,121,75,997,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Adam Thielen,MIN,WR,16,92,69,967,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
A.J. Green,CIN,WR,10,100,66,964,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
DeAndre Hopkins,HOU,WR,16,151,78,954,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Rishard Matthews,TEN,WR,16,108,65,945,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Kelvin Benjamin,CAR,WR,16,118,63,941,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Marvin Jones,DET,WR,15,103,55,930,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jimmy Graham,SEA,TE,16,95,65,923,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Stefon Diggs,MIN,WR,13,112,84,903,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Willie Snead,NO,WR,15,104,72,895,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
