,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
T.Y. Hilton,IND,WR,16,91,1448,6,155,14,8,5,20.00
Julio Jones,ATL,WR,14,83,1409,6,129,10,6,5,10.64
Odell Beckham,NYG,WR,16,101,1367,10,169,23,10,7,35.38
Mike Evans,TB,WR,16,96,1321,12,173,19,9,6,26.76
Antonio Brown,PIT,WR,15,106,1284,12,154,15,7,5,21.74
Jordy Nelson,GB,WR,16,97,1257,14,152,32,15,9,28.07
Brandin Cooks,NO,WR,16,78,1173,8,117,11,6,3,10.19
Amari Cooper,OAK,WR,16,83,1153,5,132,13,7,6,14.44
Michael Thomas,NO,WR,15,92,1137,9,121,19,11,7,17.59
Jarvis Landry,MIA,WR,16,94,1136,4,131,9,4,0,16.98
Doug Baldwin,SEA,WR,16,94,1128,7,125,16,7,3,21.05
Travis Kelce,KC,TE,16,85,1125,4,117,18,7,3,21.43
Julian Edelman,NE,WR,16,98,1106,3,159,15,9,5,19.23
Demaryius Thomas,DEN,WR,16,90,1083,5,144,21,11,8,28.77
Golden Tate,DET,WR,16,91,1077,4,135,17,5,2,19.77
Greg Olsen,CAR,TE,16,80,1073,3,129,16,5,4,23.53
Tyrell Williams,SD,WR,16,69,1059,7,119,17,10,6,18.48
Pierre Garcon,WAS,WR,16,79,1041,3,114,14,7,3,17.28
Emmanuel Sanders,DEN,WR,16,79,1032,5,137,22,11,7,30.14
Larry Fitzgerald,ARI,WR,16,107,1023,6,150,20,12,9,24.69
Mike Wallace,BAL,WR,16,72,1017,4,117,9,3,1,13.24
Terrelle Pryor,CLE,WR,16,77,1007,4,140,13,4,1,22.81
DeSean Jackson,WAS,WR,15,56,1005,4,100,11,5,3,13.58
Michael Crabtree,OAK,WR,16,89,1003,8,145,21,7,5,23.33
Kenny Britt,LAR,WR,15,68,1002,5,111,11,8,3,20.00
Davante Adams,GB,WR,16,75,997,12,121,23,10,7,20.18
Adam Thielen,MIN,WR,16,69,967,5,92,10,5,2,13.16
A.J. Green,CIN,WR,10,66,964,4,100,10,4,1,14.93
DeAndre Hopkins,HOU,WR,16,78,954,4,151,11,6,5,14.67
Rishard Matthews,TEN,WR,16,65,945,9,108,15,7,5,21.43
Kelvin Benjamin,CAR,WR,16,63,941,7,118,15,6,3,22.06
Marvin Jones,DET,WR,15,55,930,4,103,15,8,5,17.44
Jimmy Graham,SEA,TE,16,65,923,6,95,20,3,2,26.32
Stefon Diggs,MIN,WR,13,84,903,3,112,12,3,2,15.79
Willie Snead,NO,WR,15,72,895,4,104,12,8,4,11.11
Cameron Meredith,CHI,WR,14,66,888,4,97,13,4,3,17.57
Allen Robinson,JAX,WR,16,73,883,6,151,19,11,6,26.03
David Johnson,ARI,RB,16,80,879,4,120,14,5,4,17.28
Brandon LaFell,CIN,WR,16,64,862,6,107,16,10,3,23.88
Quincy Enunwa,NYJ,WR,16,58,857,4,105,15,10,5,20.83
Marqise Lee,JAX,WR,16,63,851,3,105,9,2,1,12.33
Jamison Crowder,WAS,WR,16,67,847,7,99,17,7,5,20.99
Kyle Rudolph,MIN,TE,16,83,840,7,132,25,12,8,32.89
Cole Beasley,DAL,WR,16,75,833,5,98,8,5,3,13.33
Alshon Jeffery,CHI,WR,12,52,821,2,94,12,5,1,16.22
Zach Ertz,PHI,TE,14,78,816,4,106,17,6,3,18.89
Dontrelle Inman,SD,WR,16,58,810,4,97,7,2,1,7.61
Jordan Matthews,PHI,WR,14,73,804,3,117,11,4,3,12.22
Delanie Walker,TEN,TE,15,65,800,7,102,17,7,2,24.29
Steve Smith,BAL,WR,14,70,799,5,101,12,3,2,17.65
Dez Bryant,DAL,WR,13,50,796,8,96,13,7,4,21.67
Brandon Marshall,NYJ,WR,15,59,788,3,128,21,8,6,29.17
Ted Ginn,CAR,WR,16,54,752,4,95,1,0,0,1.47
DeVante Parker,MIA,WR,15,56,744,4,87,9,5,0,16.98
Dennis Pitta,BAL,TE,16,86,729,2,121,13,5,1,19.12
Kenny Stills,MIA,WR,16,42,726,9,81,6,2,0,11.32
Eric Ebron,DET,TE,13,61,711,1,85,6,3,0,6.98
Martellus Bennett,NE,TE,16,55,701,7,73,11,6,4,14.10
Jordan Reed,WAS,TE,12,66,686,6,89,14,8,3,17.28
Sterling Shepard,NYG,WR,16,65,683,8,105,13,6,2,20.00
Chris Hogan,NE,WR,15,38,680,4,58,10,6,3,12.82
Travis Benjamin,SD,WR,14,47,677,4,75,7,1,0,7.61
Jason Witten,DAL,TE,16,69,673,3,95,18,4,2,30.00
Jeremy Kerley,SF,WR,16,64,667,3,115,10,2,0,19.61
Cameron Brate,TB,TE,15,57,660,8,81,17,9,4,23.94
Mohamed Sanu,ATL,WR,15,59,653,4,81,13,9,4,13.83
Will Fuller,HOU,WR,14,47,635,2,92,10,5,1,13.33
Coby Fleener,NO,TE,16,50,631,3,81,18,7,4,16.67
Adam Humphries,TB,WR,15,55,622,2,83,10,2,1,14.08
Le'Veon Bell,PIT,RB,12,75,616,2,94,8,4,2,11.59
Robert Woods,BUF,WR,13,51,613,1,76,8,2,2,15.09
Gary Barnidge,CLE,TE,16,55,612,2,82,5,2,2,8.77
Randall Cobb,GB,WR,13,60,610,4,84,14,7,2,12.28
Tyler Boyd,CIN,WR,16,54,603,1,81,10,2,2,14.93
Tyler Lockett,SEA,WR,15,41,597,1,66,5,2,1,6.58
Terrance Williams,DAL,WR,16,44,594,4,61,6,4,2,10.00
Eli Rogers,PIT,WR,13,48,594,3,66,6,3,2,8.70
Tyreek Hill,KC,WR,16,61,593,6,83,15,7,2,17.86
Robby Anderson,NYJ,WR,16,42,587,2,78,5,0,0,6.94
Victor Cruz,NYG,WR,15,39,586,1,72,7,2,2,10.77
Anquan Boldin,DET,WR,16,67,584,8,95,23,11,9,26.74
Jack Doyle,IND,TE,16,59,584,5,75,13,6,2,18.57
Vernon Davis,WAS,TE,16,44,583,2,59,7,4,1,8.64
Taylor Gabriel,ATL,WR,13,35,579,6,50,6,2,1,6.38
J.J. Nelson,ARI,WR,15,34,568,6,74,11,4,2,13.58
Brian Quick,LAR,WR,16,41,564,3,77,8,4,2,14.55
C.J. Fiedorowicz,HOU,TE,15,54,559,4,89,12,7,3,16.00
Charles Clay,BUF,TE,15,57,552,4,87,14,4,1,26.42
James White,NE,RB,16,60,551,5,86,9,4,1,11.54
