,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Ezekiel Elliott,DAL,RB,15,322,1631,15,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jordan Howard,CHI,RB,15,252,1313,6,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
DeMarco Murray,TEN,RB,16,293,1287,9,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jay Ajayi,MIA,RB,15,260,1272,8,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Le'Veon Bell,PIT,RB,12,261,1268,7,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
LeSean McCoy,BUF,RB,15,234,1267,13,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
David Johnson,ARI,RB,16,293,1239,16,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
LeGarrette Blount,NE,RB,16,299,1161,18,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Devonta Freeman,ATL,RB,16,227,1079,11,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Lamar Miller,HOU,RB,14,268,1073,5,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Mark Ingram,NO,RB,16,205,1043,6,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Frank Gore,IND,RB,16,263,1025,4,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Melvin Gordon,SD,RB,13,254,997,10,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Carlos Hyde,SF,RB,13,217,988,6,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Isaiah Crowell,CLE,RB,16,198,952,7,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Spencer Ware,KC,RB,14,214,921,3,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Todd Gurley,LAR,RB,16,278,885,6,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jeremy Hill,CIN,RB,15,222,839,9,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jonathan Stewart,CAR,RB,13,218,824,9,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Matt Forte,NYJ,RB,14,218,813,7,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Latavius Murray,OAK,RB,14,195,788,12,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Terrance West,BAL,RB,16,193,774,5,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Bilal Powell,NYJ,RB,16,131,722,3,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Rob Kelley,WAS,RB,15,168,704,6,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Ryan Mathews,PHI,RB,13,155,661,8,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Devontae Booker,DEN,RB,16,174,612,4,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Rashad Jennings,NYG,RB,13,181,593,3,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Christine Michael,SEA/GB,RB,15,148,583,7,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Tyrod Taylor,BUF,QB,15,95,580,6,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Mike Gillislee,BUF,RB,15,101,577,8,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jacquizz Rodgers,TB,RB,10,129,560,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
