,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Preston Brown,BUF,LB,16,144.0,84.0,60,144,0.0,0,0,0,0
Joe Schobert,CLE,LB,16,158.0,87.0,57,144,3.0,3,0,1,0
Blake Martinez,GB,LB,16,154.0,96.0,48,144,1.0,1,2,1,0
Deion Jones,ATL,LB,16,146.0,91.0,47,138,1.0,0,0,3,0
Christian Kirksey,CLE,LB,16,151.0,86.0,52,138,3.5,2,1,0,0
Demario Davis,NYJ,LB,16,147.0,97.0,38,135,5.0,0,1,0,0
Bobby Wagner,SEA,LB,16,148.0,97.0,36,133,1.5,0,1,2,1
C.J. Mosley,BAL,LB,16,156.0,96.0,36,132,1.0,3,3,2,1
Zach Brown,WAS,LB,13,132.0,84.0,43,127,2.5,0,0,0,0
NaVorro Bowman,SF/OAK,LB,15,134.0,80.0,47,127,1.5,0,1,1,0
Luke Kuechly,CAR,LB,15,146.0,74.0,51,125,1.5,1,2,3,1
Wesley Woodyard,TEN,LB,16,144.0,84.0,40,124,5.0,0,2,0,1
Reshad Jones,MIA,S,16,147.0,94.0,28,122,1.5,0,3,2,2
Keanu Neal,ATL,S,16,128.0,83.0,33,116,0.0,3,2,1,0
Kiko Alonso,MIA,LB,16,121.0,79.0,36,115,1.0,2,0,0,0
Eric Kendricks,MIN,LB,16,123.0,67.0,46,113,1.0,0,0,1,1
Tahir Whitehead,DET,LB,16,122.0,78.0,32,110,1.0,0,4,1,0
Antonio Morrison,IND,LB,15,109.0,64.0,45,109,0.0,0,0,0,0
K.J. Wright,SEA,LB,15,112.0,71.0,37,108,0.0,0,1,1,0
Brandon Marshall,DEN,LB,16,122.0,75.0,31,106,3.0,1,1,0,1
Landon Collins,NYG,S,15,114.0,78.0,26,104,0.0,1,2,2,0
Telvin Smith,JAX,LB,14,128.0,76.0,26,102,1.0,1,2,3,2
Lavonte David,TB,LB,13,127.0,76.0,25,101,0.0,5,5,0,1
Sean Lee,DAL,LB,11,103.0,70.0,31,101,0.0,0,0,1,0
Matthias Farley,IND,S,16,106.0,60.0,38,98,0.0,1,1,2,0
Devin McCourty,NE,S,16,103.0,80.0,17,97,1.0,0,1,1,0
Jon Bostic,IND,LB,14,101.0,57.0,40,97,1.0,0,1,0,0
Kwon Alexander,TB,LB,12,105.0,70.0,27,97,0.0,1,0,3,0
Jahleel Addae,LAC,S,16,97.0,66.0,30,96,0.5,0,0,0,0
Jarrad Davis,DET,LB,14,106.0,65.0,31,96,2.0,1,1,1,0
Alec Ogletree,LAR,LB,15,111.0,63.0,32,95,2.0,1,1,1,1
Benardrick McKinney,HOU,LB,16,103.0,62.0,33,95,3.0,1,0,0,0
Karlos Dansby,ARI,LB,16,101.0,74.0,21,95,1.0,0,1,1,0
Jordan Poyer,BUF,S,15,117.0,63.0,32,95,2.0,0,1,5,1
Darron Lee,NYJ,LB,15,104.0,67.0,27,94,3.0,2,0,0,0
Sean Davis,PIT,S,16,102.0,71.0,21,92,1.0,1,0,3,0
De'Vondre Campbell,ATL,LB,16,98.0,61.0,31,92,2.0,1,0,0,0
Avery Williamson,TEN,LB,16,102.0,52.0,40,92,3.0,2,0,0,0
Christian Jones,CHI,LB,16,98.0,60.0,30,90,2.0,1,1,0,0
Myles Jack,JAX,LB,16,102.0,66.0,24,90,2.0,0,1,0,1
Patrick Onwuasor,BAL,LB,16,96.0,67.0,23,90,1.0,1,1,0,0
Zach Cunningham,HOU,LB,16,95.0,48.0,42,90,1.5,1,0,0,0
Ryan Shazier,PIT,LB,12,101.0,68.0,21,89,0.0,2,1,3,0
Daniel Sorensen,KC,S,15,94.0,67.0,22,89,1.5,0,0,1,0
Vince Williams,PIT,LB,16,107.0,69.0,20,89,8.0,0,0,1,0
Danny Trevathan,CHI,LB,12,99.0,60.0,29,89,2.0,1,1,1,0
Reggie Nelson,OAK,S,16,95.0,60.0,29,89,0.0,2,0,1,0
Ramon Humber,BUF,LB,13,93.0,60.0,29,89,1.0,1,0,0,0
Earl Thomas,SEA,S,14,100.0,56.0,32,88,0.0,1,0,2,1
Nigel Bradham,PHI,LB,15,100.0,61.0,27,88,1.0,1,1,0,1
Kevin Byard,TEN,S,16,107.0,62.0,25,87,0.0,0,2,8,0
Mark Barron,LAR,LB,14,94.0,73.0,13,86,1.0,0,0,3,0
Vincent Rey,CIN,LB,14,87.0,52.0,33,85,0.0,0,0,1,0
Darqueze Dennard,CIN,CB,16,99.0,61.0,24,85,2.0,0,0,2,1
James Bradberry,CAR,CB,16,93.0,66.0,19,85,1.0,1,0,2,0
TJ Carrie,OAK,CB,16,88.0,70.0,14,84,0.0,0,2,0,0
Anthony Hitchens,DAL,LB,12,86.0,55.0,29,84,0.0,1,0,0,0
