,,,Extra Points,,,Field Goals,,,0-29,,30-39,,40-49,,50+,
Name,Team,G,XPM,XPA,XP%,FGM,FGA,FG%,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA
Robbie Gould,SF,16,28,30,93.3,39,41,95.1,7,8,11,11,17,18,4,4
Greg Zuerlein,LAR,14,44,46,95.7,38,40,95.0,9,9,11,12,12,12,6,7
Harrison Butker,KC,13,28,28,100.0,38,42,90.5,8,8,16,17,10,12,4,5
Stephen Gostkowski,NE,16,45,47,95.7,37,40,92.5,16,16,9,9,8,11,4,4
Ryan Succop,TEN,16,31,33,93.9,35,42,83.3,10,10,7,7,16,20,2,5
Chris Boswell,PIT,16,37,39,94.9,35,38,92.1,10,10,12,14,9,10,4,4
Justin Tucker,BAL,16,39,39,100.0,34,37,91.9,7,7,11,11,11,12,5,7
Matt Bryant,ATL,16,35,35,100.0,34,39,87.2,7,7,10,13,9,10,8,9
Phil Dawson,ARI,16,23,26,88.5,32,40,80.0,8,8,10,14,10,13,4,5
Kai Forbath,MIN,16,34,39,87.2,32,38,84.2,8,8,12,14,6,7,6,9
Wil Lutz,NO,16,47,50,94.0,31,36,86.1,10,10,4,5,13,16,4,5
Matt Prater,DET,16,40,41,97.6,30,35,85.7,6,6,10,10,7,8,7,11
Adam Vinatieri,IND,15,22,24,91.7,29,34,85.3,11,11,7,10,6,7,5,6
Stephen Hauschka,BUF,16,29,29,100.0,29,33,87.9,6,6,9,9,7,9,7,9
Graham Gano,CAR,16,34,37,91.9,29,30,96.7,8,8,11,11,10,10,0,1
Jake Elliott,PHI,15,39,42,92.9,26,31,83.9,5,5,4,7,12,13,5,6
Chandler Catanzaro,NYJ,16,29,29,100.0,25,30,83.3,7,7,4,4,12,17,2,2
Brandon McManus,DEN,16,27,27,100.0,24,32,75.0,6,8,11,12,4,6,3,6
Cody Parkey,MIA,16,26,29,89.7,21,23,91.3,6,6,8,8,6,7,1,2
Blair Walsh,SEA,16,37,38,97.4,21,29,72.4,6,6,7,10,8,12,0,1
Ka'imi Fairbairn,HOU,16,32,35,91.4,20,25,80.0,3,4,8,10,6,7,3,4
Josh Lambo,JAX,10,22,24,91.7,19,20,95.0,2,2,11,11,4,5,2,2
Patrick Murray,TB,12,21,22,95.5,19,23,82.6,5,5,8,8,4,5,2,5
Aldrick Rosas,NYG,16,20,23,87.0,18,25,72.0,8,8,3,5,4,9,3,3
Randy Bullock,CIN,15,31,33,93.9,18,20,90.0,6,6,7,8,4,5,1,1
Giorgio Tavecchio,OAK,16,33,34,97.1,16,21,76.2,5,5,5,7,3,5,3,4
Dan Bailey,DAL,12,26,28,92.9,15,20,75.0,4,5,4,5,4,5,3,5
Mason Crosby,GB,16,33,35,94.3,15,19,78.9,8,8,2,4,4,4,1,3
Zane Gonzalez,CLE,16,25,26,96.2,15,20,75.0,5,5,4,6,4,6,2,3
Dustin Hopkins,WAS,8,18,19,94.7,14,17,82.4,8,8,2,2,4,5,0,2
Nick Rose,WAS/LAC,10,23,26,88.5,11,14,78.6,6,6,3,4,1,2,1,2
Jason Myers,JAX,6,15,17,88.2,11,15,73.3,4,4,2,3,5,5,0,3
Mike Nugent,DAL/CHI,8,15,17,88.2,11,13,84.6,3,3,3,4,4,5,1,1
Connor Barth,CHI,10,17,17,100.0,11,16,68.8,5,5,0,0,5,9,1,2
Nick Novak,LAC,7,17,18,94.4,9,13,69.2,4,4,4,5,0,2,1,2
Travis Coons,LAC,3,5,6,83.3,7,8,87.5,4,4,2,3,1,1,0,0
Nick Folk,TB,4,7,9,77.8,6,11,54.5,2,2,1,2,2,5,1,2
Cairo Santos,CHI/KC,5,14,14,100.0,4,5,80.0,0,0,4,4,0,0,0,1
Caleb Sturgis,PHI,1,1,2,50.0,3,3,100.0,0,0,1,1,1,1,1,1
Younghoe Koo,LAC,4,9,9,100.0,3,6,50.0,2,2,0,0,1,4,0,0
Sam Ficken,LAR,2,4,5,80.0,2,3,66.7,2,2,0,1,0,0,0,0
Jeff Heath,,15,2,3,66.7,0,0,0.0,0,0,0,0,0,0,0,0
Drew Kaser,,16,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,0
Marshall Koehn,,1,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0
