,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Chris Banjo,NO,S,16,52,#1 SS,0.0,0,5,0.0,0,0,2,0,0
Tracy Walker,DET,S,16,267,#1 FS,14.8,4,11,36.4,58,0,2,1,0
Adam Jones,DEN,CB,7,149,#,15.7,5,15,33.3,49,0,1,2,0
Najee Goode,IND,LB,16,64,#,16.7,2,4,50.0,12,0,1,0,0
Matt Milano,BUF,LB,13,741,#1 WLB,19.6,12,31,38.7,105,1,3,4,0
Reshad Jones,MIA,S,14,826,#,21.2,14,30,46.7,143,0,3,6,2
Anthony Harris,MIN,S,15,623,#1 FS,23.5,7,14,50.0,65,0,3,2,0
Michael Thomas,NYG,S,16,521,#2 FS,24.5,13,29,44.8,96,0,2,2,0
Eddie Jackson,CHI,S,14,909,#1 FS,26.4,14,40,35.0,173,2,7,9,0
Sherrick McManis,CHI,S,15,236,#2 FS,29.7,9,22,40.9,64,0,1,3,0
Andrew Adams,TB,S,13,370,#2 FS,29.8,13,26,50.0,160,0,4,5,0
Darron Lee,NYJ,LB,12,808,#,30.8,20,35,57.1,141,0,3,0,0
Brennan Scarlett,HOU,LB,12,108,#1 ROLB,30.8,3,5,60.0,22,0,1,2,0
Lorenzo Alexander,BUF,LB,16,629,#,31.3,13,23,56.5,101,0,2,2,0
Ronnie Harrison,JAX,S,14,326,#2 SS,31.6,7,12,58.3,45,0,1,2,0
Preston Smith,WAS,LB,16,865,#1 LOLB,32.4,6,9,66.7,31,0,1,1,0
Ricardo Allen,ATL,S,3,205,#1 FS,33.3,7,12,58.3,50,0,1,2,0
Curtis Riley,NYG,S,16,1047,#3 SS,34.6,11,23,47.8,178,0,4,2,2
J.C. Jackson,NE,CB,13,397,#2 LCB,34.7,21,47,44.7,248,0,3,3,0
Julian Stanford,BUF,LB,13,89,#2 WLB,35.1,4,7,57.1,42,0,1,1,0
Avonte Maddox,PHI,CB,13,540,#1 RCB,37.0,13,35,37.1,153,1,2,2,1
Nate Gerry,PHI,LB,13,134,#1 ROLB,37.5,3,5,60.0,30,0,1,0,0
Erik Harris,LV,S,,,#1 FS,38.2,10,24,41.7,128,1,2,4,1
Michael Tyson,HOU,S,10,142,#,39.6,0,3,0.0,0,0,0,1,0
Blidi Wreh-Wilson,ATL,CB,3,30,#3 LCB,39.6,1,5,20.0,11,0,0,2,0
Will Compton,TEN,LB,12,79,#2 RILB,39.6,0,3,0.0,0,0,0,1,1
Dominique Rodgers-Cromartie,LV,CB,,,#,39.6,3,11,27.3,16,0,0,2,0
Patrick Robinson,NO,CB,3,110,#2 RCB,39.6,1,4,25.0,5,0,0,0,0
Kyler Fackrell,GB,LB,16,642,#1 ROLB,39.6,3,10,30.0,23,0,0,0,0
Jarrod Wilson,JAX,S,16,221,#1 FS,39.6,1,7,14.3,-1,0,0,3,0
Bashaud Breeland,GB,CB,7,328,#2 LCB,39.7,12,26,46.2,195,0,2,3,0
Adrian Amos,CHI,S,16,1041,#1 SS,40.7,22,44,50.0,168,0,2,4,0
Tashaun Gipson,JAX,S,16,1005,#1 SS,41.3,15,37,40.5,168,1,2,7,1
Anthony Averett,BAL,CB,11,71,#2 LCB,42.1,1,5,20.0,18,0,0,2,0
Taron Johnson,BUF,CB,11,405,#3 LCB,42.4,11,30,36.7,72,1,1,3,0
Rodney McLeod,PHI,S,3,162,#1 FS,42.4,2,6,33.3,15,0,0,3,2
Marcus Williams,CHI,CB,3,12,#,42.4,1,3,33.3,4,0,0,0,0
Bryce Hager,LAR,LB,16,53,#,42.4,1,3,33.3,7,0,0,1,0
Lano Hill,SEA,S,13,320,#2 SS,43.4,4,13,30.8,49,0,0,1,0
Harrison Smith,MIN,S,16,1024,#1 SS,44.1,21,42,50.0,243,2,4,3,0
Lafayette Pitts,BUF,CB,16,83,#,44.2,3,9,33.3,31,0,0,0,0
David Amerson,ARI,CB,6,292,#,45.1,10,25,40.0,78,1,1,2,1
B.J. Goodson,NYG,LB,15,482,#1 MLB,45.5,17,28,60.7,152,0,2,2,0
Adrian Phillips,LAC,S,16,683,#1 SS,46.5,16,42,38.1,248,1,2,9,0
Kevin Byard,TEN,S,16,1043,#1 FS,46.5,18,30,60.0,165,1,4,3,0
Minkah Fitzpatrick,MIA,S,16,946,#1 FS,47.7,24,59,40.7,366,0,2,8,1
Xavien Howard,MIA,CB,12,802,#1 LCB,48.3,23,59,39.0,355,5,7,6,1
Mike Mitchell,IND,S,8,224,#,49.8,7,9,77.8,49,0,1,1,0
Holton Hill,MIN,CB,16,374,#1 RCB,50.1,12,31,38.7,137,1,1,4,0
Jayon Brown,TEN,LB,16,855,#1 LILB,50.9,17,34,50.0,158,0,1,5,0
Manti Te'o,NO,LB,5,141,#,51.6,4,9,44.4,26,0,0,1,0
D.J. Swearinger,WAS,S,15,961,#3 FS,51.7,23,40,57.5,316,1,4,5,0
Darian Stewart,DEN,S,14,874,#,52.4,12,19,63.2,170,0,2,2,1
Kyle Fuller,CHI,CB,16,1016,#1 RCB,53.2,55,106,51.9,660,3,7,15,1
Ja'Whaun Bentley,NE,LB,3,139,#1 LILB,53.6,6,8,75.0,55,0,1,0,0
A.J. Klein,NO,LB,16,669,#1 SLB,53.8,12,20,60.0,108,0,1,1,0
Myles Jack,JAX,LB,16,1023,#1 WLB,54.3,20,30,66.7,176,0,2,0,0
Kyzir White,LAC,LB,3,142,#1 LOLB,54.5,5,12,41.7,71,1,1,1,0
Kamu Grugier-Hill,PHI,LB,16,330,#2 RILB,54.9,6,6,100.0,40,0,1,0,1
Brandon Marshall,DEN,LB,11,469,#,55.3,8,18,44.4,70,0,0,1,0
Bud Dupree,PIT,LB,16,869,#1 ROLB,55.3,7,9,77.8,61,0,1,0,0
Blake Countess,LAR,S,16,58,#,55.6,2,3,66.7,27,0,1,1,0
Earl Thomas,SEA,S,4,239,#,55.7,3,8,37.5,43,1,3,1,0
Jordan Poyer,BUF,S,16,1010,#1 SS,56.2,16,25,64.0,242,0,4,1,0
Brock Coyle,SF,LB,1,61,#,56.2,3,7,42.9,31,0,0,0,0
Anthony Levine,BAL,S,16,282,#2 SS,56.2,13,21,61.9,113,0,1,4,1
Brandon Copeland,NYJ,LB,16,611,#1 RILB,56.3,2,4,50.0,6,0,0,2,0
Matt Judon,BAL,LB,16,676,#1 LOLB,56.3,4,8,50.0,14,0,0,0,0
T.J. McDonald,MIA,S,14,953,#,56.5,21,35,60.0,257,1,3,2,1
Alex Anzalone,NO,LB,16,486,#1 MLB,56.8,15,24,62.5,115,0,1,1,0
Quincy Wilson,IND,CB,13,435,#2 RCB,57.1,12,28,42.9,150,1,1,2,2
Trumaine Johnson,NYJ,CB,10,670,#,57.5,32,60,53.3,478,1,4,1,0
Jalen Ramsey,JAX,CB,16,1016,#1 RCB,57.6,45,99,45.5,658,2,4,9,2
TJ Carrie,CLE,CB,16,905,#2 LCB,58.0,40,81,49.4,487,0,2,8,2
Denzel Perryman,LAC,LB,9,385,#1 MLB,58.1,12,22,54.5,76,1,1,1,0
Jessie Bates,CIN,S,16,1114,#1 FS,58.7,23,39,59.0,370,0,3,4,1
Mackensie Alexander,MIN,CB,15,564,#1 LCB,58.9,17,39,43.6,192,0,0,10,1
Kareem Jackson,HOU,S,16,984,#1 SS,59.2,31,64,48.4,377,1,2,15,2
E.J. Gaines,CLE,CB,6,180,#3 RCB,59.3,10,18,55.6,147,0,1,2,0
B.W. Webb,NYG,CB,16,1004,#,59.4,30,75,40.0,452,1,1,5,1
Jourdan Lewis,DAL,CB,15,176,#1 LCB,59.7,9,18,50.0,89,1,1,0,0
Luke Kuechly,CAR,LB,16,926,#,60.0,17,30,56.7,97,1,1,3,0
Quenton Meeks,JAX,CB,8,47,#,60.4,2,6,33.3,44,0,0,3,1
Tre Sullivan,PHI,S,12,219,#,60.4,2,4,50.0,16,0,0,0,1
Damarious Randall,CLE,S,15,1081,#4 SS,60.6,24,43,55.8,364,2,4,5,1
Joe Schobert,CLE,LB,13,897,#1 MLB,60.7,15,32,46.9,170,1,1,4,1
Eric Reid,CAR,S,13,735,#,60.8,11,24,45.8,138,1,1,4,1
Steven Nelson,KC,CB,16,1166,#1 RCB,60.8,52,121,43.0,766,5,5,15,0
Aqib Talib,LAR,CB,8,392,#,60.9,13,25,52.0,193,0,1,4,1
Tre'Davious White,BUF,CB,16,961,#1 LCB,61.1,33,71,46.5,386,2,2,5,0
Terrence Brooks,NYJ,S,16,70,#2 SS,61.3,2,5,40.0,31,0,0,1,0
Phillip Gaines,CLE,CB,4,41,#3 LCB,61.5,2,4,50.0,17,0,0,0,0
Jalen Davis,MIA,CB,3,48,#,61.5,2,4,50.0,17,0,0,0,0
Josh Harvey-Clemons,WAS,LB,16,196,#4 MLB,61.5,10,19,52.6,71,0,0,2,0
Ha Ha Clinton-Dix,GB,S,7,449,#,62.1,5,10,50.0,44,2,3,0,0
Denzel Ward,CLE,CB,13,841,#1 LCB,62.2,37,85,43.5,467,4,3,8,1
Stephon Gilmore,NE,CB,16,1012,#3 RCB,62.3,38,97,39.2,442,5,2,20,2
Tre Boston,ARI,S,14,882,#1 FS,62.4,17,34,50.0,212,3,3,8,0
Alec Ogletree,NYG,LB,13,884,#,62.5,25,41,61.0,244,3,5,1,0
Marlon Humphrey,BAL,CB,14,717,#1 LCB,62.5,31,78,39.7,391,4,2,15,1
Brandon Carr,BAL,CB,16,876,#,62.5,39,83,47.0,544,1,2,8,0
Desmond King,LAC,CB,16,799,#1 LCB,62.6,38,59,64.4,317,1,3,5,1
Desmond King,LAC,CB,16,799,#3 FS,62.6,38,59,64.4,317,1,3,5,1
Benardrick McKinney,HOU,LB,16,920,#1 LILB,63.9,14,25,56.0,111,1,1,4,0
Justin Simmons,DEN,S,16,1077,#1 FS,64.0,33,53,62.3,347,1,3,1,1
T.J. Watt,PIT,LB,16,902,#1 LOLB,64.0,8,15,53.3,63,0,0,3,0
Derrick Kindred,CLE,S,16,499,#,64.3,14,16,87.5,143,0,2,0,0
Bryce Callahan,CHI,CB,13,675,#1 RCB,64.5,25,37,67.6,254,0,2,4,1
Lorenzo Carter,NYG,LB,15,442,#1 LOLB,64.6,3,5,60.0,9,0,0,2,1
James Burgess,CLE,LB,3,76,#,65.6,2,4,50.0,21,0,0,0,0
Jamal Adams,NYJ,S,16,1120,#1 SS,65.8,18,40,45.0,272,1,1,6,1
Eric Weddle,BAL,S,16,1017,#,66.2,18,29,62.1,186,0,1,3,0
Terrance Mitchell,CLE,CB,8,445,#2 RCB,66.2,23,47,48.9,283,1,1,6,0
Rashaan Evans,TEN,LB,15,493,#1 RILB,66.3,6,10,60.0,34,0,0,0,0
Morgan Burnett,PIT,S,11,390,#,66.5,13,29,44.8,188,0,0,6,0
Joe Haden,PIT,CB,15,935,#1 LCB,66.9,46,91,50.5,456,3,2,11,2
Bobby Wagner,SEA,LB,15,927,#1 MLB,68.2,22,43,51.2,262,1,1,9,1
Reggie Ragland,KC,LB,16,581,#2 LOLB,68.4,7,13,53.8,87,1,1,0,0
Jimmy Smith,BAL,CB,12,610,#2 RCB,68.5,32,63,50.8,404,2,2,5,0
Cassius Marsh,SF,LB,16,550,#1 SLB,68.7,4,7,57.1,32,0,0,0,0
Riley Bullough,TB,LB,9,127,#,68.8,2,4,50.0,24,0,0,1,1
Dre Kirkpatrick,CIN,CB,13,774,#2 RCB,68.9,29,73,39.7,431,2,0,10,2
Terrell Edmunds,PIT,S,16,964,#1 SS,69.0,18,37,48.6,254,1,1,4,1
Tramaine Brock,DEN,CB,12,434,#,69.1,18,43,41.9,252,1,0,6,1
Roquan Smith,CHI,LB,16,935,#1 LILB,69.3,36,61,59.0,284,1,1,4,0
Johnathan Joseph,HOU,CB,14,810,#1 RCB,69.5,45,88,51.1,564,2,2,10,1
Jalen Reeves-Maybin,DET,LB,9,110,#2 ROLB,69.6,3,5,60.0,21,0,0,0,0
Bene' Benwikere,ARI,CB,11,494,#,69.8,26,48,54.2,280,1,1,3,1
Preston Brown,CIN,LB,7,375,#,69.9,16,22,72.7,158,1,2,1,0
Byron Jones,DAL,CB,16,1018,#1 RCB,70.3,36,78,46.2,477,1,0,15,0
Xavier Woods,DAL,S,14,880,#1 FS,70.7,19,27,70.4,241,1,3,8,0
Tony McRae,CIN,CB,12,82,#3 RCB,70.8,4,8,50.0,52,0,0,1,0
Dorian O'Daniel,KC,LB,16,311,#3 MLB,71.1,10,16,62.5,65,0,0,1,0
Dorian O'Daniel,KC,LB,16,311,#2 SLB,71.1,10,16,62.5,65,0,0,1,0
Quandre Diggs,DET,S,16,948,#1 FS,71.4,33,48,68.8,358,1,3,7,0
John Johnson,LAR,S,16,965,#1 FS,71.5,28,46,60.9,286,4,4,6,2
Brian Poole,ATL,CB,16,833,#2 LCB,71.5,35,55,63.6,436,1,3,5,0
Eddie Pleasant,GB,S,5,85,#,71.7,3,7,42.9,57,0,0,0,1
Clayton Geathers,IND,S,12,714,#,71.8,17,30,56.7,182,1,1,2,1
Marcus Williams,NO,S,16,955,#1 FS,72.2,9,17,52.9,106,3,2,1,1
Darius Slay,DET,CB,15,874,#1 LCB,72.5,39,89,43.8,465,7,3,17,0
Darius Leonard,IND,LB,15,955,#1 WLB,72.6,40,57,70.2,365,0,2,5,0
Morris Claiborne,NYJ,CB,15,1003,#,72.7,38,82,46.3,590,3,2,13,2
Justin Hardee,NO,CB,16,78,#2 LCB,72.9,7,10,70.0,134,0,1,1,0
Kevin King,GB,CB,6,276,#1 RCB,73.1,11,25,44.0,146,2,1,1,0
Marquel Lee,LV,LB,,,#,73.2,9,15,60.0,76,0,0,2,0
Xavier Rhodes,MIN,CB,14,769,#1 RCB,73.2,39,74,52.7,423,2,1,5,2
Jaire Alexander,GB,CB,13,783,#1 LCB,73.2,42,82,51.2,600,2,2,9,0
De'Vante Harris,TB,CB,10,86,#,73.4,4,8,50.0,57,0,0,4,0
Samson Ebukam,LAR,LB,16,695,#1 LOLB,73.8,6,10,60.0,67,1,1,0,0
Devon Kennard,DET,LB,15,864,#1 ROLB,74.0,2,4,50.0,29,0,0,0,0
Jayron Kearse,MIN,S,16,202,#3 SS,74.1,9,14,64.3,62,0,0,2,0
Marqui Christian,LAR,S,16,348,#3 SS,74.2,20,37,54.1,240,0,0,3,0
Harold Landry,TEN,LB,15,593,#1 ROLB,74.3,2,3,66.7,12,0,0,0,0
Nick Perry,GB,LB,9,300,#,74.3,2,3,66.7,12,0,0,0,0
Kenny Vaccaro,TEN,S,13,748,#1 SS,74.3,14,24,58.3,156,1,1,3,1
Deion Jones,ATL,LB,6,384,#1 MLB,74.8,20,27,74.1,191,1,2,4,2
Fabian Moreau,WAS,CB,16,839,#2 RCB,75.3,29,67,43.3,457,3,1,5,0
