,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Julio Jones,ATL,WR,16,216.9,0,0,0,0,0,2,12,0,113,170,1677,8,2,2
DeAndre Hopkins,HOU,WR,16,222.5,0,1,0,0,0,1,-7,0,115,163,1572,11,2,2
Mike Evans,TB,WR,16,200.4,0,0,0,0,0,0,0,0,86,138,1524,8,2,1
Tyreek Hill,KC,WR,16,241.0,0,0,0,0,0,22,151,1,87,137,1479,12,0,0
JuJu Smith-Schuster,PIT,WR,16,185.9,0,0,0,0,0,1,13,0,111,166,1426,7,1,1
Michael Thomas,NO,WR,16,194.5,0,0,0,0,0,0,0,0,125,147,1405,9,2,2
Davante Adams,GB,WR,15,216.6,0,0,0,0,0,0,0,0,111,169,1386,13,0,0
George Kittle,SF,TE,16,168.7,0,0,0,0,0,1,10,0,88,136,1377,5,0,0
Adam Thielen,MIN,WR,16,194.3,0,0,0,0,0,5,30,0,113,153,1373,9,1,1
Travis Kelce,KC,TE,16,193.6,0,0,0,0,0,0,0,0,103,150,1336,10,2,1
Antonio Brown,PIT,WR,15,219.7,0,1,0,0,0,0,0,0,104,168,1297,15,0,0
T.Y. Hilton,IND,WR,14,163.0,0,0,0,0,0,0,0,0,76,120,1270,6,0,0
Robert Woods,LAR,WR,16,179.6,0,0,0,0,0,19,157,1,86,130,1219,6,0,0
Brandin Cooks,LAR,WR,16,163.2,0,0,0,0,0,10,68,1,80,117,1204,5,1,0
Keenan Allen,LAC,WR,16,163.1,0,0,0,0,0,9,75,0,97,136,1196,6,3,1
Zach Ertz,PHI,TE,16,164.3,0,0,0,0,0,0,0,0,116,156,1163,8,1,0
Kenny Golladay,DET,WR,15,137.1,0,0,0,0,0,1,8,0,70,119,1063,5,1,0
Odell Beckham,NYG,WR,12,156.4,2,2,106,2,0,5,19,0,77,124,1052,6,2,1
Tyler Boyd,CIN,WR,14,145.1,0,1,0,0,0,2,3,0,76,108,1028,7,0,0
Stefon Diggs,MIN,WR,15,162.3,0,0,0,0,0,10,62,0,102,149,1021,9,0,0
Amari Cooper,DAL/OAK,WR,15,144.5,0,0,0,0,0,2,20,0,75,107,1005,7,2,2
Jarvis Landry,CLE,WR,16,136.8,1,2,63,0,0,3,60,1,81,149,976,4,1,1
Tyler Lockett,SEA,WR,16,163.4,0,0,0,0,0,13,69,0,57,70,965,10,2,0
Jared Cook,OAK,TE,16,125.6,0,0,0,0,0,0,0,0,68,101,896,6,0,0
Corey Davis,TEN,WR,16,118.6,0,0,0,0,0,6,55,0,65,112,891,4,1,0
Sterling Shepard,NYG,WR,16,114.5,0,0,0,0,0,3,33,0,66,107,872,4,1,0
Emmanuel Sanders,DEN,WR,12,127.5,1,1,28,1,0,4,53,1,71,98,868,4,1,0
Christian McCaffrey,CAR,RB,16,281.0,1,1,50,1,0,219,1098,7,107,124,867,6,4,1
Julian Edelman,NE,WR,12,133.9,2,2,43,0,0,9,107,0,74,108,850,6,1,0
Alshon Jeffery,PHI,WR,13,120.3,0,0,0,0,0,0,0,0,65,92,843,6,1,0
Chris Godwin,TB,WR,16,126.2,0,0,0,0,0,0,0,0,59,95,842,7,4,1
Mohamed Sanu,ATL,WR,16,116.5,1,2,5,1,0,7,44,0,66,94,838,4,2,1
Calvin Ridley,ATL,WR,16,144.8,0,0,0,0,0,6,27,0,64,92,821,10,2,1
Adam Humphries,TB,WR,16,112.7,0,0,0,0,0,2,11,0,76,105,816,5,2,0
Golden Tate,PHI/DET,WR,15,106.9,0,0,0,0,0,4,34,0,74,113,795,4,3,0
D.J. Moore,CAR,WR,16,108.0,0,0,0,0,0,13,172,0,55,82,788,2,4,3
DeSean Jackson,TB,WR,12,110.3,0,0,0,0,0,6,29,1,41,74,774,4,0,0
Allen Robinson,CHI,WR,13,100.3,0,0,0,0,0,1,9,0,55,94,754,4,1,1
Robby Anderson,NYJ,WR,14,110.4,0,0,0,0,0,2,-8,0,50,94,752,6,2,2
James White,NE,RB,16,189.6,0,0,0,0,0,94,425,5,87,123,751,7,0,0
Eric Ebron,IND,TE,16,158.2,0,1,0,0,0,3,-8,1,66,110,750,13,1,1
Jordy Nelson,OAK,WR,15,91.7,0,0,0,0,0,1,-2,0,63,88,739,3,1,0
Josh Gordon,NE/CLE,WR,12,97.7,0,0,0,0,0,0,0,0,41,72,737,4,0,0
Nelson Agholor,PHI,WR,16,101.6,1,1,15,0,0,3,32,0,64,97,736,4,1,0
Larry Fitzgerald,ARI,WR,16,115.0,1,1,32,1,0,0,0,0,69,112,734,6,0,0
Tarik Cohen,CHI,RB,16,169.0,1,1,1,1,0,99,444,3,71,91,725,5,7,3
Saquon Barkley,NYG,RB,16,292.8,0,0,0,0,0,261,1307,11,91,121,721,4,0,0
Dede Westbrook,JAX,WR,16,111.5,0,1,0,0,0,9,98,0,66,101,717,5,3,2
John Brown,BAL,WR,16,101.9,0,0,0,0,0,3,4,0,42,97,715,5,0,0
Alvin Kamara,NO,RB,15,267.2,0,0,0,0,0,194,883,14,81,105,709,4,1,0
Courtland Sutton,DEN,WR,16,94.3,0,0,0,0,0,1,-1,0,42,84,704,4,0,0
A.J. Green,CIN,WR,9,105.4,0,0,0,0,0,0,0,0,46,77,694,6,2,1
Taylor Gabriel,CHI,WR,16,86.9,0,0,0,0,0,9,61,0,67,93,688,2,1,1
Rob Gronkowski,NE,TE,13,86.2,0,0,0,0,0,0,0,0,47,72,682,3,1,1
Demaryius Thomas,DEN/HOU,WR,15,97.7,0,0,0,0,0,0,0,0,59,89,677,5,0,0
Cole Beasley,DAL,WR,16,85.2,0,1,0,0,0,0,0,0,65,87,672,3,0,0
Donte Moncrief,JAX,WR,16,84.8,0,0,0,0,0,0,0,0,48,89,668,3,1,1
Mike Williams,LAC,WR,16,135.2,0,0,0,0,0,7,28,1,43,66,664,10,0,0
Austin Hooper,ATL,TE,16,90.0,0,0,0,0,0,0,0,0,71,88,660,4,0,0
Tyrell Williams,LAC,WR,16,96.8,0,0,0,0,0,2,15,0,41,65,653,5,2,0
Zay Jones,BUF,WR,16,107.2,0,1,0,0,0,1,0,0,56,102,652,7,1,0
Willie Snead,BAL,WR,16,72.4,0,0,0,0,0,1,13,0,62,95,651,1,0,0
David Njoku,CLE,TE,16,87.9,0,0,0,0,0,0,0,0,56,88,639,4,0,0
Jimmy Graham,GB,TE,16,75.6,0,0,0,0,0,0,0,0,55,89,636,2,0,0
Kyle Rudolph,MIN,TE,16,87.4,0,0,0,0,0,0,0,0,64,82,634,4,0,0
Doug Baldwin,SEA,WR,13,91.8,0,0,0,0,0,0,0,0,50,73,618,5,0,0
