,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Bobby Wagner,SEA,LB,16,1080,86.0,73,159,3.0,1,1,1,0,6
Blake Martinez,GB,LB,16,1035,97.0,58,155,3.0,1,0,1,0,2
Jordan Hicks,ARI,LB,16,1160,93.0,57,150,1.5,2,1,3,0,6
Budda Baker,ARI,S,16,1146,104.0,43,147,0.5,1,1,0,0,6
Luke Kuechly,CAR,LB,16,1086,81.0,63,144,0.0,0,0,2,0,12
Zach Cunningham,HOU,LB,16,955,99.0,43,142,2.0,0,2,0,0,2
Jaylon Smith,DAL,LB,16,1015,83.0,59,142,2.5,2,1,1,0,9
Cory Littleton,LAR,LB,16,1055,78.0,56,134,3.5,2,4,2,0,9
Todd Davis,DEN,LB,14,921,78.0,56,134,0.0,0,0,0,0,1
Joe Schobert,CLE,LB,16,1081,89.0,44,133,2.0,2,1,4,0,9
K.J. Wright,SEA,LB,16,1021,67.0,65,132,0.0,0,0,3,0,11
Eric Reid,CAR,S,16,1115,97.0,33,130,4.0,1,2,0,0,6
De'Vondre Campbell,ATL,LB,16,937,75.0,54,129,2.0,3,1,2,0,5
Jerome Baker,MIA,LB,16,1093,76.0,50,126,1.5,2,0,1,0,4
Anthony Walker,IND,LB,16,820,84.0,40,124,2.5,1,0,1,0,2
Lavonte David,TB,LB,16,1160,82.0,41,123,1.0,3,1,1,0,7
Darius Leonard,IND,LB,13,837,71.0,50,121,5.0,2,0,5,1,7
Fred Warner,SF,LB,16,1000,89.0,29,118,3.0,3,0,1,1,9
Landon Collins,WAS,S,15,999,78.0,39,117,1.0,2,0,0,0,4
Tremaine Edmunds,BUF,LB,16,996,66.0,49,115,1.5,0,0,1,0,9
Shawn Williams,CIN,S,16,1024,80.0,34,114,1.0,0,0,1,0,3
Logan Ryan,TEN,S,16,1114,73.0,40,113,4.5,4,0,4,0,18
Thomas Davis,LAC,LB,16,816,65.0,47,112,1.0,0,0,0,0,2
Demario Davis,NO,LB,16,1006,87.0,24,111,4.0,0,0,1,0,12
Nick Vigil,CIN,LB,16,1009,60.0,51,111,1.0,1,2,1,0,5
Rashaan Evans,TEN,LB,16,966,69.0,42,111,2.5,0,1,0,1,0
Deion Jones,ATL,LB,16,965,68.0,42,110,0.0,0,1,1,1,5
Eric Kendricks,MIN,LB,15,962,70.0,40,110,0.5,2,2,0,0,12
Antoine Bethea,NYG,S,16,1132,81.0,29,110,0.0,0,2,1,0,6
Shaq Thompson,CAR,LB,14,984,75.0,34,109,3.0,0,0,0,0,3
Devin Bush,PIT,LB,16,905,72.0,37,109,1.0,1,4,2,1,4
Eric Weddle,LAR,S,16,1047,69.0,39,108,0.0,0,0,0,0,4
Tahir Whitehead,OAK,LB,16,961,79.0,29,108,0.0,0,0,0,0,1
Jordan Poyer,BUF,S,16,992,71.0,36,107,1.0,3,3,2,0,3
Jon Bostic,WAS,LB,16,981,56.0,49,105,1.0,0,0,1,0,2
Jayon Brown,TEN,LB,14,841,69.0,36,105,1.0,0,1,1,1,8
Cole Holcomb,WAS,LB,16,681,74.0,31,105,1.0,3,0,0,0,1
Terrell Edmunds,PIT,S,16,1055,71.0,34,105,0.0,0,0,0,0,3
Tracy Walker,DET,S,13,851,82.0,21,103,0.0,1,0,1,0,8
Roquan Smith,CHI,LB,12,734,66.0,35,101,2.0,0,0,1,0,2
Matt Milano,BUF,LB,15,906,65.0,36,101,1.5,1,1,0,0,9
Benardrick McKinney,HOU,LB,14,863,54.0,47,101,1.0,1,2,0,0,3
Jessie Bates,CIN,S,16,1083,71.0,29,100,0.0,1,1,3,0,9
Taylor Rapp,LAR,S,15,834,62.0,38,100,0.0,0,1,2,1,8
Tavon Wilson,DET,S,16,850,69.0,29,98,1.0,0,2,0,0,5
Justin Simmons,DEN,S,16,1081,65.0,28,93,0.0,0,0,4,0,15
Dre Greenlaw,SF,LB,16,730,64.0,28,92,1.0,0,0,1,0,2
Devin White,TB,LB,13,844,58.0,33,91,2.5,3,4,1,2,3
Vonn Bell,NO,S,13,893,66.0,23,89,1.5,2,5,1,1,5
Anthony Hitchens,KC,LB,15,706,51.0,37,88,2.0,1,0,0,0,1
Sean Lee,DAL,LB,16,651,55.0,31,86,1.0,0,0,1,0,4
Harrison Smith,MIN,S,15,984,65.0,20,85,1.0,3,2,3,0,11
Ricardo Allen,ATL,S,16,969,54.0,31,85,0.0,0,0,2,0,8
Kenny Vaccaro,TEN,S,16,1078,51.0,33,84,1.0,0,0,1,0,5
Adrian Amos,GB,S,16,1047,68.0,16,84,1.0,0,0,2,0,8
Kevin Byard,TEN,S,16,1114,60.0,24,84,0.0,0,0,5,0,9
Cameron Heyward,PIT,DE,16,885,51.0,32,83,9.0,1,1,0,0,6
Mark Barron,PIT,LB,15,766,58.0,24,82,3.0,0,1,1,0,3
Kyle Fuller,CHI,CB,16,1089,72.0,10,82,0.0,0,0,3,0,12
David Mayo,NYG,LB,16,645,52.0,30,82,2.0,0,1,0,0,2
Mack Wilson,CLE,LB,16,960,57.0,25,82,1.0,1,0,1,0,7
Tre Flowers,SEA,CB,15,998,65.0,17,82,2.0,1,1,3,0,8
Damien Wilson,KC,LB,16,715,52.0,29,81,1.5,1,0,0,0,1
Eric Rowe,MIA,S,16,1086,54.0,27,81,0.0,1,0,1,1,8
Jamie Collins,NE,LB,16,835,58.0,23,81,7.0,3,1,3,1,7
Malcolm Jenkins,PHI,S,16,1037,63.0,18,81,2.5,4,1,0,0,8
Alec Ogletree,NYG,LB,13,867,48.0,32,80,1.0,0,0,1,0,6
James Burgess,NYJ,LB,10,672,51.0,29,80,0.5,1,1,1,0,5
Jarrod Wilson,JAX,S,16,1069,57.0,22,79,0.0,1,0,2,0,4
Chidobe Awuzie,DAL,CB,16,1042,48.0,31,79,0.0,0,1,1,0,14
Anthony Barr,MIN,LB,14,944,54.0,25,79,1.5,1,1,1,0,4
Ha Ha Clinton-Dix,CHI,S,16,1086,62.0,16,78,0.0,0,2,2,1,5
Nate Gerry,PHI,LB,16,630,52.0,26,78,2.5,0,1,2,1,5
Justin Reid,HOU,S,15,932,57.0,21,78,0.0,0,1,2,0,5
Byron Murphy,ARI,CB,16,1132,66.0,12,78,0.0,0,0,1,0,10
Xavier Woods,DAL,S,15,999,52.0,25,77,0.0,2,1,2,0,5
Sam Hubbard,CIN,DE,15,871,46.0,30,76,8.5,1,0,0,0,3
Levi Wallace,BUF,CB,16,800,66.0,10,76,0.0,0,0,2,0,9
Germaine Pratt,CIN,LB,16,443,50.0,26,76,0.0,0,0,0,0,0
Haason Reddick,ARI,LB,16,710,43.0,33,76,1.0,0,1,0,0,6
Jabrill Peppers,NYG,S,11,725,51.0,25,76,0.0,3,0,1,1,5
Nick Kwiatkoski,CHI,LB,16,518,56.0,20,76,3.0,1,0,1,0,4
Rodney McLeod,PHI,S,16,1035,46.0,30,76,1.0,2,0,2,0,6
Tyrann Mathieu,KC,S,16,1096,63.0,12,75,2.0,0,0,4,0,12
Neville Hewitt,NYJ,LB,12,779,44.0,31,75,3.0,0,0,2,0,5
Davon Godchaux,MIA,DT,16,729,33.0,42,75,2.0,0,0,0,0,1
Jamal Adams,NYJ,S,14,978,61.0,14,75,6.5,2,1,1,2,7
Drue Tranquill,LAC,LB,15,382,61.0,14,75,0.0,0,0,0,0,1
Charvarius Ward,KC,CB,16,1063,56.0,18,74,0.0,1,0,2,0,10
Damontae Kazee,ATL,S,16,817,46.0,28,74,0.0,1,0,3,0,3
Erik Harris,OAK,S,16,919,64.0,10,74,0.0,0,0,3,2,8
Chuck Clark,BAL,S,16,757,45.0,28,73,1.0,2,0,1,0,9
Andrew Sendejo,PHI/PHI/MIN,S,24,639,59.0,14,73,2.0,0,0,4,0,6
Nicholas Morrow,OAK,LB,16,748,53.0,20,73,0.0,0,0,1,0,4
Leighton Vander Esch,DAL,LB,9,528,43.0,29,72,0.5,1,0,0,0,3
Micah Hyde,BUF,S,16,984,50.0,22,72,0.0,2,1,1,0,2
Raekwon McMillan,MIA,LB,13,524,35.0,37,72,0.0,0,0,0,0,1
Markus Golden,NYG,LB,16,939,37.0,35,72,10.0,0,1,0,1,0
Kareem Jackson,DEN,S,13,868,48.0,23,71,0.0,1,0,2,1,10
Mychal Kendricks,SEA,LB,14,664,47.0,24,71,3.0,1,0,1,0,4
Dont'a Hightower,NE,LB,15,738,47.0,24,71,5.5,0,1,0,1,4
Ronnie Harrison,JAX,S,14,846,44.0,27,71,2.0,0,1,2,0,9
Khari Willis,IND,S,14,631,53.0,18,71,0.0,0,0,0,0,1
Danny Trevathan,CHI,LB,9,572,50.0,20,70,1.0,1,0,0,0,1
Bradley McDougald,SEA,S,15,962,52.0,18,70,0.5,1,1,2,0,6
Danielle Hunter,MIN,DE,16,897,52.0,18,70,14.5,3,1,0,0,0
A.J. Klein,NO,LB,15,766,47.0,22,69,2.5,1,1,1,1,2
Grady Jarrett,ATL,DT,16,821,38.0,31,69,7.5,2,0,0,0,0
Minkah Fitzpatrick,PIT/MIA,S,16,1065,44.0,25,69,0.0,2,3,5,2,9
