,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Bobby Wagner,SEA,LB,16,171.0,86.0,73,159,3.0,1,1,1,0
Blake Martinez,GB,LB,16,165.0,97.0,58,155,3.0,1,0,1,0
Jordan Hicks,ARI,LB,16,165.0,93.0,57,150,1.5,2,1,3,0
Budda Baker,ARI,S,16,152.0,104.0,43,147,0.5,1,1,0,0
Luke Kuechly,CAR,LB,16,148.0,81.0,63,144,0.0,0,0,2,0
Zach Cunningham,HOU,LB,16,150.0,99.0,43,142,2.0,0,2,0,0
Jaylon Smith,DAL,LB,16,155.0,83.0,59,142,2.5,2,1,1,0
Cory Littleton,LAR,LB,16,157.0,78.0,56,134,3.5,2,4,2,0
Todd Davis,DEN,LB,14,134.0,78.0,56,134,0.0,0,0,0,0
Joe Schobert,CLE,LB,16,151.0,89.0,44,133,2.0,2,1,4,0
K.J. Wright,SEA,LB,16,138.0,67.0,65,132,0.0,0,0,3,0
Eric Reid,CAR,S,16,144.0,97.0,33,130,4.0,1,2,0,0
De'Vondre Campbell,ATL,LB,16,145.0,75.0,54,129,2.0,3,1,2,0
Jerome Baker,MIA,LB,16,135.0,76.0,50,126,1.5,2,0,1,0
Anthony Walker,IND,LB,16,133.0,84.0,40,124,2.5,1,0,1,0
Lavonte David,TB,LB,16,135.0,82.0,41,123,1.0,3,1,1,0
Darius Leonard,IND,LB,13,151.0,71.0,50,121,5.0,2,0,5,1
Fred Warner,SF,LB,16,138.0,89.0,29,118,3.0,3,0,1,1
Landon Collins,WAS,S,15,123.0,78.0,39,117,1.0,2,0,0,0
Tremaine Edmunds,BUF,LB,16,120.0,66.0,49,115,1.5,0,0,1,0
Shawn Williams,CIN,S,16,118.0,80.0,34,114,1.0,0,0,1,0
Logan Ryan,TEN,S,16,138.0,73.0,40,113,4.5,4,0,4,0
Thomas Davis,LAC,LB,16,114.0,65.0,47,112,1.0,0,0,0,0
Demario Davis,NO,LB,16,121.0,87.0,24,111,4.0,0,0,1,0
Nick Vigil,CIN,LB,16,121.0,60.0,51,111,1.0,1,2,1,0
Rashaan Evans,TEN,LB,16,124.0,69.0,42,111,2.5,0,1,0,1
Deion Jones,ATL,LB,16,120.0,68.0,42,110,0.0,0,1,1,1
Eric Kendricks,MIN,LB,15,119.0,70.0,40,110,0.5,2,2,0,0
Antoine Bethea,NYG,S,16,116.0,81.0,29,110,0.0,0,2,1,0
Shaq Thompson,CAR,LB,14,115.0,75.0,34,109,3.0,0,0,0,0
Devin Bush,PIT,LB,16,131.0,72.0,37,109,1.0,1,4,2,1
Eric Weddle,LAR,S,16,108.0,69.0,39,108,0.0,0,0,0,0
Tahir Whitehead,OAK,LB,16,108.0,79.0,29,108,0.0,0,0,0,0
Jordan Poyer,BUF,S,16,125.0,71.0,36,107,1.0,3,3,2,0
Jon Bostic,WAS,LB,16,109.0,56.0,49,105,1.0,0,0,1,0
Jayon Brown,TEN,LB,14,117.0,69.0,36,105,1.0,0,1,1,1
Cole Holcomb,WAS,LB,16,113.0,74.0,31,105,1.0,3,0,0,0
Terrell Edmunds,PIT,S,16,105.0,71.0,34,105,0.0,0,0,0,0
Tracy Walker,DET,S,13,107.0,82.0,21,103,0.0,1,0,1,0
Roquan Smith,CHI,LB,12,107.0,66.0,35,101,2.0,0,0,1,0
Matt Milano,BUF,LB,15,108.0,65.0,36,101,1.5,1,1,0,0
Benardrick McKinney,HOU,LB,14,109.0,54.0,47,101,1.0,1,2,0,0
Jessie Bates,CIN,S,16,110.0,71.0,29,100,0.0,1,1,3,0
Taylor Rapp,LAR,S,15,112.0,62.0,38,100,0.0,0,1,2,1
Tavon Wilson,DET,S,16,104.0,69.0,29,98,1.0,0,2,0,0
