,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Whitney Mercilus,HOU,LB,16,968,#1 LOLB,0.0,0,4,0.0,0,0,2,0,0
C.J. Mosley,NYJ,LB,2,116,#3 LILB,2.8,2,6,33.3,-6,0,1,1,0
Earl Thomas,BAL,S,15,911,#,6.4,4,15,26.7,68,0,3,2,0
J.C. Jackson,NE,CB,16,699,#2 LCB,10.5,25,64,39.1,230,0,6,7,2
John Johnson,LAR,S,6,403,#1 FS,17.0,5,13,38.5,70,0,2,0,0
Harrison Smith,MIN,S,15,984,#1 SS,17.6,13,27,48.1,97,0,3,8,0
Kwon Alexander,SF,LB,8,368,#1 WLB,19.8,5,12,41.7,51,0,1,2,1
Minkah Fitzpatrick,PIT,S,14,948,#1 FS,21.1,6,14,42.9,77,0,5,4,1
Chandon Sullivan,GB,CB,16,356,#2 LCB,22.4,6,23,26.1,74,0,1,5,1
Justin Simmons,DEN,S,16,1081,#1 FS,22.5,15,35,42.9,124,1,4,10,0
L.J. Fort,BAL,LB,12,258,#1 LILB,25.0,6,10,60.0,28,0,1,1,0
Shaun Dion Hamilton,WAS,LB,16,360,#1 WLB,25.4,5,10,50.0,51,0,1,0,1
Eddie Jackson,CHI,S,16,1079,#1 FS,26.7,14,35,40.0,127,0,2,3,0
Tarell Basham,NYJ,LB,16,602,#1 LOLB,26.8,4,7,57.1,28,0,1,0,0
Kevin Pierre-Louis,CHI,LB,14,215,#1 SLB,28.5,7,12,58.3,36,0,1,2,0
Justin March,DAL,LB,16,43,#2 WLB,31.8,5,8,62.5,33,0,1,1,0
Preston Smith,GB,LB,16,880,#1 LOLB,33.8,6,10,60.0,51,0,1,0,0
Tre'Davious White,BUF,CB,15,966,#1 LCB,34.7,40,84,47.6,457,0,6,10,1
Darnell Savage,GB,S,14,871,#1 FS,35.0,11,28,39.3,121,1,2,5,3
Anthony Harris,MIN,S,14,922,#1 FS,35.1,12,23,52.2,161,0,6,6,0
Devin McCourty,NE,S,16,971,#1 FS,35.6,13,26,50.0,116,1,5,3,1
