,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Jerome Baker,MIA,LB,1,61,12,4,16,1.0,1,0,0,0,0
Emmanuel Moseley,SF,CB,1,82,10,5,15,0.0,0,0,0,0,0
Budda Baker,ARI,S,1,62,10,5,15,0.0,0,0,0,0,0
Johnathan Abram,LV,S,1,67,9,4,13,0.0,0,0,0,0,0
Blake Martinez,NYG,LB,1,64,8,5,13,0.0,0,0,0,0,0
Shaq Thompson,CAR,LB,1,63,5,7,12,0.0,0,0,0,0,0
Casey Hayward,LAC,CB,1,68,12,0,12,0.0,0,0,0,0,2
Christian Kirksey,GB,LB,1,52,6,6,12,0.0,0,0,0,0,0
Germaine Pratt,CIN,LB,1,54,8,4,12,0.0,0,0,0,0,0
Jamal Adams,SEA,S,1,79,8,4,12,1.0,0,0,0,0,0
Josh Jones,JAX,S,1,72,6,6,12,0.0,0,0,0,0,0
Myles Jack,JAX,LB,1,74,8,3,11,1.0,0,0,0,0,0
Devin White,TB,LB,1,68,6,5,11,0.0,0,0,0,0,1
Eric Kendricks,MIN,LB,1,78,7,4,11,0.0,0,0,0,0,0
Lavonte David,TB,LB,1,68,7,4,11,0.0,0,0,0,0,0
Aldon Smith,DAL,LB,1,54,6,5,11,1.0,0,0,0,0,0
Nate Gerry,PHI,LB,1,69,5,5,10,0.0,0,0,0,0,0
Marcus Maye,NYJ,S,1,87,7,3,10,2.0,1,0,0,0,2
Darian Thompson,DAL,S,1,58,9,1,10,0.0,0,0,0,0,0
Kwon Alexander,SF,LB,1,80,8,2,10,0.0,1,0,0,0,0
Ceedy Duce,NO,S,1,61,9,1,10,0.0,0,0,0,0,1
C.J. Gardner-Johnson,NO,S,1,61,9,1,10,0.0,0,0,0,0,1
Darius Leonard,IND,LB,1,50,5,5,10,0.0,0,0,0,0,0
Jaylon Smith,DAL,LB,1,73,5,5,10,0.0,0,0,0,0,1
Sam Hubbard,CIN,DE,1,58,3,6,9,0.0,0,0,0,0,0
Fred Warner,SF,LB,1,82,5,4,9,0.0,0,0,0,0,1
Brandon Jones,MIA,S,1,34,7,2,9,0.0,0,0,0,0,0
Deion Jones,ATL,LB,1,59,6,3,9,0.0,0,0,0,0,0
B.J. Goodson,CLE,LB,1,49,5,4,9,0.0,0,0,0,0,0
Kevin Byard,TEN,S,1,59,8,1,9,0.0,1,0,0,0,1
Brian Poole,NYJ,CB,1,86,8,1,9,1.0,0,0,0,0,1
Xavier Woods,DAL,S,1,73,6,3,9,0.0,0,0,0,0,0
Tracy Walker,DET,S,1,54,8,1,9,0.0,0,0,0,0,1
Janoris Jenkins,NO,CB,1,64,8,1,9,0.0,0,0,1,1,1
Adrian Phillips,NE,S,1,43,8,1,9,0.0,0,0,1,0,1
Corey Ballentine,NYG,CB,1,59,7,2,9,0.0,0,0,0,0,0
Bryce Callahan,DEN,CB,1,80,6,2,8,0.0,0,0,0,0,0
Anthony Hitchens,KC,LB,1,26,4,4,8,0.0,0,0,0,0,0
Bradley McDougald,NYJ,S,1,86,6,2,8,0.0,0,1,0,0,1
Tyrann Mathieu,KC,S,1,59,6,2,8,0.0,0,0,0,0,0
Rodney McLeod,PHI,S,1,70,6,2,8,0.0,0,0,0,0,2
Josh Bynes,CIN,LB,1,53,4,4,8,1.0,0,0,0,0,0
Vonn Bell,CIN,S,1,74,5,3,8,0.0,0,0,0,0,0
Joe Schobert,JAX,LB,1,74,5,3,8,0.0,0,0,0,0,0
Anthony Harris,MIN,S,1,78,5,3,8,0.0,0,0,0,0,0
Jeremy Chinn,CAR,S,1,63,7,1,8,0.0,0,0,0,0,0
Jordan Fuller,LAR,S,1,71,5,3,8,0.0,0,0,0,0,0
Kenneth Murray,LAC,LB,1,62,4,4,8,0.0,0,0,0,0,0
Patrick Queen,BAL,LB,1,54,4,4,8,1.0,1,0,0,0,0
Blessuan Austin,NYJ,CB,1,86,7,1,8,0.0,1,0,0,0,0
Terrell Edmunds,PIT,S,1,68,7,1,8,0.0,0,0,0,0,0
Troy Apke,WAS,S,1,68,5,3,8,0.0,0,0,0,0,0
Neville Hewitt,NYJ,LB,1,87,3,5,8,0.0,0,0,0,0,1
Josey Jewell,DEN,LB,1,79,5,3,8,0.0,0,0,0,0,0
Anthony Walker,IND,LB,1,43,5,2,7,0.0,0,0,0,0,0
Zach Cunningham,HOU,LB,1,69,5,2,7,0.0,0,0,0,0,0
Shaquill Griffin,SEA,CB,1,78,4,3,7,0.0,0,0,0,0,1
Micah Kiser,LAR,LB,1,72,6,1,7,0.0,0,0,0,0,2
Lorenzo Carter,NYG,LB,1,63,4,3,7,0.0,0,0,0,0,0
Sione Takitaki,CLE,LB,1,54,5,2,7,0.0,0,0,0,0,0
Mike Hughes,MIN,CB,1,58,4,3,7,0.0,0,0,0,0,0
Jamel Dean,TB,CB,1,35,7,0,7,0.0,0,0,0,0,0
Roquan Smith,CHI,LB,1,76,5,2,7,0.0,0,0,0,0,0
Isaiah Oliver,ATL,CB,1,62,2,5,7,0.0,0,0,0,0,0
Holton Hill,MIN,CB,1,59,7,0,7,0.0,0,0,0,0,1
John Reid,HOU,CB,1,32,6,1,7,0.0,0,0,0,0,0
Marquise Blair,SEA,S,1,55,4,3,7,0.0,1,0,0,0,0
Krys Barnes,GB,LB,1,15,5,2,7,0.0,0,0,0,0,0
Devin Bush,PIT,LB,1,68,5,2,7,0.0,0,0,0,0,0
Benardrick McKinney,HOU,LB,1,56,5,2,7,0.0,0,0,0,0,0
Eric Murray,HOU,S,1,67,3,4,7,0.0,0,0,0,0,0
De'Vondre Campbell,ARI,LB,1,62,5,2,7,0.0,0,0,0,0,0
Tashaun Gipson,CHI,S,1,78,5,2,7,0.0,0,0,0,0,0
Danny Trevathan,CHI,LB,1,70,5,2,7,0.0,0,0,0,0,0
Bobby Wagner,SEA,LB,1,79,2,5,7,0.0,0,0,0,0,2
Jon Bostic,WAS,LB,1,68,5,2,7,1.0,0,0,0,0,0
William Gholston,TB,DE,1,34,3,4,7,0.0,0,0,0,0,0
Jordan Hicks,ARI,LB,1,62,4,2,6,0.0,0,0,0,0,0
Bradley Roby,HOU,CB,1,69,6,0,6,0.0,0,0,0,0,0
Anthony Barr,MIN,LB,1,78,6,0,6,0.0,0,0,0,0,0
Tre Boston,CAR,S,1,63,5,1,6,0.0,1,0,0,0,0
Pierre Desir,NYJ,CB,1,35,4,2,6,0.0,0,0,0,0,0
Tahir Whitehead,CAR,LB,1,57,4,2,6,0.0,0,0,0,0,0
L.J. Fort,BAL,LB,1,23,6,0,6,0.0,1,1,0,0,0
Kenny Vaccaro,TEN,S,1,59,4,2,6,0.0,0,0,0,0,1
Jurrell Casey,DEN,DE,1,57,3,3,6,0.0,0,0,0,0,2
Demario Davis,NO,LB,1,70,5,1,6,1.0,0,0,0,0,0
Chris Banjo,ARI,S,1,58,3,3,6,0.0,0,0,0,0,0
Kareem Jackson,DEN,S,1,81,5,1,6,0.0,0,0,0,0,1
Joe Haden,PIT,CB,1,68,6,0,6,0.0,0,0,0,0,0
Malcolm Jenkins,NO,S,1,70,3,3,6,0.0,0,0,0,0,1
Duke Riley,PHI,LB,1,57,3,3,6,0.5,0,0,0,0,0
Cory Littleton,LV,LB,1,67,3,3,6,0.0,0,0,0,0,0
Justin Simmons,DEN,S,1,81,4,2,6,0.0,0,0,0,0,0
Anthony Brown,DAL,CB,1,73,5,1,6,0.0,0,0,0,0,0
DeForest Buckner,IND,DT,1,43,4,2,6,0.0,0,0,0,0,0
Nick Kwiatkoski,LV,LB,1,22,4,2,6,0.0,0,0,0,0,0
Harvey Langi,NYJ,LB,1,83,5,1,6,0.0,0,0,0,0,1
D.J. Hayden,JAX,CB,1,66,6,0,6,0.0,0,0,0,0,0
Trayvon Mullen,LV,CB,1,63,3,3,6,0.0,0,0,0,0,1
Antoine Winfield,TB,S,1,68,3,3,6,0.0,0,0,0,0,1
Nick Bosa,SF,DE,1,57,3,3,6,0.0,1,0,0,0,0
A.J. Terrell,ATL,CB,1,62,5,1,6,0.0,0,0,0,0,0
Jaylon Johnson,CHI,CB,1,78,5,1,6,0.0,0,0,0,0,3
Jordan Whitehead,TB,S,1,62,4,2,6,0.0,0,0,0,0,0
Jimmy Moreland,WAS,CB,1,68,5,1,6,0.0,0,0,1,0,1
Jihad Ward,BAL,LB,1,31,1,5,6,0.0,0,0,0,0,0
Keanu Neal,ATL,S,1,51,2,4,6,0.0,0,0,0,0,0
Eddie Jackson,CHI,S,1,78,5,1,6,0.0,0,0,0,0,0
Foyesade Oluokun,ATL,LB,1,46,4,2,6,0.0,0,0,0,0,0
Chuck Clark,BAL,S,1,73,4,2,6,0.0,1,0,0,0,0
Jalen Ramsey,LAR,CB,1,72,6,0,6,0.0,0,0,0,0,1
Lano Hill,SEA,S,1,29,5,0,5,0.0,0,0,0,0,0
Kevin King,GB,CB,1,51,4,1,5,0.0,0,0,0,0,0
Jayon Brown,TEN,LB,1,59,2,3,5,0.0,0,0,0,0,0
P.J. Hall,HOU,DT,1,17,4,1,5,0.0,0,0,0,0,0
Jarrad Davis,DET,LB,1,35,2,3,5,0.0,0,0,0,0,0
Chase Winovich,NE,DE,1,42,4,1,5,0.0,0,0,0,0,0
Ja'Whaun Bentley,NE,LB,1,51,3,2,5,0.0,0,0,0,0,0
Taron Johnson,BUF,CB,1,48,4,1,5,0.0,0,0,0,0,1
Malik Hooker,IND,S,1,50,3,2,5,0.0,0,0,0,0,0
Kenny Young,LAR,LB,1,38,2,3,5,0.0,0,0,0,0,0
Damon Arnette,LV,CB,1,48,3,2,5,0.0,0,0,0,0,1
Dre Greenlaw,SF,LB,1,35,3,2,5,0.0,0,0,0,0,1
Justin Reid,HOU,S,1,69,5,0,5,0.0,0,0,0,0,1
Sean Murphy-Bunting,TB,CB,1,68,4,1,5,0.0,0,0,0,0,0
DeShon Elliott,BAL,S,1,72,2,3,5,0.0,0,0,0,0,0
Jessie Bates,CIN,S,1,73,5,0,5,0.0,0,0,0,0,2
