,,,,Passing,,,,,,Red Zone Passes,,
Name,Team,Pos,G,QBR,COMP,ATT,YDS,TD,INT,In20,In10,In5
Matt Ryan,ATL,QB,1,98.5,37,54,450,2,1,8,3,0
Aaron Rodgers,GB,QB,1,127.5,32,44,364,4,0,12,6,5
Philip Rivers,IND,QB,1,89.3,36,46,363,1,2,7,1,0
Russell Wilson,SEA,QB,1,152.3,31,35,322,4,0,5,3,1
Josh Allen,BUF,QB,1,104.6,33,46,312,2,0,14,6,4
Matthew Stafford,DET,QB,1,77.2,24,42,297,1,1,7,3,1
Daniel Jones,NYG,QB,1,79.2,26,41,279,2,2,10,6,3
Lamar Jackson,BAL,QB,1,154.6,20,25,275,3,0,8,4,1
Jared Goff,LAR,QB,1,79.4,20,31,275,0,1,8,0,0
Carson Wentz,PHI,QB,1,72.5,24,42,270,2,2,3,1,1
Teddy Bridgewater,CAR,QB,1,98.8,22,34,269,1,0,2,1,1
Dak Prescott,DAL,QB,1,92.5,25,39,266,1,0,6,0,0
Kirk Cousins,MIN,QB,1,118.6,19,25,259,2,1,1,0,0
Jimmy Garoppolo,SF,QB,1,103.0,19,33,259,2,0,7,4,2
Deshaun Watson,HOU,QB,1,84.5,20,32,253,1,1,3,2,0
Ryan Tannehill,TEN,QB,1,97.9,29,43,249,2,0,6,4,2
Mitchell Trubisky,CHI,QB,1,104.2,20,36,242,3,0,11,6,3
Tom Brady,TB,QB,1,78.4,23,36,239,2,2,6,2,1
Derek Carr,LV,QB,1,107.5,22,30,239,1,0,4,2,1
Kyler Murray,ARI,QB,1,78.1,26,40,230,1,1,1,1,0
Ben Roethlisberger,PIT,QB,1,117.8,21,32,229,3,0,5,2,0
Drew Lock,DEN,QB,1,95.0,22,33,216,1,0,5,3,2
Sam Darnold,NYJ,QB,1,75.3,21,35,215,1,1,3,1,1
Patrick Mahomes,KC,QB,1,123.3,24,32,211,3,0,8,7,2
Tyrod Taylor,LAC,QB,1,75.4,16,30,208,0,0,4,3,2
Joe Burrow,CIN,QB,1,66.1,23,36,193,0,1,3,0,0
Ryan Fitzpatrick,MIA,QB,1,42.5,20,30,191,0,3,2,1,0
Baker Mayfield,CLE,QB,1,65.0,21,39,189,1,1,1,1,1
Dwayne Haskins,WAS,QB,1,82.5,17,31,178,1,0,5,1,0
Gardner Minshew,JAX,QB,1,167.3,19,20,173,3,0,2,1,0
Drew Brees,NO,QB,1,96.5,18,30,160,2,0,10,2,2
Cam Newton,NE,QB,1,101.9,15,19,155,0,0,2,1,0
Taysom Hill,NO,QB,1,243.8,1,1,38,0,0,0,0,0
Robert Griffin,BAL,QB,1,122.9,1,1,9,0,0,0,0,0
