,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Julio Jones,ATL,WR,1,15.7,0,0,0,0,0,0,0,0,9,12,157,0,0,0
Davante Adams,GB,WR,1,27.6,0,0,0,0,0,0,0,0,14,17,156,2,0,0
DeAndre Hopkins,ARI,WR,1,15.1,0,0,0,0,0,0,0,0,14,16,151,0,0,0
Calvin Ridley,ATL,WR,1,24.9,0,0,0,0,0,1,-1,0,9,12,130,2,0,0
Jamison Crowder,NYJ,WR,1,17.5,0,0,0,0,0,0,0,0,7,13,115,1,0,0
Robby Anderson,CAR,WR,1,17.4,0,0,0,0,0,0,0,0,6,8,114,1,0,0
Russell Gage,ATL,WR,1,11.4,0,0,0,0,0,0,0,0,9,12,114,0,0,0
Will Fuller,HOU,WR,1,11.2,0,0,0,0,0,0,0,0,8,10,112,0,0,0
Adam Thielen,MIN,WR,1,23.0,0,0,0,0,0,0,0,0,6,8,110,2,0,0
Robert Woods,LAR,WR,1,11.9,0,0,0,0,0,1,14,0,6,8,105,0,0,0
Darius Slayton,NYG,WR,1,22.2,0,0,0,0,0,0,0,0,6,9,102,2,0,0
Marquise Brown,BAL,WR,1,10.1,0,0,0,0,0,0,0,0,5,6,101,0,0,0
Dallas Goedert,PHI,TE,1,16.1,0,0,0,0,0,0,0,0,8,9,101,1,0,0
Corey Davis,TEN,WR,1,10.1,0,0,0,0,0,0,0,0,7,8,101,0,0,0
Marquez Valdes-Scantling,GB,WR,1,15.6,0,0,0,0,0,0,0,0,4,6,96,1,0,0
Raheem Mostert,SF,RB,1,21.1,0,0,0,0,0,15,56,0,4,5,95,1,0,0
DK Metcalf,SEA,WR,1,15.5,0,0,0,0,0,0,0,0,4,8,95,1,0,0
Tyler Lockett,SEA,WR,1,9.2,0,0,0,0,0,0,0,0,8,8,92,0,0,0
Stefon Diggs,BUF,WR,1,8.6,0,0,0,0,0,0,0,0,8,9,86,0,0,0
Sammy Watkins,KC,WR,1,14.5,0,0,0,0,0,1,3,0,7,9,82,1,0,0
Danny Amendola,DET,WR,1,8.1,0,0,0,0,0,0,0,0,5,7,81,0,0,0
Amari Cooper,DAL,WR,1,8.1,0,0,0,0,0,0,0,0,10,14,81,0,0,0
Noah Fant,DEN,TE,1,14.1,0,0,0,0,0,0,0,0,5,6,81,1,0,0
Jared Cook,NO,TE,1,8.0,0,0,0,0,0,0,0,0,5,7,80,0,0,0
Chris Godwin,TB,WR,1,7.9,0,0,0,0,0,0,0,0,6,7,79,0,0,0
Anthony Miller,CHI,WR,1,13.6,0,0,0,0,0,0,0,0,4,6,76,1,0,0
Allen Robinson,CHI,WR,1,7.3,0,0,0,0,0,1,-1,0,5,9,74,0,0,0
Hunter Henry,LAC,TE,1,7.3,0,0,0,0,0,0,0,0,5,8,73,0,0,0
Scotty Miller,TB,WR,1,7.9,0,0,0,0,0,1,6,0,5,6,73,0,0,0
Parris Campbell,IND,WR,1,8.0,0,0,0,0,0,1,9,0,6,9,71,0,0,0
John Brown,BUF,WR,1,13.0,0,0,0,0,0,0,0,0,6,10,70,1,0,0
Mike Williams,LAC,WR,1,6.9,0,0,0,0,0,0,0,0,4,9,69,0,0,0
JuJu Smith-Schuster,PIT,WR,1,18.9,0,0,0,0,0,0,0,0,6,6,69,2,0,0
Jonathan Taylor,IND,RB,1,8.9,0,0,0,0,0,9,22,0,6,6,67,0,0,0
Willie Snead,BAL,WR,1,12.4,0,0,0,0,0,0,0,0,4,4,64,1,0,0
Allen Lazard,GB,WR,1,14.2,0,0,0,0,0,1,19,0,4,4,63,1,0,0
Terry McLaurin,WAS,WR,1,6.1,0,0,0,0,0,0,0,0,5,7,61,0,0,0
Jarvis Landry,CLE,WR,1,6.1,0,0,0,0,0,0,0,0,5,6,61,0,0,0
Saquon Barkley,NYG,RB,1,6.6,0,0,0,0,0,15,6,0,6,9,60,0,0,0
CeeDee Lamb,DAL,WR,1,5.9,0,0,0,0,0,0,0,0,5,6,59,0,0,0
Cole Beasley,BUF,WR,1,5.8,0,0,0,0,0,0,0,0,4,7,58,0,0,0
Mark Andrews,BAL,TE,1,17.8,0,0,0,0,0,0,0,0,5,6,58,2,0,0
Julian Edelman,NE,WR,1,8.0,0,0,0,0,0,1,23,0,5,7,57,0,0,0
Diontae Johnson,PIT,WR,1,5.7,0,0,0,0,0,0,0,0,6,10,57,0,1,1
Bisi Johnson,MIN,WR,1,5.6,0,0,0,0,0,0,0,0,3,4,56,0,0,0
T.J. Hockenson,DET,TE,1,11.6,0,0,0,0,0,0,0,0,5,5,56,1,0,0
Jerry Jeudy,DEN,WR,1,5.6,0,0,0,0,0,0,0,0,4,8,56,0,1,0
Jalen Reagor,PHI,WR,1,5.5,0,0,0,0,0,0,0,0,1,4,55,0,1,0
Henry Ruggs,LV,WR,1,6.6,0,0,0,0,0,2,11,0,3,5,55,0,0,0
