,,,,Rushing,,,,,,,Big Rushing Games,,,Fumbles,
Name,Team,Pos,G,ATT,YDS,AVG,YDS/G,TD,20+,40+,100+,150+,200+,TOT,LOST
Clyde Edwards-Helaire,KC,RB,1,25,138,5.5,138.0,1,1,0,1,0,0,0,0
Derrick Henry,TEN,RB,1,31,116,3.7,116.0,0,0,0,1,0,0,0,0
Benny Snell,PIT,RB,1,19,113,5.9,113.0,0,2,0,1,0,0,1,0
Christian McCaffrey,CAR,RB,1,23,97,4.2,97.0,2,0,0,0,0,0,0,0
Ezekiel Elliott,DAL,RB,1,22,96,4.4,96.0,1,0,0,0,0,0,0,0
Adrian Peterson,DET,RB,1,14,93,6.6,93.0,0,1,0,0,0,0,0,0
Josh Jacobs,LV,RB,1,25,93,3.7,93.0,3,0,0,0,0,0,0,0
Kyler Murray,ARI,QB,1,13,91,7.0,91.0,1,2,0,0,0,0,0,0
Austin Ekeler,LAC,RB,1,19,84,4.4,84.0,0,0,0,0,0,0,0,0
Malcolm Brown,LAR,RB,1,18,79,4.4,79.0,2,0,0,0,0,0,0,0
Melvin Gordon,DEN,RB,1,15,78,5.2,78.0,1,1,0,0,0,0,1,1
David Johnson,HOU,RB,1,11,77,7.0,77.0,1,0,0,0,0,0,0,0
Cam Newton,NE,QB,1,15,75,5.0,75.0,2,0,0,0,0,0,0,0
Kareem Hunt,CLE,RB,1,13,72,5.5,72.0,0,1,0,0,0,0,1,0
Joe Mixon,CIN,RB,1,19,69,3.6,69.0,0,0,0,0,0,0,1,1
Ronald Jones,TB,RB,1,17,66,3.9,66.0,0,1,0,0,0,0,0,0
Aaron Jones,GB,RB,1,16,66,4.1,66.0,1,0,0,0,0,0,1,0
David Montgomery,CHI,RB,1,13,64,4.9,64.0,0,0,0,0,0,0,0,0
James Robinson,JAX,RB,1,16,62,3.9,62.0,0,0,0,0,0,0,0,0
Joshua Kelley,LAC,RB,1,12,60,5.0,60.0,1,1,0,0,0,0,0,0
Nick Chubb,CLE,RB,1,10,60,6.0,60.0,0,1,0,0,0,0,1,1
Kenyan Drake,ARI,RB,1,16,60,3.8,60.0,1,0,0,0,0,0,0,0
Josh Allen,BUF,QB,1,14,57,4.1,57.0,1,0,0,0,0,0,2,2
Todd Gurley,ATL,RB,1,14,56,4.0,56.0,1,0,0,0,0,0,0,0
Raheem Mostert,SF,RB,1,15,56,3.7,56.0,0,0,0,0,0,0,0,0
Dalvin Cook,MIN,RB,1,12,50,4.2,50.0,2,0,0,0,0,0,0,0
Alexander Mattison,MIN,RB,1,6,50,8.3,50.0,0,1,0,0,0,0,0,0
Latavius Murray,NO,RB,1,15,48,3.2,48.0,0,0,0,0,0,0,0,0
Joe Burrow,CIN,QB,1,8,46,5.8,46.0,1,1,0,0,0,0,1,0
Lamar Jackson,BAL,QB,1,7,45,6.4,45.0,0,0,0,0,0,0,1,0
Tarik Cohen,CHI,RB,1,7,41,5.9,41.0,0,0,0,0,0,0,0,0
Myles Gaskin,MIA,RB,1,9,40,4.4,40.0,0,0,0,0,0,0,0,0
Cam Akers,LAR,RB,1,14,39,2.8,39.0,0,0,0,0,0,0,0,0
Tyler Ervin,GB,RB,1,3,38,12.7,38.0,0,1,0,0,0,0,0,0
Sony Michel,NE,RB,1,10,37,3.7,37.0,1,0,0,0,0,0,0,0
Antonio Gibson,WAS,RB,1,9,36,4.0,36.0,0,1,0,0,0,0,0,0
Boston Scott,PHI,RB,1,9,35,3.9,35.0,0,0,0,0,0,0,0,0
Kirk Cousins,MIN,QB,1,4,34,8.5,34.0,0,0,0,0,0,0,0,0
Rex Burkhead,NE,RB,1,7,32,4.6,32.0,0,0,0,0,0,0,0,0
Dak Prescott,DAL,QB,1,3,30,10.0,30.0,0,0,0,0,0,0,0,0
Devin Singletary,BUF,RB,1,9,30,3.3,30.0,0,0,0,0,0,0,0,0
Russell Wilson,SEA,QB,1,3,29,9.7,29.0,0,1,0,0,0,0,1,0
Mark Ingram,BAL,RB,1,10,29,2.9,29.0,0,0,0,0,0,0,0,0
Peyton Barber,WAS,RB,1,17,29,1.7,29.0,2,0,0,0,0,0,0,0
Devontae Booker,LV,RB,1,4,29,7.3,29.0,0,0,0,0,0,0,1,0
J.J. Taylor,NE,RB,1,4,28,7.0,28.0,0,0,0,0,0,0,0,0
Nyheim Hines,IND,RB,1,7,28,4.0,28.0,1,0,0,0,0,0,0,0
Deshaun Watson,HOU,QB,1,6,27,4.5,27.0,1,0,0,0,0,0,0,0
Chase Edmonds,ARI,RB,1,6,26,4.3,26.0,0,1,0,0,0,0,1,0
Marlon Mack,IND,RB,1,4,26,6.5,26.0,0,0,0,0,0,0,0,0
Mitchell Trubisky,CHI,QB,1,3,26,8.7,26.0,0,1,0,0,0,0,1,0
Teddy Bridgewater,CAR,QB,1,4,26,6.5,26.0,0,0,0,0,0,0,0,0
Frank Gore,NYJ,RB,1,6,24,4.0,24.0,0,0,0,0,0,0,0,0
Phillip Lindsay,DEN,RB,1,7,24,3.4,24.0,0,0,0,0,0,0,0,0
Jerick McKinnon,SF,RB,1,3,24,8.0,24.0,0,0,0,0,0,0,0,0
Matthew Stafford,DET,QB,1,5,23,4.6,23.0,0,0,0,0,0,0,0,0
Julian Edelman,NE,WR,1,1,23,23.0,23.0,0,1,0,0,0,0,0,0
Carlos Hyde,SEA,RB,1,7,23,3.3,23.0,1,0,0,0,0,0,0,0
Darrel Williams,KC,RB,1,7,23,3.3,23.0,0,0,0,0,0,0,0,0
Daniel Jones,NYG,QB,1,4,22,5.5,22.0,0,0,0,0,0,0,0,0
J.K. Dobbins,BAL,RB,1,7,22,3.1,22.0,2,0,0,0,0,0,0,0
Jonathan Taylor,IND,RB,1,9,22,2.4,22.0,0,0,0,0,0,0,0,0
James White,NE,RB,1,5,22,4.4,22.0,0,0,0,0,0,0,0,0
Matt Breida,MIA,RB,1,5,22,4.4,22.0,0,0,0,0,0,0,0,0
Jamaal Williams,GB,RB,1,7,21,3.0,21.0,0,0,0,0,0,0,0,0
Chris Carson,SEA,RB,1,6,21,3.5,21.0,0,0,0,0,0,0,0,0
Allen Lazard,GB,WR,1,1,19,19.0,19.0,0,0,0,0,0,0,0,0
Gardner Minshew,JAX,QB,1,5,19,3.8,19.0,0,0,0,0,0,0,0,0
Cordarrelle Patterson,CHI,WR,1,4,19,4.8,19.0,0,0,0,0,0,0,0,0
Corey Clement,PHI,RB,1,6,19,3.2,19.0,0,0,0,0,0,0,0,0
Tevin Coleman,SF,RB,1,4,18,4.5,18.0,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,MIA,QB,1,5,18,3.6,18.0,0,0,0,0,0,0,1,0
Gus Edwards,BAL,RB,1,4,17,4.3,17.0,0,0,0,0,0,0,0,0
Dwayne Haskins,WAS,QB,1,7,17,2.4,17.0,0,0,0,0,0,0,1,0
Alvin Kamara,NO,RB,1,12,16,1.3,16.0,1,0,0,0,0,0,0,0
Jared Goff,LAR,QB,1,4,15,3.8,15.0,0,0,0,0,0,0,0,0
Duke Johnson,HOU,RB,1,5,14,2.8,14.0,0,0,0,0,0,0,0,0
Ryan Tannehill,TEN,QB,1,3,14,4.7,14.0,0,0,0,0,0,0,0,0
Robert Woods,LAR,WR,1,1,14,14.0,14.0,0,0,0,0,0,0,0,0
Le'Veon Bell,NYJ,RB,1,6,14,2.3,14.0,0,0,0,0,0,0,0,0
AJ Dillon,GB,RB,1,2,14,7.0,14.0,0,0,0,0,0,0,0,0
Kerryon Johnson,DET,RB,1,7,14,2.0,14.0,0,0,0,0,0,0,0,0
Taysom Hill,NO,QB,1,3,13,4.3,13.0,0,0,0,0,0,0,0,0
Brian Hill,ATL,RB,1,3,12,4.0,12.0,0,0,0,0,0,0,0,0
David Moore,SEA,WR,1,1,12,12.0,12.0,0,0,0,0,0,0,0,0
Henry Ruggs,LV,WR,1,2,11,5.5,11.0,0,0,0,0,0,0,0,0
Zack Moss,BUF,RB,1,9,11,1.2,11.0,0,0,0,0,0,0,0,0
Laviska Shenault,JAX,WR,1,2,10,5.0,10.0,0,0,0,0,0,0,0,0
Tony Pollard,DAL,RB,1,2,10,5.0,10.0,0,0,0,0,0,0,0,0
Parris Campbell,IND,WR,1,1,9,9.0,9.0,0,0,0,0,0,0,0,0
