,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Name,Team,Pos,G,ATT,YDS,AVG,TD,In20,In10,In5,%Tm,In20,In10,In5
Clyde Edwards-Helaire,KC,RB,1,25,138,5.5,1,10,7,6,100.00,0,0,0
Derrick Henry,TEN,RB,1,31,116,3.7,0,7,3,2,100.00,0,0,0
Benny Snell,PIT,RB,1,19,113,5.9,0,1,0,0,50.00,0,0,0
Christian McCaffrey,CAR,RB,1,23,97,4.2,2,6,4,2,66.67,2,2,1
Ezekiel Elliott,DAL,RB,1,22,96,4.4,1,4,2,2,66.67,1,1,1
Josh Jacobs,LV,RB,1,25,93,3.7,3,6,6,1,85.71,3,3,1
Adrian Peterson,DET,RB,1,14,93,6.6,0,4,1,0,80.00,0,0,0
Kyler Murray,ARI,QB,1,13,91,7.0,1,0,0,0,0.00,0,0,0
Austin Ekeler,LAC,RB,1,19,84,4.4,0,3,1,0,42.86,0,0,0
Malcolm Brown,LAR,RB,1,18,79,4.4,2,4,3,2,57.14,2,2,2
Melvin Gordon,DEN,RB,1,15,78,5.2,1,4,2,2,57.14,1,1,1
David Johnson,HOU,RB,1,11,77,7.0,1,1,0,0,50.00,1,0,0
Cam Newton,NE,QB,1,15,75,5.0,2,5,4,2,55.56,2,1,1
Kareem Hunt,CLE,RB,1,13,72,5.5,0,1,1,1,100.00,0,0,0
Joe Mixon,CIN,RB,1,19,69,3.6,0,0,0,0,0.00,0,0,0
Aaron Jones,GB,RB,1,16,66,4.1,1,3,3,3,50.00,1,1,1
Ronald Jones,TB,RB,1,17,66,3.9,0,3,2,1,60.00,0,0,0
David Montgomery,CHI,RB,1,13,64,4.9,0,0,0,0,0.00,0,0,0
James Robinson,JAX,RB,1,16,62,3.9,0,2,1,0,100.00,0,0,0
Kenyan Drake,ARI,RB,1,16,60,3.8,1,1,1,1,100.00,1,1,1
Joshua Kelley,LAC,RB,1,12,60,5.0,1,4,3,2,57.14,1,1,1
Nick Chubb,CLE,RB,1,10,60,6.0,0,0,0,0,0.00,0,0,0
Josh Allen,BUF,QB,1,14,57,4.1,1,2,1,1,18.18,1,1,1
Raheem Mostert,SF,RB,1,15,56,3.7,0,1,1,1,20.00,0,0,0
Todd Gurley,ATL,RB,1,14,56,4.0,1,5,3,3,83.33,1,1,1
Dalvin Cook,MIN,RB,1,12,50,4.2,2,3,3,3,60.00,2,2,2
Alexander Mattison,MIN,RB,1,6,50,8.3,0,2,1,0,40.00,0,0,0
Latavius Murray,NO,RB,1,15,48,3.2,0,6,4,1,46.15,0,0,0
Joe Burrow,CIN,QB,1,8,46,5.8,1,0,0,0,0.00,0,0,0
Lamar Jackson,BAL,QB,1,7,45,6.4,0,3,0,0,37.50,0,0,0
Tarik Cohen,CHI,RB,1,7,41,5.9,0,2,0,0,50.00,0,0,0
Myles Gaskin,MIA,RB,1,9,40,4.4,0,0,0,0,0.00,0,0,0
Cam Akers,LAR,RB,1,14,39,2.8,0,1,1,0,14.29,0,0,0
Tyler Ervin,GB,RB,1,3,38,12.7,0,1,0,0,16.67,0,0,0
Sony Michel,NE,RB,1,10,37,3.7,1,3,1,1,33.33,1,1,1
Antonio Gibson,WAS,RB,1,9,36,4.0,0,1,1,1,6.25,0,0,0
Boston Scott,PHI,RB,1,9,35,3.9,0,0,0,0,0.00,0,0,0
Kirk Cousins,MIN,QB,1,4,34,8.5,0,0,0,0,0.00,0,0,0
Rex Burkhead,NE,RB,1,7,32,4.6,0,0,0,0,0.00,0,0,0
Dak Prescott,DAL,QB,1,3,30,10.0,0,1,0,0,16.67,0,0,0
Devin Singletary,BUF,RB,1,9,30,3.3,0,1,0,0,9.09,0,0,0
Russell Wilson,SEA,QB,1,3,29,9.7,0,0,0,0,0.00,0,0,0
Peyton Barber,WAS,RB,1,17,29,1.7,2,10,7,6,62.50,2,2,2
Devontae Booker,LV,RB,1,4,29,7.3,0,1,0,0,14.29,0,0,0
Mark Ingram,BAL,RB,1,10,29,2.9,0,2,1,0,25.00,0,0,0
Nyheim Hines,IND,RB,1,7,28,4.0,1,4,2,1,66.67,1,0,0
J.J. Taylor,NE,RB,1,4,28,7.0,0,0,0,0,0.00,0,0,0
Deshaun Watson,HOU,QB,1,6,27,4.5,1,1,1,1,50.00,1,1,1
Mitchell Trubisky,CHI,QB,1,3,26,8.7,0,1,0,0,25.00,0,0,0
Teddy Bridgewater,CAR,QB,1,4,26,6.5,0,2,0,0,22.22,0,0,0
Chase Edmonds,ARI,RB,1,6,26,4.3,0,0,0,0,0.00,0,0,0
Marlon Mack,IND,RB,1,4,26,6.5,0,0,0,0,0.00,0,0,0
Jerick McKinnon,SF,RB,1,3,24,8.0,0,3,2,0,60.00,0,0,0
Phillip Lindsay,DEN,RB,1,7,24,3.4,0,1,1,1,14.29,0,0,0
Frank Gore,NYJ,RB,1,6,24,4.0,0,0,0,0,0.00,0,0,0
Matthew Stafford,DET,QB,1,5,23,4.6,0,0,0,0,0.00,0,0,0
Carlos Hyde,SEA,RB,1,7,23,3.3,1,1,1,1,33.33,1,1,1
Julian Edelman,NE,WR,1,1,23,23.0,0,0,0,0,0.00,0,0,0
Darrel Williams,KC,RB,1,7,23,3.3,0,0,0,0,0.00,0,0,0
Daniel Jones,NYG,QB,1,4,22,5.5,0,0,0,0,0.00,0,0,0
J.K. Dobbins,BAL,RB,1,7,22,3.1,2,2,2,2,25.00,2,2,2
Jonathan Taylor,IND,RB,1,9,22,2.4,0,2,1,1,33.33,0,0,0
James White,NE,RB,1,5,22,4.4,0,1,0,0,11.11,0,0,0
Matt Breida,MIA,RB,1,5,22,4.4,0,2,0,0,28.57,0,0,0
Chris Carson,SEA,RB,1,6,21,3.5,0,0,0,0,0.00,0,0,0
