,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Kevin Pierre-Louis,WAS,LB,1,18.0,10,6,16,0.0,1,0,0,0
Zach Cunningham,HOU,LB,1,17.0,10,5,15,1.0,0,0,0,0
Micah Kiser,LAR,LB,1,17.0,10,5,15,0.0,1,0,0,0
Devin White,TB,LB,1,15.0,11,4,15,0.0,0,0,0,0
Jaylon Smith,DAL,LB,1,14.0,8,6,14,0.0,0,0,0,0
Nik Needham,MIA,CB,1,12.0,6,6,12,0.0,0,0,0,0
Fred Warner,SF,LB,1,12.0,9,3,12,0.0,0,0,0,0
Eric Kendricks,MIN,LB,1,12.0,11,1,12,0.0,0,0,0,0
Christian Kirksey,GB,LB,1,12.0,9,3,12,0.0,0,0,0,0
Joe Thomas,DAL,LB,1,12.0,6,6,12,0.0,0,0,0,0
Malcolm Butler,TEN,CB,1,11.0,8,3,11,0.0,0,0,0,0
Damien Wilson,KC,LB,1,11.0,7,4,11,0.0,0,0,0,0
Kenny Vaccaro,TEN,S,1,13.0,10,1,11,1.0,0,0,0,0
Myles Jack,JAX,LB,1,11.0,6,5,11,0.0,0,0,0,0
Antoine Winfield,TB,S,1,15.0,8,3,11,1.0,1,0,0,0
Kenneth Murray,LAC,LB,1,10.0,6,4,10,0.0,0,0,0,0
Levi Wallace,BUF,CB,1,10.0,7,3,10,0.0,0,0,0,0
Jessie Bates,CIN,S,1,10.0,3,7,10,0.0,0,0,0,0
Justin Reid,HOU,S,1,10.0,8,2,10,0.0,0,0,0,0
John Johnson,LAR,S,1,10.0,6,4,10,0.0,0,0,0,0
Bobby Wagner,SEA,LB,1,10.0,5,5,10,0.0,0,0,0,0
Andrew Sendejo,CLE,S,1,10.0,7,3,10,0.0,0,0,0,0
Jordan Hicks,ARI,LB,1,10.0,8,2,10,0.0,0,0,0,0
De'Vondre Campbell,ARI,LB,1,10.0,8,2,10,0.0,0,0,0,0
Joe Schobert,JAX,LB,1,10.0,6,4,10,0.0,0,0,0,0
Benardrick McKinney,HOU,LB,1,10.0,3,7,10,0.0,0,0,0,0
Anthony Hitchens,KC,LB,1,9.0,7,2,9,0.0,0,0,0,0
Lavonte David,TB,LB,1,13.0,7,2,9,0.0,1,1,0,0
Micah Hyde,BUF,S,1,9.0,6,3,9,0.0,0,0,0,0
Kerry Hyder,SF,DE,1,9.0,3,6,9,0.0,0,0,0,0
Malcolm Smith,CLE,LB,1,9.0,5,4,9,0.0,0,0,0,0
Chris Banjo,ARI,S,1,9.0,6,3,9,0.0,0,0,0,0
Marcus Williams,NO,S,1,9.0,7,2,9,0.0,0,0,0,0
Jamal Adams,SEA,S,1,11.0,6,3,9,1.0,0,0,0,0
Derrick Nnadi,KC,DT,1,9.0,2,7,9,0.0,0,0,0,0
Ben Niemann,KC,LB,1,9.0,5,4,9,0.0,0,0,0,0
Patrick Queen,BAL,LB,1,9.0,7,2,9,0.0,0,0,0,0
Jordan Fuller,LAR,S,1,9.0,5,4,9,0.0,0,0,0,0
Tavierre Thomas,CLE,CB,1,9.0,9,0,9,0.0,0,0,0,0
Tyrel Dodson,BUF,LB,1,8.0,6,2,8,0.0,0,0,0,0
Ugo Amadi,SEA,S,1,8.0,8,0,8,0.0,0,0,0,0
Roquan Smith,CHI,LB,1,8.0,6,2,8,0.0,0,0,0,0
Avonte Maddox,PHI,CB,1,8.0,8,0,8,0.0,0,0,0,0
Keanu Neal,ATL,S,1,8.0,6,2,8,0.0,0,0,0,0
Demario Davis,NO,LB,1,8.0,5,3,8,0.0,0,0,0,0
Chris Harris,LAC,CB,1,8.0,4,4,8,0.0,0,0,0,0
Josh Bynes,CIN,LB,1,8.0,3,5,8,0.0,0,0,0,0
John Simon,NE,LB,1,8.0,5,3,8,0.0,0,0,0,0
Jon Bostic,WAS,LB,1,10.0,5,3,8,1.0,0,0,0,0
Jordan Poyer,BUF,S,1,10.0,4,4,8,1.0,0,0,0,0
Troy Hill,LAR,CB,1,10.0,7,1,8,0.0,0,0,1,0
