,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Dak Prescott,DAL,QB,1,46.3,34,47,450,1,0,5,18,3,0,0,0,0,1,1
Josh Allen,BUF,QB,1,38.7,24,35,415,4,0,4,19,0,0,0,0,0,0,0
Cam Newton,NE,QB,1,40.6,30,44,397,1,1,11,47,2,0,0,0,0,0,0
Teddy Bridgewater,CAR,QB,1,18.4,33,42,367,0,2,0,0,0,0,0,0,0,1,1
Gardner Minshew,JAX,QB,1,30.9,30,45,339,3,2,4,19,0,0,0,0,0,1,0
Ryan Fitzpatrick,MIA,QB,1,25.6,31,47,328,2,0,3,12,0,0,0,0,0,0,0
Joe Burrow,CIN,QB,1,29.7,37,61,316,3,0,7,19,0,0,0,0,0,2,1
Drew Brees,NO,QB,1,19.6,26,38,312,1,1,0,0,0,0,0,0,0,0,0
Ben Roethlisberger,PIT,QB,1,23.4,29,41,311,2,1,3,-2,0,0,0,0,0,1,0
Justin Herbert,LAC,QB,1,27.4,22,33,311,1,1,4,18,1,0,0,0,0,0,0
Patrick Mahomes,KC,QB,1,28.5,27,47,302,2,0,6,54,0,0,0,0,0,0,0
Russell Wilson,SEA,QB,1,38.3,21,28,288,5,1,5,39,0,0,0,0,0,0,0
Kyler Murray,ARI,QB,1,37.0,26,38,286,1,1,8,67,2,0,0,0,0,0,0
Derek Carr,LV,QB,1,26.5,28,38,284,3,0,3,3,0,0,0,0,0,2,1
Deshaun Watson,HOU,QB,1,19.5,25,36,275,1,1,5,17,0,0,0,0,0,0,0
Matt Ryan,ATL,QB,1,31.3,24,36,273,4,0,4,16,0,0,0,0,0,0,0
Jared Goff,LAR,QB,1,26.7,20,27,267,3,0,7,13,0,0,0,0,0,0,0
Jeff Driskel,DEN,QB,1,21.3,18,34,256,2,1,2,5,0,0,0,0,0,0,0
Matthew Stafford,DET,QB,1,20.6,20,33,244,2,1,1,4,0,0,0,0,0,0,0
Carson Wentz,PHI,QB,1,18.8,26,43,242,0,2,2,7,1,0,0,0,0,0,0
Daniel Jones,NYG,QB,1,14.2,25,40,241,0,1,3,21,0,0,0,0,0,1,1
Aaron Rodgers,GB,QB,1,20.6,18,30,240,2,0,2,12,0,1,1,-6,0,0,0
Ryan Tannehill,TEN,QB,1,29.2,18,24,239,4,0,4,12,0,0,0,0,0,0,0
Dwayne Haskins,WAS,QB,1,16.0,19,33,223,1,0,1,8,0,0,0,0,0,1,1
Baker Mayfield,CLE,QB,1,19.5,16,23,219,2,1,3,5,0,0,0,0,0,0,0
Tom Brady,TB,QB,1,14.9,23,35,217,1,1,1,0,0,0,0,0,0,1,1
Philip Rivers,IND,QB,1,15.0,19,25,214,1,1,4,3,0,0,0,0,0,1,0
Lamar Jackson,BAL,QB,1,19.6,18,24,204,1,0,16,54,0,0,0,0,0,0,0
Mitchell Trubisky,CHI,QB,1,19.1,18,28,190,2,2,4,16,0,0,0,0,0,0,0
Sam Darnold,NYJ,QB,1,13.7,21,32,179,1,0,2,7,0,0,0,0,0,0,0
Jimmy Garoppolo,SF,QB,1,14.6,14,16,131,2,0,0,0,0,0,0,0,0,0,0
Kirk Cousins,MIN,QB,1,5.7,11,26,113,0,3,0,0,0,0,0,0,0,0,0
Nick Mullens,SF,QB,1,3.4,8,11,71,0,1,2,-2,0,0,0,0,0,2,0
Drew Lock,DEN,QB,1,1.0,1,5,20,0,0,0,0,0,0,0,0,0,1,1
Russell Gage,ATL,WR,1,10.6,0,1,0,0,0,0,0,0,6,9,46,1,0,0
Chris Jones,DAL,P,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andy Dalton,DAL,QB,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
