,,Week 2 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,BUF,MIA,BUF,-5.5,42.5,8.26,18.25,332.62,2.85,1.07,0.71,0.07,0.21,0.07,0.00,0.00
2,SF,NYJ,SF,-7.0,41.5,8.25,17.00,328.19,3.00,0.94,0.69,0.06,0.12,0.12,0.06,0.00
3,PIT,DEN,PIT,-6.5,41.0,7.69,18.50,301.45,3.04,0.90,0.64,0.06,0.12,0.12,0.00,0.00
4,TB,CAR,TB,-7.5,47.0,7.60,20.00,349.57,2.86,0.98,0.70,0.07,0.14,0.07,0.00,0.00
5,CHI,NYG,CHI,-4.5,42.5,7.55,19.00,339.37,3.00,0.95,0.66,0.00,0.07,0.07,0.07,0.00
6,TEN,JAX,TEN,-7.0,44.5,7.42,16.50,343.55,3.17,0.96,0.73,0.00,0.07,0.07,0.00,0.00
7,ARI,WAS,ARI,-7.0,46.5,7.40,18.75,328.45,2.96,0.89,0.67,0.00,0.07,0.07,0.07,0.00
8,CLE,CIN,CLE,-6.0,44.5,7.08,18.00,357.31,3.05,0.97,0.62,0.00,0.07,0.07,0.00,0.00
9,KC,LAC,KC,-8.5,47.0,6.92,21.50,310.52,2.74,0.91,0.59,0.00,0.07,0.07,0.00,0.07
10,LAR,PHI,PHI,2,46.0,6.85,25.75,365.04,2.94,0.89,0.68,0.00,0.06,0.06,0.00,0.00
11,GB,DET,GB,-7.0,51.0,6.74,21.00,364.98,2.81,0.91,0.65,0.00,0.13,0.00,0.00,0.00
12,BAL,HOU,BAL,-7.0,49.5,6.71,22.00,353.07,2.39,0.85,0.57,0.06,0.11,0.06,0.00,0.06
13,SEA,NE,SEA,-4.5,45.0,6.62,20.50,327.68,2.61,0.80,0.60,0.00,0.07,0.13,0.00,0.00
14,IND,MIN,IND,-3.5,49.0,6.46,22.00,365.49,2.60,0.83,0.59,0.00,0.11,0.06,0.00,0.00
15,MIN,IND,IND,3.5,49.0,6.45,27.75,410.15,2.64,0.80,0.55,0.00,0.06,0.12,0.00,0.00
16,NYG,CHI,CHI,4.5,42.5,6.22,26.50,385.80,2.54,0.92,0.69,0.00,0.08,0.00,0.00,0.00
17,PHI,LAR,PHI,-2.0,46.0,6.18,24.00,400.72,2.42,0.77,0.53,0.06,0.06,0.11,0.00,0.00
18,MIA,BUF,BUF,5.5,42.5,6.15,25.25,377.35,2.56,0.83,0.55,0.00,0.07,0.00,0.00,0.07
19,NE,SEA,SEA,4.5,45.0,6.05,26.25,412.72,2.20,0.85,0.51,0.06,0.06,0.06,0.00,0.06
20,DAL,ATL,DAL,-3.0,53.5,5.90,23.00,391.00,2.38,0.72,0.53,0.00,0.06,0.11,0.00,0.00
21,CIN,CLE,CLE,6,44.5,5.89,26.00,390.45,2.42,0.81,0.55,0.00,0.06,0.06,0.00,0.00
22,NO,LV,NO,-4.0,47.5,5.87,22.00,372.86,2.12,0.72,0.51,0.05,0.10,0.05,0.00,0.05
23,WAS,ARI,ARI,7,46.5,5.74,27.00,409.75,2.40,0.67,0.50,0.00,0.06,0.06,0.06,0.00
24,DEN,PIT,PIT,6.5,41.0,5.67,26.50,403.29,2.11,0.78,0.50,0.00,0.06,0.06,0.00,0.06
25,ATL,DAL,DAL,3,53.5,5.61,30.00,437.08,2.50,0.81,0.54,0.00,0.07,0.00,0.00,0.00
26,JAX,TEN,TEN,7,44.5,5.40,26.00,362.40,2.46,0.73,0.53,0.00,0.07,0.00,0.00,0.00
27,NYJ,SF,SF,7,41.5,5.34,25.50,388.23,2.13,0.71,0.47,0.06,0.06,0.06,0.00,0.00
28,DET,GB,GB,7,51.0,5.21,28.00,426.04,1.94,0.68,0.47,0.00,0.05,0.05,0.00,0.05
29,HOU,BAL,BAL,7,49.5,5.15,30.00,417.93,2.30,0.71,0.55,0.00,0.00,0.05,0.00,0.00
30,LV,NO,NO,4,47.5,5.05,26.00,415.90,2.09,0.68,0.50,0.00,0.05,0.05,0.00,0.00
31,CAR,TB,TB,7.5,47.0,4.81,29.00,404.61,2.17,0.65,0.46,0.00,0.07,0.00,0.00,0.00
32,LAC,KC,KC,8.5,47.0,4.66,29.00,425.44,1.85,0.57,0.44,0.00,0.04,0.04,0.00,0.04
