,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
Julian Edelman,NE,WR,1,8,179,0,11,2,1,0,33.33
Stefon Diggs,BUF,WR,1,8,153,1,13,1,0,0,20.00
Mike Gesicki,MIA,TE,1,8,130,1,11,3,3,1,50.00
Terry McLaurin,WAS,WR,1,7,125,1,10,0,0,0,0.00
D.J. Moore,CAR,WR,1,8,120,0,13,0,0,0,0.00
Mo Alie-Cox,IND,TE,1,5,111,0,6,1,0,0,20.00
Calvin Ridley,ATL,WR,1,7,109,2,10,1,1,1,20.00
Robby Anderson,CAR,WR,1,9,109,0,10,2,0,0,50.00
CeeDee Lamb,DAL,WR,1,6,106,0,9,1,1,1,16.67
Darren Waller,LV,TE,1,12,105,1,16,2,1,1,40.00
Mike Evans,TB,WR,1,7,104,1,10,0,0,0,0.00
Amari Cooper,DAL,WR,1,6,100,0,9,0,0,0,0.00
Tyreek Hill,KC,WR,1,5,99,1,11,0,0,0,0.00
Keenan Allen,LAC,WR,1,7,96,0,10,1,0,0,25.00
Alvin Kamara,NO,RB,1,9,95,0,9,2,0,0,50.00
Brandin Cooks,HOU,WR,1,5,95,0,8,1,0,0,33.33
DK Metcalf,SEA,WR,1,4,92,1,6,0,0,0,0.00
Diontae Johnson,PIT,WR,1,8,92,1,13,1,0,0,25.00
Travis Kelce,KC,TE,1,9,90,1,14,1,1,0,100.00
Chase Claypool,PIT,WR,1,3,88,1,3,0,0,0,0.00
Dalton Schultz,DAL,TE,1,9,88,1,10,2,2,0,33.33
Tre'Quan Smith,NO,WR,1,5,86,0,7,1,0,0,25.00
Jonnu Smith,TEN,TE,1,4,84,2,5,2,1,1,50.00
DJ Chark,JAX,WR,1,4,84,0,4,0,0,0,0.00
Hunter Henry,LAC,TE,1,6,83,0,8,0,0,0,0.00
John Brown,BUF,WR,1,4,82,1,6,0,0,0,0.00
Cooper Kupp,LAR,WR,1,5,81,0,6,0,0,0,0.00
Isaiah Ford,MIA,WR,1,7,76,0,9,0,0,0,0.00
Chris Hogan,NYJ,WR,1,6,75,0,8,0,0,0,0.00
Odell Beckham,CLE,WR,1,4,74,1,6,1,1,1,33.33
Mike Davis,CAR,RB,1,8,74,0,8,1,1,0,25.00
Tyler Boyd,CIN,WR,1,7,72,1,8,2,2,1,16.67
Hayden Hurst,ATL,TE,1,5,72,1,8,1,1,0,20.00
Damiere Byrd,NE,WR,1,6,72,0,9,0,0,0,0.00
N'Keal Harry,NE,WR,1,8,72,0,12,2,1,0,33.33
Cole Beasley,BUF,WR,1,5,70,0,6,2,2,0,40.00
Aaron Jones,GB,RB,1,4,68,1,8,2,1,0,33.33
DeAndre Hopkins,ARI,WR,1,8,68,1,9,3,1,1,75.00
Tyler Lockett,SEA,WR,1,7,67,1,8,1,1,1,33.33
Kendrick Bourne,SF,WR,1,4,67,0,5,0,0,0,0.00
