,,,Extra Points,,,Field Goals,,,0-29,,30-39,,40-49,,50+,
Name,Team,G,XPM,XPA,XP%,FGM,FGA,FG%,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA
Stephen Gostkowski,TEN,1,1,1,100.0,6,6,100.0,0,0,3,3,0,0,3,3
Joey Slye,CAR,1,0,1,0.0,5,5,100.0,3,3,2,2,0,0,0,0
Matt Prater,DET,1,2,2,100.0,4,4,100.0,1,1,3,3,0,0,0,0
Graham Gano,NYG,1,0,0,0.0,3,3,100.0,0,0,0,0,2,2,1,1
Nick Folk,NE,1,3,4,75.0,3,3,100.0,1,1,2,2,0,0,0,0
Mason Crosby,GB,1,4,4,100.0,3,3,100.0,0,0,1,1,1,1,1,1
Robbie Gould,SF,1,3,3,100.0,3,4,75.0,1,1,1,1,0,0,1,2
Randy Bullock,CIN,1,2,2,100.0,3,3,100.0,1,1,1,1,1,1,0,0
Wil Lutz,NO,1,3,3,100.0,3,3,100.0,0,0,2,2,1,1,0,0
Jake Elliott,PHI,1,2,2,100.0,3,3,100.0,1,1,0,0,1,1,1,1
Younghoe Koo,ATL,1,2,3,66.7,2,3,66.7,1,1,1,1,0,1,0,0
Daniel Carlson,LV,1,2,2,100.0,2,3,66.7,2,2,0,0,0,1,0,0
Rodrigo Blankenship,IND,1,4,4,100.0,2,3,66.7,0,0,0,0,2,3,0,0
Chris Boswell,PIT,1,2,2,100.0,2,2,100.0,1,1,1,1,0,0,0,0
Cody Parkey,CLE,1,4,4,100.0,2,2,100.0,0,0,1,1,1,1,0,0
Greg Zuerlein,DAL,1,1,3,33.3,2,2,100.0,0,0,0,0,2,2,0,0
Justin Tucker,BAL,1,2,2,100.0,2,2,100.0,1,1,0,0,1,1,0,0
Ryan Succop,TB,1,2,3,66.7,2,2,100.0,0,0,1,1,1,1,0,0
Dan Bailey,MIN,1,3,3,100.0,1,2,50.0,0,0,0,0,1,2,0,0
Brandon McManus,DEN,1,1,1,100.0,1,1,100.0,0,0,0,0,0,0,1,1
Samuel Sloman,LAR,1,3,3,100.0,1,2,50.0,0,0,1,1,0,0,0,1
Cairo Santos,CHI,1,3,3,100.0,1,2,50.0,0,0,1,1,0,1,0,0
Zane Gonzalez,ARI,1,2,3,66.7,1,1,100.0,0,0,0,0,0,0,1,1
Jason Sanders,MIA,1,4,4,100.0,1,1,100.0,0,0,1,1,0,0,0,0
Michael Badgley,LAC,1,1,1,100.0,1,1,100.0,0,0,0,0,1,1,0,0
Harrison Butker,KC,1,4,5,80.0,0,1,0.0,0,0,0,0,0,1,0,0
Tyler Bass,BUF,1,5,5,100.0,0,0,0.0,0,0,0,0,0,0,0,0
Brandon Wright,JAX,1,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0
Jason Myers,SEA,1,4,4,100.0,0,0,0.0,0,0,0,0,0,0,0,0
Dustin Hopkins,WAS,1,2,3,66.7,0,0,0.0,0,0,0,0,0,0,0,0
Sam Ficken,NYJ,1,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0
Ka'imi Fairbairn,HOU,1,3,3,100.0,0,0,0.0,0,0,0,0,0,0,0,0
