,,,,Passing,,,,,,,,,,Rushing,,
Name,Team,Pos,G,QBR,COMP,ATT,COMP%,YDS,YPA,TD,INT,SCK,FUM,ATT,YDS,TD
Dak Prescott,DAL,QB,1,93.6,37,57,0.0,472,8.0,3,2,2,1,6,26,0
Patrick Mahomes,KC,QB,1,133.5,31,42,0.0,385,9.0,4,0,0,0,4,26,1
Nick Mullens,SF,QB,1,108.9,25,36,0.0,343,9.0,1,0,2,0,4,0,0
Justin Herbert,LAC,QB,1,88.0,35,49,0.0,330,6.0,1,1,2,2,3,15,0
Jared Goff,LAR,QB,1,111.6,23,32,0.0,321,10.0,2,1,2,0,2,4,1
Ryan Tannehill,TEN,QB,1,78.8,23,37,0.0,321,8.0,0,1,1,2,4,9,0
Russell Wilson,SEA,QB,1,132.8,27,40,0.0,315,7.0,5,0,4,0,6,22,0
Joe Burrow,CIN,QB,1,105.5,31,44,0.0,312,7.0,2,0,8,0,1,-1,0
Josh Allen,BUF,QB,1,129.7,24,33,0.0,311,9.0,4,1,4,1,4,8,1
Tom Brady,TB,QB,1,115.8,25,38,0.0,297,7.0,3,0,2,1,5,0,0
Drew Brees,NO,QB,1,130.3,29,36,0.0,288,8.0,3,0,2,1,0,0,0
Aaron Rodgers,GB,QB,1,124.9,21,32,0.0,283,8.0,3,0,1,0,2,12,0
Gardner Minshew,JAX,QB,1,79.0,30,42,0.0,275,6.0,0,1,4,1,3,22,0
Kyler Murray,ARI,QB,1,72.3,23,35,0.0,270,7.0,2,3,1,0,5,29,1
Matthew Stafford,DET,QB,1,119.0,22,31,0.0,270,8.0,2,0,4,0,1,-3,0
Deshaun Watson,HOU,QB,1,110.7,19,27,0.0,264,9.0,2,1,5,0,1,5,0
Derek Carr,LV,QB,1,119.4,24,32,0.0,261,8.0,2,0,2,2,2,10,0
Kirk Cousins,MIN,QB,1,96.4,16,27,0.0,251,9.0,3,2,2,1,2,14,0
Matt Ryan,ATL,QB,1,67.7,19,38,0.0,238,6.0,1,1,2,0,1,-1,0
Ben Roethlisberger,PIT,QB,1,101.3,23,36,0.0,237,6.0,2,0,2,0,5,-3,0
Teddy Bridgewater,CAR,QB,1,114.4,22,28,0.0,235,8.0,1,0,2,0,2,12,0
Carson Wentz,PHI,QB,1,62.8,29,47,0.0,225,4.0,1,2,3,1,9,65,1
Dwayne Haskins,WAS,QB,1,58.8,21,37,0.0,224,6.0,2,3,3,2,2,2,0
Philip Rivers,IND,QB,1,128.5,17,21,0.0,217,10.0,1,0,0,0,0,0,0
Nick Foles,CHI,QB,1,95.2,16,29,0.0,188,6.0,3,1,0,0,3,-3,0
Daniel Jones,NYG,QB,1,56.6,17,32,0.0,179,5.0,0,1,2,1,5,49,0
Jeff Driskel,DEN,QB,1,71.0,17,30,0.0,176,5.0,1,1,5,0,3,14,0
Sam Darnold,NYJ,QB,1,43.5,17,29,0.0,168,5.0,1,3,2,0,5,20,0
Cam Newton,NE,QB,1,73.8,17,28,0.0,162,5.0,1,1,2,0,9,27,0
Ryan Fitzpatrick,MIA,QB,1,143.8,18,20,0.0,160,8.0,2,0,1,0,7,38,1
Baker Mayfield,CLE,QB,1,117.3,16,23,0.0,156,6.0,2,0,2,0,1,1,0
Mitchell Trubisky,CHI,QB,1,71.8,13,22,0.0,128,5.0,1,1,2,0,1,45,0
Lamar Jackson,BAL,QB,1,73.1,15,28,0.0,97,3.0,1,0,4,2,9,83,0
Brett Rypien,DEN,QB,1,54.4,8,9,0.0,53,5.0,0,1,1,1,0,0,0
Jacoby Brissett,IND,QB,1,61.5,2,4,0.0,17,4.0,0,0,0,0,2,0,0
