,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Dalvin Cook,MIN,RB,1,25.9,0,0,0,0,0,22,181,1,2,5,18,0,1,1
Derrick Henry,TEN,RB,1,25.0,0,0,0,0,0,26,119,2,2,3,11,0,0,0
Sony Michel,NE,RB,1,14.0,0,0,0,0,0,9,117,0,2,2,23,0,0,0
Darrell Henderson,LAR,RB,1,18.0,0,0,0,0,0,20,114,1,1,3,6,0,0,0
James Conner,PIT,RB,1,20.9,0,0,0,0,0,18,109,1,4,5,40,0,0,0
Nick Chubb,CLE,RB,1,23.0,0,0,0,0,0,19,108,2,1,1,2,0,0,0
Miles Sanders,PHI,RB,1,10.7,0,0,0,0,0,18,95,0,4,8,12,0,0,0
Lamar Jackson,BAL,QB,1,17.2,15,28,97,1,0,9,83,0,0,0,0,0,2,1
Todd Gurley,ATL,RB,1,14.2,0,0,0,0,0,14,80,1,1,2,2,0,1,0
Adrian Peterson,DET,RB,1,8.5,0,0,0,0,0,22,75,0,1,1,10,0,0,0
Kenyan Drake,ARI,RB,1,7.9,0,0,0,0,0,18,73,0,1,1,6,0,0,0
Devin Singletary,BUF,RB,1,12.1,0,0,0,0,0,13,71,0,4,5,50,0,0,0
Josh Jacobs,LV,RB,1,8.3,0,0,0,0,0,16,71,0,3,4,12,0,1,1
Aaron Jones,GB,RB,1,14.6,0,0,0,0,0,16,69,1,2,4,17,0,0,0
Myles Gaskin,MIA,RB,1,9.5,0,0,0,0,0,22,66,0,5,5,29,0,0,0
Carson Wentz,PHI,QB,1,27.8,29,47,225,1,2,9,65,1,0,0,0,0,1,0
Chris Carson,SEA,RB,1,7.6,0,0,0,0,0,14,64,0,3,3,12,0,0,0
Clyde Edwards-Helaire,KC,RB,1,13.4,0,0,0,0,0,20,64,0,5,6,70,0,0,0
Jonathan Taylor,IND,RB,1,12.2,0,0,0,0,0,13,59,1,1,1,3,0,0,0
Austin Ekeler,LAC,RB,1,20.3,0,0,0,0,0,12,59,1,11,11,84,0,0,0
Alvin Kamara,NO,RB,1,31.7,0,0,0,0,0,6,58,0,13,14,139,2,0,0
Latavius Murray,NO,RB,1,6.5,0,0,0,0,0,12,58,0,1,1,7,0,0,0
Brian Hill,ATL,RB,1,14.0,0,0,0,0,0,9,58,1,1,3,22,0,0,0
Frank Gore,NYJ,RB,1,6.2,0,0,0,0,0,15,57,0,1,1,5,0,0,0
Ronald Jones,TB,RB,1,7.3,0,0,0,0,0,13,53,0,2,4,20,0,0,0
Daniel Jones,NYG,QB,1,13.9,17,32,179,0,1,5,49,0,0,0,0,0,1,1
Joe Mixon,CIN,RB,1,6.5,0,0,0,0,0,17,49,0,2,3,16,0,0,0
Antonio Gibson,WAS,RB,1,12.0,0,0,0,0,0,9,49,1,3,3,11,0,1,1
Rex Burkhead,NE,RB,1,27.8,0,0,0,0,0,6,49,2,7,10,49,1,0,0
Kareem Hunt,CLE,RB,1,12.4,0,0,0,0,0,16,46,0,2,3,18,1,0,0
Mike Davis,CAR,RB,1,15.1,0,0,0,0,0,13,46,0,8,9,45,1,0,0
James Robinson,JAX,RB,1,24.9,0,0,0,0,0,11,46,2,6,6,83,0,0,0
David Montgomery,CHI,RB,1,5.4,0,0,0,0,0,14,45,0,2,3,9,0,0,0
Mitchell Trubisky,CHI,QB,1,14.9,13,22,128,1,1,1,45,0,0,0,0,0,0,0
J.J. Taylor,NE,RB,1,4.3,0,0,0,0,0,11,43,0,0,1,0,0,0,0
Joshua Kelley,LAC,RB,1,5.2,0,0,0,0,0,8,43,0,2,2,9,0,1,1
Anthony McFarland,PIT,RB,1,4.9,0,0,0,0,0,6,42,0,1,2,7,0,0,0
Gus Edwards,BAL,RB,1,3.9,0,0,0,0,0,4,39,0,0,0,0,0,0,0
Jordan Wilkins,IND,RB,1,4.5,0,0,0,0,0,9,39,0,1,1,6,0,0,0
Jerick McKinnon,SF,RB,1,13.7,0,0,0,0,0,14,38,1,3,4,39,0,0,0
Ryan Fitzpatrick,MIA,QB,1,25.8,18,20,160,2,0,7,38,1,1,1,0,0,0,0
Ezekiel Elliott,DAL,RB,1,11.8,0,0,0,0,0,14,34,1,6,11,24,0,0,0
Devontae Booker,LV,RB,1,3.1,0,0,0,0,0,3,31,0,0,0,0,0,0,0
Brandon Aiyuk,SF,WR,1,16.1,0,0,0,0,0,3,31,1,5,8,70,0,0,0
Mark Ingram,BAL,RB,1,3.0,0,0,0,0,0,7,30,0,0,1,0,0,0,0
Robert Woods,LAR,WR,1,16.4,0,0,0,0,0,3,30,0,5,6,74,1,1,0
Jakeem Grant,MIA,WR,1,4.8,0,0,0,0,0,1,29,0,1,1,19,0,0,0
Kyler Murray,ARI,QB,1,30.4,23,35,270,2,3,5,29,1,0,0,0,0,0,0
