,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Shaquill Griffin,SEA,CB,1,69,#1 LCB,0.0,1,7,14.3,11,0,1,1,0
Carlton Davis,TB,CB,1,53,#1 LCB,0.0,1,6,16.7,9,0,1,0,0
Julian Blackmon,IND,S,1,62,#1 FS,0.0,0,3,0.0,0,0,1,2,0
Brian Poole,NYJ,CB,1,57,#2 LCB,1.0,1,4,25.0,13,0,1,0,0
Patrick Robinson,NO,CB,1,58,#2 RCB,7.6,2,6,33.3,25,0,1,1,0
Marcus Williams,NO,S,1,61,#1 FS,28.1,2,4,50.0,23,0,1,0,0
Tyrann Mathieu,KC,S,1,75,#1 SS,32.5,2,5,40.0,44,0,2,0,0
Michael Davis,LAC,CB,1,76,#2 LCB,34.5,4,7,57.1,41,0,1,0,0
Ka'dar Hollman,GB,CB,1,12,#3 LCB,39.6,0,3,0.0,0,0,0,2,0
Jimmie Ward,SF,S,1,62,#1 FS,39.6,1,4,25.0,6,0,0,0,0
Rayshawn Jenkins,LAC,S,1,76,#1 SS,39.6,0,4,0.0,0,0,0,0,0
Marcus Peters,BAL,CB,1,66,#1 RCB,39.6,0,3,0.0,0,0,0,0,0
Josey Jewell,DEN,LB,1,73,#1 RILB,39.6,1,4,25.0,4,0,0,1,0
Darious Williams,LAR,CB,1,58,#2 LCB,41.0,3,6,50.0,53,0,1,1,0
Holton Hill,MIN,CB,1,51,#1 RCB,41.4,2,7,28.6,24,0,0,1,1
Khari Willis,IND,S,1,62,#1 SS,42.4,1,3,33.3,5,0,0,0,0
Jaire Alexander,GB,CB,1,70,#1 LCB,42.4,3,9,33.3,12,0,0,1,0
Matt Milano,BUF,LB,1,55,#1 WLB,42.4,1,3,33.3,6,0,0,1,0
Logan Ryan,NYG,S,1,57,#2 FS,42.4,1,3,33.3,7,0,0,-1,0
Rashad Fenton,KC,CB,1,75,#2 RCB,47.5,5,11,45.5,40,1,1,2,0
Jalen Ramsey,LAR,CB,1,68,#1 RCB,47.9,2,5,40.0,9,0,0,0,0
Byron Murphy,ARI,CB,1,65,#1 RCB,48.8,2,9,22.2,47,0,0,1,1
Azeez Al-Shaair,SF,LB,1,18,#2 MLB,50.0,3,4,75.0,24,0,1,0,0
