,,,,Fantasy,Extra Points,,Field Goals,,Field Goals Made,,,
Name,Team,Pos,G,Pts,XPM,XPA,FGM,FGA,0-29,30-39,40-49,50+
Sam Ficken,NYJ,K,1,16.0,1,1,5,5,1,3,0,1
Jason Sanders,MIA,K,1,15.0,0,0,5,5,2,0,3,0
Rodrigo Blankenship,IND,K,1,13.0,1,1,4,4,1,2,1,0
Aldrick Rosas,JAX,K,1,13.0,1,1,4,5,1,2,0,1
Randy Bullock,CIN,K,1,15.0,3,3,4,4,0,2,2,0
Graham Gano,NYG,K,1,9.0,0,0,3,3,1,2,0,0
Ka'imi Fairbairn,HOU,K,1,11.0,2,2,3,3,2,0,0,1
Brandon McManus,DEN,K,1,13.0,4,4,3,3,0,0,1,2
Daniel Carlson,LV,K,1,11.0,2,2,3,3,1,1,0,1
Harrison Butker,KC,K,1,8.0,2,3,2,2,1,1,0,0
Cody Parkey,CLE,K,1,11.0,5,5,2,2,0,1,1,0
Jason Myers,SEA,K,1,7.0,4,4,1,1,0,0,0,1
Cairo Santos,CHI,K,1,3.0,0,0,1,1,1,0,0,0
Ryan Succop,TB,K,1,8.0,5,5,1,2,1,0,0,0
Dan Bailey,MIN,K,1,7.0,4,4,1,2,0,1,0,0
Justin Tucker,BAL,K,1,7.0,4,4,1,1,0,0,1,0
Dustin Hopkins,WAS,K,1,5.0,2,2,1,2,0,0,1,0
Nick Folk,NE,K,1,4.0,1,1,1,1,0,0,1,0
Mason Crosby,GB,K,1,6.0,3,4,1,1,0,0,1,0
Elliott Fry,ATL,K,1,4.0,1,2,1,1,1,0,0,0
Jake Elliott,PHI,K,1,5.0,2,2,1,1,0,1,0,0
Tyler Bass,BUF,K,1,6.0,3,4,1,1,0,1,0,0
Samuel Sloman,LAR,K,1,5.0,2,2,1,1,0,1,0,0
Michael Badgley,LAC,K,1,7.0,4,4,1,2,0,0,0,1
Joey Slye,CAR,K,1,7.0,4,4,1,2,1,0,0,0
Robbie Gould,SF,K,1,2.0,2,2,0,0,0,0,0,0
Matt Prater,DET,K,1,3.0,3,3,0,0,0,0,0,0
Greg Zuerlein,DAL,K,1,2.0,2,2,0,0,0,0,0,0
Wil Lutz,NO,K,1,5.0,5,5,0,0,0,0,0,0
Zane Gonzalez,ARI,K,1,3.0,3,3,0,0,0,0,0,0
