Player,Team,Pos,Injury,Status
Matthew Adams,IND,LB,Ankle,IR
Jamal Adams,SEA,S,Groin,Out
Davante Adams,GB,WR,Hamstring,Questionable
Quincy Adeboyejo,NE,WR,Undisclosed,IR
Jordan Akins,HOU,TE,Concussion,Inactive
Mackensie Alexander,CIN,CB,Ribs,Inactive
Robert Alford,ARI,CB,Pectoral,IR
Josh Allen,JAX,DE,Knee,Inactive
Beau Allen,NE,DT,Undisclosed,IR
Marcus Allen,PIT,LB,Foot,Inactive
Geronimo Allison,DET,WR,Opt Out,Reserve-Ex
Kiko Alonso,NO,LB,Knee - ACL,PUP-R
Bruce Anderson,FA,RB,Undisclosed,Questionable
Rodney Anderson,FA,RB,Knee - ACL,Questionable
David Andrews,NE,C,Thumb,IR
Ezekiel Ansah,SF,DE,Biceps,IR
Eli Apple,CAR,CB,Hamstring,Inactive
Ryquell Armstead,JAX,RB,Illness,Reserve-Covid-19
Cornell Armstrong,HOU,CB,Coach's Decision,Inactive
Damon Arnette,LV,CB,Thumb,IR
Marcell Ateman,FA,WR,Undisclosed,Questionable
John Atkins,DET,DT,Opt Out,Reserve-Ex
Jeremiah Attaochu,DEN,LB,Quadriceps,Out
Antony Auclair,TB,TE,Calf,IR
Tavon Austin,SF,WR,Knee,IR
Blessuan Austin,NYJ,CB,Calf,Inactive
Josh Avery,FA,DT,Undisclosed,Questionable
Chidobe Awuzie,DAL,CB,Hamstring,IR
Johnson Bademosi,NO,CB,Undisclosed,IR
Markus Bailey,CIN,LB,Coach's Decision,Inactive
Deandre Baker,FA,CB,Personal,Reserve-CEL
Chris Banjo,ARI,S,Hamstring,Inactive
Zach Banner,PIT,OT,Knee - ACL,IR
Saquon Barkley,NYG,RB,Knee - ACL,IR
Kenjon Barner,FA,RB,Suspension,Out
Krys Barnes,GB,LB,Shoulder,Questionable
Michael Barnett,NE,DT,Undisclosed,IR
Anthony Barr,MIN,LB,Pectoral,IR
Mark Barron,DEN,LB,Hamstring,IR
Cameron Batson,FA,WR,Illness,Out
Marcus Baugh,WAS,TE,Undisclosed,Inactive
Nick Bawden,DET,FB,Undisclosed,IR
Omar Bayless,CAR,WR,Knee,IR
Sam Beal,NYG,CB,Opt Out,Reserve-Ex
Kendell Beckwith,FA,LB,Ankle,Questionable
Mekhi Becton,NYJ,OT,Shoulder,Inactive
Ryan Bee,FA,DE,Undisclosed,Questionable
Josh Bellamy,FA,WR,Shoulder,Out
LeVante Bellamy,DEN,RB,Knee,IR
Eno Benjamin,ARI,RB,Coach's Decision,Inactive
Travis Benjamin,SF,WR,Opt Out,Reserve-Ex
Vince Biegel,MIA,LB,Achilles,IR
Asmar Bilal,LAC,LB,Calf,IR
Andrew Billings,CLE,DT,Opt Out,Reserve-Ex
Ronald Blair,SF,DE,Knee - ACL,PUP-R
Marquise Blair,SEA,S,Knee - ACL,IR
Khari Blasingame,TEN,RB,Illness,Reserve-Covid-19
Russell Bodine,DET,C,Opt Out,Reserve-Ex
Evan Boehm,FA,OG,Undisclosed,Out
Brandon Bolden,NE,RB,Opt Out,Reserve-Ex
Curtis Bolton,FA,LB,Knee - ACL,Questionable
Devante Bond,FA,LB,Quadriceps,Questionable
Reggie Bonnafon,FA,RB,Ankle,Questionable
Breon Borders,FA,CB,Illness,Reserve-Covid-19
Joey Bosa,LAC,DE,Triceps,Questionable
Nick Bosa,SF,DE,Knee - ACL,IR
A.J. Bouye,DEN,CB,Shoulder,IR
Kris Boyd,MIN,CB,Hamstring,Questionable
Caleb Brantley,WAS,DT,Opt Out,Reserve-Ex
Jacob Breeland,BAL,TE,Knee - ACL,NFI-R
Jake Brendel,SF,C,Opt Out,Reserve-Ex
Chandler Brewer,LAR,OT,Opt Out,Reserve-Ex
Beau Brinkley,TEN,C,Illness,Reserve-Covid-19
Justin Britt,FA,C,Knee - ACL,Questionable
Nate Brooks,FA,DB,Undisclosed,Questionable
Brandon Brooks,PHI,OG,Achilles,PUP-R
Ahmad Brooks,FA,LB,Suspension,Reserve-Sus
Jordyn Brooks,SEA,LB,Knee - MCL,Questionable
