Player Name,Team,Pos,Status,Injury,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Johnathan Abram,LV,S,,,-,-,FP,FP,FP,-,-
Jamal Adams,SEA,S,Out,Groin,-,-,DNP,DNP,DNP,-,-
Nasir Adderley,LAC,S,,,-,-,-,FP,FP,FP,-
Mario Addison,BUF,DE,,,-,-,-,DNP-Non Injury,-,-,-
Cam Akers,LAR,RB,,,-,-,LP,FP,FP,-,-
Jordan Akins,HOU,TE,Questionable,Concussion,-,-,DNP,LP,LP,-,-
Mackensie Alexander,CIN,CB,Doubtful,Ribs,-,-,LP,LP,DNP,-,-
Jonathan Allen,WAS,DT,,,-,-,LP,FP,FP,-,-
Josh Allen,BUF,QB,,,-,-,FP,FP,FP,FP,-
Josh Allen,JAX,DE,Out,Knee,-,-,DNP,DNP,DNP,-,-
Marcus Allen,PIT,LB,Out,Foot,-,-,DNP,DNP,DNP,-,-
Ricardo Allen,ATL,S,,,-,-,LP,LP,LP,-,-
Mark Andrews,BAL,TE,Questionable,Thigh,-,-,-,LP,LP,-,-
Ezekiel Ansah,SF,DE,IR,Biceps,-,-,DNP,DNP,DNP,-,-
Eli Apple,CAR,CB,Out,Hamstring,-,-,LP,DNP,DNP,-,-
J.J. Arcega-Whiteside,PHI,WR,,,-,-,FP,FP,FP,-,-
Arik Armstead,SF,DE,,,-,-,-,-,DNP-Non Injury,-,-
Dorance Armstrong,DAL,LB,,,-,-,DNP,LP,FP,-,-
Geno Atkins,CIN,DT,,,-,-,LP,LP,FP,-,-
Jeremiah Attaochu,DEN,LB,Out,Quadriceps,-,-,DNP,DNP,DNP,DNP,-
Blessuan Austin,NYJ,CB,Questionable,Calf,-,-,DNP,LP,LP,-,-
Denico Autry,IND,DT,,,-,-,-,-,DNP-Non Injury,-,-
Markus Bailey,CIN,LB,,,-,-,-,LP,FP,-,-
Budda Baker,ARI,S,,,-,-,FP,FP,FP,-,-
Chris Banjo,ARI,S,Questionable,Hamstring,-,-,DNP,LP,LP,-,-
Cody Barton,SEA,LB,,,-,-,LP,LP,LP,-,-
Marcus Baugh,WAS,TE,Out,Undisclosed,-,-,DNP-Non Injury,DNP-Non Injury,DNP-Non Injury,-,-
Cole Beasley,BUF,WR,,,-,-,LP,FP,FP,FP,-
Odell Beckham,CLE,WR,,,-,-,LP,LP,FP,-,-
Mekhi Becton,NYJ,OT,Doubtful,Shoulder,-,-,DNP,DNP,DNP,-,-
LeVante Bellamy,DEN,RB,IR,Knee,-,-,-,LP,DNP,DNP,-
Joey Bosa,LAC,DE,Questionable,Triceps,-,-,-,DNP,LP,LP,-
Kris Boyd,MIN,CB,Questionable,Hamstring,-,-,LP,LP,LP,-,-
Nick Boyle,BAL,TE,Questionable,Thigh,-,-,DNP,LP,FP,-,-
Garrett Bradbury,MIN,C,,,-,-,FP,FP,FP,-,-
Michael Brockers,LAR,DE,,,-,-,-,-,LP,-,-
Jordyn Brooks,SEA,LB,Questionable,Knee - MCL,-,-,DNP,DNP,DNP,-,-
A.J. Brown,TEN,WR,Questionable,Knee,-,-,LP,LP,LP,FP,-
Duane Brown,SEA,OT,,,-,-,DNP,LP,LP,-,-
John Brown,BUF,WR,Questionable,Knee,-,-,DNP,LP,LP,LP,-
Marquise Brown,BAL,WR,Questionable,Knee,-,-,LP,FP,FP,-,-
Trent Brown,LV,OT,Questionable,Calf,-,-,LP,LP,FP,-,-
Bryan Bulaga,LAC,OT,Out,Back,-,-,-,DNP,DNP,DNP,-
Juston Burris,CAR,S,,,-,-,FP,FP,FP,-,-
Trey Burton,IND,TE,,,-,-,DNP-Non Injury,FP,FP,-,-
Deon Bush,CHI,S,Inactive,Hamstring,-,DNP,DNP,-,-,-,-
Adam Butler,NE,DT,Questionable,Shoulder,-,-,LP,LP,LP,LP,-
Malcolm Butler,TEN,CB,,,-,-,FP,FP,FP,FP,-
Bryce Callahan,DEN,CB,,,-,-,FP,FP,FP,FP,-
Calais Campbell,BAL,DE,,,-,-,DNP-Non Injury,-,-,-,-
Stephen Carlson,CLE,TE,,,-,-,FP,FP,FP,-,-
James Carpenter,ATL,OG,,,-,-,-,-,DNP-Non Injury,-,-
TJ Carrie,IND,CB,,,-,-,LP,LP,FP,-,-
Chris Carson,SEA,RB,,,-,-,LP,FP,-,-,-
Anthony Castonzo,IND,OT,Out,Ribs,-,-,DNP,DNP,DNP,-,-
Dan Chisena,MIN,WR,,,-,-,FP,FP,FP,-,-
Adrian Clayborn,CLE,DE,Questionable,Hip,-,-,LP,LP,LP,-,-
Jadeveon Clowney,TEN,DE,,,-,-,FP,FP,FP,FP,-
Randall Cobb,HOU,WR,,,-,-,-,-,DNP-Non Injury,-,-
Adrian Colbert,NYG,S,Questionable,Neck,-,-,LP,LP,LP,-,-
Dylan Cole,HOU,LB,,,-,-,LP,LP,FP,-,-
Maliek Collins,LV,DT,Questionable,Shoulder,-,-,DNP,DNP,LP,-,-
Jared Cook,NO,TE,Questionable,Groin,-,-,-,LP,LP,LP,-
Fletcher Cox,PHI,DT,,,-,-,LP-Non Injury,FP,DNP-Non Injury,-,-
Tyrone Crawford,DAL,DT,,,-,-,DNP,LP,FP,-,-
