,,,,Week 5 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
Rank,Name,Team,Pos,OPP,Fav,Spread,O/U,Points,YDS,TD,INT,ATT,YDS,TD,REC,YDS,TD
1,Patrick Mahomes,KC,QB,LV,KC,-11.0,55.5,28.11,299.92,2.69,0.58,3.70,20.35,0.15,0.00,0.00,0.00
2,Russell Wilson,SEA,QB,MIN,SEA,-7.0,57.0,27.54,305.11,2.47,0.51,3.20,18.91,0.17,0.00,0.00,0.00
3,Dak Prescott,DAL,QB,NYG,DAL,-8.5,54.0,27.38,299.94,2.34,0.75,4.20,22.71,0.25,0.00,0.00,0.00
5,Josh Allen,BUF,QB,TEN,-,-,,26.89,262.13,1.95,0.92,6.40,40.28,0.48,0.00,0.00,0.00
6,Deshaun Watson,HOU,QB,JAX,HOU,-5.5,54.5,26.65,298.25,2.08,0.86,4.80,27.17,0.26,0.00,0.00,0.00
7,Lamar Jackson,BAL,QB,CIN,BAL,-12.5,50.5,26.57,232.15,1.94,0.61,9.50,57.14,0.35,0.00,0.00,0.00
8,Kyler Murray,ARI,QB,NYJ,ARI,-7.5,47.0,25.15,250.87,1.76,0.84,6.90,43.07,0.35,0.00,0.00,0.00
9,Teddy Bridgewater,CAR,QB,ATL,ATL,1,53.5,23.02,293.76,1.84,0.95,3.50,12.61,0.11,0.00,0.00,0.00
10,Matt Ryan,ATL,QB,CAR,ATL,-1.0,53.5,22.94,299.70,1.99,0.78,1.30,3.53,0.07,0.00,0.00,0.00
11,Jared Goff,LAR,QB,WAS,LAR,-7.5,46.5,22.65,288.71,1.82,0.87,3.20,8.44,0.16,0.00,0.00,0.00
12,Drew Brees,NO,QB,LAC,NO,-8.0,50.5,22.35,286.70,2.04,0.49,0.70,1.64,0.03,0.00,0.00,0.00
13,Ben Roethlisberger,PIT,QB,PHI,PIT,-7.0,44.0,22.01,290.75,1.99,0.82,1.00,2.69,0.01,0.00,0.00,0.00
14,Gardner Minshew,JAX,QB,HOU,HOU,5.5,54.5,22.00,265.93,1.84,0.70,3.30,15.60,0.08,0.00,0.00,0.00
15,Daniel Jones,NYG,QB,DAL,DAL,8.5,54.0,21.20,242.49,1.66,1.03,5.60,23.26,0.19,0.00,0.00,0.00
17,Ryan Tannehill,TEN,QB,BUF,-,-,,21.19,239.18,1.66,0.64,3.80,19.15,0.22,0.00,0.00,0.00
18,Justin Herbert,LAC,QB,NO,NO,8,50.5,20.96,243.62,1.64,1.17,3.90,17.10,0.28,0.00,0.00,0.00
19,Jimmy Garoppolo,SF,QB,MIA,SF,-9.0,50.5,20.90,271.31,1.81,0.78,1.50,3.96,0.08,0.00,0.00,0.00
20,Joe Burrow,CIN,QB,BAL,BAL,12.5,50.5,20.90,227.61,1.49,1.02,5.90,27.83,0.30,0.00,0.00,0.00
21,Ryan Fitzpatrick,MIA,QB,SF,SF,9,50.5,20.80,254.70,1.44,1.03,5.50,20.13,0.22,0.00,0.00,0.00
22,Tom Brady,TB,QB,CHI,TB,-3.5,44.0,20.74,270.65,1.78,0.60,0.80,2.04,0.08,0.00,0.00,0.00
23,Kirk Cousins,MIN,QB,SEA,SEA,7,57.0,20.52,267.39,1.73,0.79,2.20,4.84,0.09,0.00,0.00,0.00
24,Philip Rivers,IND,QB,CLE,IND,-1.0,47.5,20.08,270.23,1.81,0.95,0.70,2.16,0.01,0.00,0.00,0.00
25,Baker Mayfield,CLE,QB,IND,IND,1,47.5,19.99,250.28,1.72,0.94,2.20,8.73,0.11,0.00,0.00,0.00
26,Derek Carr,LV,QB,KC,KC,11,55.5,19.75,265.78,1.63,0.66,1.20,3.02,0.05,0.00,0.00,0.00
27,Carson Wentz,PHI,QB,PIT,PIT,7,44.0,19.53,237.56,1.56,0.87,4.00,15.06,0.13,0.00,0.00,0.00
28,Nick Foles,CHI,QB,TB,TB,3.5,44.0,19.25,242.64,1.42,1.02,3.30,8.98,0.26,0.00,0.00,0.00
30,Jarrett Stidham,NE,QB,DEN,NE,-11.0,,19.12,231.25,1.80,0.86,2.90,12.18,0.00,0.00,0.00,0.00
31,Alvin Kamara,NO,RB,LAC,NO,-8.0,50.5,17.88,0.00,0.00,0.00,13.00,71.67,0.71,6.01,49.53,0.25
32,Ezekiel Elliott,DAL,RB,NYG,DAL,-8.5,54.0,17.76,0.00,0.00,0.00,16.20,83.89,0.79,4.92,35.53,0.18
33,Kyle Allen,WAS,QB,LAR,LAR,7.5,46.5,17.75,235.16,1.41,1.02,3.50,8.95,0.08,0.00,0.00,0.00
