,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
George Kittle,SF,TE,1,15,15,183,137,9.1,1.9,104,93.8,0.0,55.5,38.1,79,5.3,43.2,0,0
Amari Cooper,DAL,WR,1,16,12,134,129,8.1,2.0,71,80.0,0.0,25.2,25.9,63,5.3,47.0,0,0
Mike Evans,TB,WR,1,8,7,122,116,14.5,2.1,104,87.5,0.0,27.7,17.8,18,2.6,14.8,0,1
Terry McLaurin,WAS,WR,1,14,10,118,127,9.1,2.0,88,71.4,0.0,58.0,31.8,30,3.0,25.4,0,0
Stefon Diggs,BUF,WR,1,7,6,115,99,14.1,1.8,101,85.7,14.3,48.3,21.9,14,2.3,12.2,0,0
Adam Thielen,MIN,WR,1,10,8,114,133,13.3,2.3,87,80.0,0.0,47.8,45.5,27,3.4,23.7,0,0
Tim Patrick,DEN,WR,1,7,6,113,97,13.9,1.8,96,85.7,0.0,35.1,25.0,17,2.8,15.0,0,0
DeVante Parker,MIA,WR,1,12,10,110,89,7.4,1.6,75,83.3,8.3,28.2,26.7,35,3.5,31.8,0,0
Will Fuller,HOU,WR,1,7,6,108,92,13.1,1.8,87,85.7,0.0,34.2,23.3,21,3.5,19.4,1,0
DK Metcalf,SEA,WR,1,6,4,106,88,14.7,1.6,60,66.7,0.0,28.7,18.2,46,11.5,43.4,0,0
Jamison Crowder,NYJ,WR,1,10,7,104,104,10.4,1.6,79,70.0,0.0,25.4,23.3,25,3.6,24.0,0,0
Justin Jefferson,MIN,WR,1,5,4,103,90,18.0,1.8,78,80.0,0.0,32.4,22.7,25,6.3,24.3,0,0
Allen Robinson,CHI,WR,1,10,7,101,129,12.9,2.3,87,70.0,0.0,36.3,23.8,14,2.0,13.9,0,0
Robby Anderson,CAR,WR,1,11,8,99,103,9.4,2.3,38,72.7,9.1,44.4,30.6,61,7.6,61.6,0,0
Robert Tonyan,GB,TE,1,6,6,98,64,10.7,1.5,64,100.0,0.0,23.6,18.2,34,5.7,34.7,0,0
Jamaal Williams,GB,RB,1,8,8,95,20,2.5,0.6,20,100.0,0.0,7.4,24.2,75,9.4,78.9,0,0
David Moore,SEA,WR,1,4,3,95,76,19.0,3.5,57,75.0,0.0,24.8,12.1,38,12.7,40.0,0,0
DJ Chark,JAX,WR,1,9,8,95,124,13.8,2.1,84,88.9,0.0,39.1,22.0,11,1.4,11.6,0,0
Emmanuel Sanders,NO,WR,1,9,6,93,105,11.7,2.1,75,66.7,0.0,44.7,36.0,18,3.0,19.4,0,0
Tyler Boyd,CIN,WR,1,8,7,90,93,11.6,1.6,73,87.5,0.0,24.3,22.9,17,2.4,18.9,0,0
Darren Waller,LV,TE,1,12,9,88,60,5.0,0.9,37,75.0,8.3,23.3,27.9,51,5.7,58.0,0,0
Olamide Zaccheaus,ATL,WR,1,9,8,86,64,7.1,1.2,55,88.9,11.1,16.8,23.1,31,3.9,36.0,0,0
Marquise Brown,BAL,WR,1,8,4,86,210,26.3,4.9,59,50.0,0.0,59.7,34.8,27,6.8,31.4,0,0
Laviska Shenault,JAX,WR,1,6,5,86,81,13.5,2.2,52,81.8,0.0,25.6,26.8,65,7.2,55.6,1,0
Scotty Miller,TB,WR,1,7,5,83,116,16.6,2.9,60,71.4,0.0,27.7,15.6,23,4.6,27.7,0,0
Antonio Gibson,WAS,RB,1,5,4,82,-1,-0.2,0.0,0,80.0,0.0,-0.5,11.4,82,20.5,100.0,0,0
Jeff Smith,NYJ,WR,1,9,7,81,100,11.1,1.4,62,77.8,0.0,24.4,20.9,19,2.7,23.5,1,0
Odell Beckham,CLE,WR,1,8,5,81,135,16.9,2.3,80,62.5,0.0,51.1,30.8,1,0.2,1.2,0,0
Damiere Byrd,NE,WR,1,10,5,80,146,14.6,2.0,56,50.0,10.0,53.5,28.6,24,4.8,30.0,0,0
CeeDee Lamb,DAL,WR,1,7,5,79,94,13.4,1.5,73,55.6,0.0,18.4,15.5,6,1.2,7.6,0,0
Tee Higgins,CIN,WR,1,7,4,77,125,17.9,2.9,47,57.1,28.6,32.7,20.0,30,7.5,39.0,0,0
Jalen Guyton,LAC,WR,1,1,1,72,30,30.0,0.7,30,100.0,0.0,16.0,4.0,42,42.0,58.3,0,0
Dalton Schultz,DAL,TE,1,8,4,72,96,12.0,1.5,43,50.0,12.5,18.8,13.8,29,7.3,40.3,0,0
Ezekiel Elliott,DAL,RB,1,8,8,71,-9,-1.1,-0.1,-9,100.0,0.0,-1.8,13.8,80,10.0,112.7,0,0
Travis Kelce,KC,TE,1,7,3,70,54,7.7,1.3,35,50.0,0.0,24.7,20.7,35,11.7,50.0,1,0
