,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
George Kittle,SF,TE,1,15,183,12.0,183.0,1,15,12.0,2,0,1,1,0,0,0
Amari Cooper,DAL,WR,1,12,134,11.0,134.0,1,16,8.0,1,0,1,0,0,0,0
Mike Evans,TB,WR,1,7,122,17.0,122.0,1,8,15.0,2,1,1,0,0,0,0
Terry McLaurin,WAS,WR,1,10,118,11.0,118.0,0,14,8.0,1,0,1,0,0,0,0
Stefon Diggs,BUF,WR,1,6,115,19.0,115.0,0,7,16.0,2,1,1,0,0,0,0
Adam Thielen,MIN,WR,1,8,114,14.0,114.0,1,10,11.0,2,0,1,0,0,0,0
Tim Patrick,DEN,WR,1,6,113,18.0,113.0,1,7,16.0,3,1,1,0,0,0,0
DeVante Parker,MIA,WR,1,10,110,11.0,110.0,0,12,9.0,1,0,1,0,0,0,0
Will Fuller,HOU,WR,1,6,108,18.0,108.0,1,7,15.0,2,1,1,0,0,0,0
DK Metcalf,SEA,WR,1,4,106,26.0,106.0,0,6,17.0,2,0,1,0,0,0,0
Jamison Crowder,NYJ,WR,1,7,104,14.0,104.0,0,10,10.0,2,0,1,0,0,0,0
Justin Jefferson,MIN,WR,1,4,103,25.0,103.0,0,5,20.0,4,0,1,0,0,0,0
Allen Robinson,CHI,WR,1,7,101,14.0,101.0,1,10,10.0,3,0,1,0,0,0,0
Robby Anderson,CAR,WR,1,8,99,12.0,99.0,0,11,9.0,2,0,0,0,0,0,0
Robert Tonyan,GB,TE,1,6,98,16.0,98.0,3,6,16.0,3,0,0,0,0,0,0
Jamaal Williams,GB,RB,1,8,95,11.0,95.0,0,8,11.0,1,0,0,0,0,0,0
David Moore,SEA,WR,1,3,95,31.0,95.0,1,4,23.0,2,1,0,0,0,0,0
DJ Chark,JAX,WR,1,8,95,11.0,95.0,2,9,10.0,1,0,0,0,0,0,0
Emmanuel Sanders,NO,WR,1,6,93,15.0,93.0,0,9,10.0,1,0,0,0,0,0,0
Tyler Boyd,CIN,WR,1,7,90,12.0,90.0,0,8,11.0,1,0,0,0,0,0,0
Darren Waller,LV,TE,1,9,88,9.0,88.0,0,12,7.0,1,0,0,0,0,1,1
Olamide Zaccheaus,ATL,WR,1,8,86,10.0,86.0,0,9,9.0,0,0,0,0,0,0,0
Marquise Brown,BAL,WR,1,4,86,21.0,86.0,0,8,10.0,2,0,0,0,0,0,0
Laviska Shenault,JAX,WR,1,5,86,17.0,86.0,0,6,14.0,3,0,0,0,0,0,0
