,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Joe Mixon,CIN,RB,1,25,151,2,81.0,17,19.0,4,5,5,20.0,80.0,0.1,70,2.8,46.4
Dalvin Cook,MIN,RB,1,27,130,2,36.4,4,63.6,7,1,9,33.3,96.3,0.1,51,1.9,39.2
Ronald Jones,TB,RB,1,20,111,0,94.1,16,5.9,1,2,4,20.0,90.0,0.0,55,2.8,49.5
Melvin Gordon,DEN,RB,1,23,107,2,72.7,8,27.3,3,8,1,4.3,65.2,0.1,46,2.0,43.0
Damien Harris,NE,RB,1,17,100,0,50.0,5,50.0,5,0,0,0.0,100.0,0.0,28,1.6,28.0
D'Ernest Johnson,CLE,RB,1,13,95,0,60.0,3,40.0,2,0,1,7.7,100.0,0.0,39,3.0,41.1
Sam Darnold,NYJ,QB,1,6,84,1,66.7,2,33.3,1,0,2,33.3,100.0,0.2,56,9.3,66.7
Mike Davis,CAR,RB,1,16,84,1,100.0,7,0.0,0,1,1,6.3,93.8,0.1,84,5.3,100.0
Alvin Kamara,NO,RB,1,19,83,1,66.7,8,33.3,4,2,0,0.0,89.5,0.1,49,2.6,59.0
Chris Carson,SEA,RB,1,16,80,2,100.0,8,0.0,0,1,0,0.0,93.8,0.1,36,2.3,45.0
Kyler Murray,ARI,QB,1,6,78,0,20.0,1,80.0,4,0,1,16.7,100.0,0.0,7,1.2,9.0
James Robinson,JAX,RB,1,17,75,0,100.0,12,0.0,0,3,6,35.3,82.4,0.0,39,2.3,52.0
Odell Beckham,CLE,WR,1,2,73,1,0.0,0,100.0,2,0,1,50.0,100.0,0.5,66,33.0,90.4
Aaron Jones,GB,RB,1,15,71,0,55.6,5,44.4,4,5,6,40.0,66.7,0.0,47,3.1,66.2
Kareem Hunt,CLE,RB,1,11,71,2,40.0,2,60.0,3,1,3,27.3,90.9,0.2,41,3.7,57.7
Jonathan Taylor,IND,RB,1,17,68,0,92.3,12,7.7,1,3,0,0.0,82.4,0.0,26,1.5,38.2
Clyde Edwards-Helaire,KC,RB,1,16,64,0,50.0,5,50.0,5,2,1,6.3,87.5,0.0,25,1.6,39.1
Latavius Murray,NO,RB,1,14,64,2,100.0,8,0.0,0,1,0,0.0,92.9,0.1,32,2.3,50.0
David Johnson,HOU,RB,1,16,63,0,75.0,9,25.0,3,2,0,0.0,87.5,0.0,19,1.2,30.2
Todd Gurley,ATL,RB,1,16,57,2,70.0,7,30.0,3,4,9,56.3,75.0,0.1,56,3.5,98.2
Devin Singletary,BUF,RB,1,18,56,1,18.2,2,81.8,9,4,4,22.2,77.8,0.1,41,2.3,74.5
Ezekiel Elliott,DAL,RB,1,12,54,0,75.0,6,25.0,2,3,2,16.7,75.0,0.0,28,2.3,51.9
Jerick McKinnon,SF,RB,1,14,54,1,60.0,3,40.0,2,4,2,14.3,71.4,0.1,57,4.1,105.6
Lamar Jackson,BAL,QB,1,7,53,1,33.3,2,66.7,4,1,2,28.6,85.7,0.1,41,5.9,77.4
Reggie Bonnafon,CAR,RB,1,10,53,0,100.0,4,0.0,0,1,0,0.0,90.0,0.0,14,1.4,26.4
Josh Jacobs,LV,RB,1,15,48,0,30.0,3,70.0,7,4,0,0.0,73.3,0.0,29,1.9,60.4
Ryan Fitzpatrick,MIA,QB,1,6,47,1,60.0,3,40.0,2,0,0,0.0,100.0,0.2,11,1.8,23.4
Miles Sanders,PHI,RB,1,13,46,0,100.0,4,0.0,0,4,2,15.4,69.2,0.0,26,2.0,56.5
Antonio Gibson,WAS,RB,1,13,46,1,0.0,0,100.0,1,2,1,7.7,84.6,0.1,9,0.7,19.6
Daniel Jones,NYG,QB,1,6,45,0,16.7,1,83.3,5,0,1,16.7,100.0,0.0,7,1.2,15.6
Rex Burkhead,NE,RB,1,11,45,0,66.7,4,33.3,2,3,0,0.0,72.7,0.0,22,2.0,48.9
Wayne Gallman,NYG,RB,1,6,45,0,100.0,3,0.0,0,0,0,0.0,100.0,0.0,28,4.7,62.2
Nick Chubb,CLE,RB,1,6,43,0,40.0,2,60.0,3,1,0,0.0,83.3,0.0,18,3.0,41.9
Myles Gaskin,MIA,RB,1,10,40,0,100.0,7,0.0,0,2,-1,-10.0,80.0,0.0,17,1.7,42.5
Brandon Aiyuk,SF,WR,1,1,38,1,0.0,0,100.0,1,0,3,300.0,100.0,1.0,34,34.0,89.5
Gus Edwards,BAL,RB,1,9,38,0,75.0,3,25.0,1,1,-1,-11.1,88.9,0.0,9,1.0,23.7
Malcolm Brown,LAR,RB,1,9,38,0,33.3,1,66.7,2,1,0,0.0,88.9,0.0,8,0.9,21.6
Carson Wentz,PHI,QB,1,7,37,1,50.0,2,50.0,2,1,5,71.4,85.7,0.1,15,2.1,40.5
Adrian Peterson,DET,RB,1,11,36,1,75.0,6,25.0,2,2,1,9.1,81.8,0.1,19,1.7,52.8
Kenyan Drake,ARI,RB,1,13,35,0,55.6,5,44.4,4,4,2,15.4,69.2,0.0,13,1.0,37.1
Mark Ingram,BAL,RB,1,8,34,1,75.0,3,25.0,1,0,0,0.0,100.0,0.1,12,1.5,35.3
Devonta Freeman,NYG,RB,1,11,33,0,100.0,6,0.0,0,2,1,9.1,81.8,0.0,4,0.4,12.1
